# file...... theat_record_2.csv
# date...... Tue Jul 28 10:13:30 2009
# user...... D3K077
# host...... (null)
# target.... house 0
# trigger... (none)
# interval.. -1
# limit..... 48
# timestamp,air_temperature,cooling_setpoint
2001-01-01 00:00:00 PST,+79.952,+90
2001-01-02 06:00:00 PST,+73,+75
2001-01-02 06:02:31 PST,+57.534,+75
2001-01-02 21:00:00 PST,+38,+60
2001-01-02 21:04:14 PST,+42,+60
2001-01-02 21:08:03 PST,+38,+60
2001-01-02 21:10:33 PST,+42,+60
2001-01-02 21:14:13 PST,+38,+60
2001-01-02 21:16:46 PST,+42,+60
2001-01-02 21:20:20 PST,+38,+60
2001-01-02 21:22:57 PST,+42,+60
2001-01-02 21:26:25 PST,+38,+60
2001-01-02 21:29:05 PST,+42,+60
2001-01-02 21:32:27 PST,+38,+60
2001-01-02 21:35:10 PST,+42,+60
2001-01-02 21:38:28 PST,+38,+60
2001-01-02 21:41:15 PST,+42,+60
2001-01-02 21:44:28 PST,+38,+60
2001-01-02 21:47:18 PST,+42,+60
2001-01-02 21:50:26 PST,+38,+60
2001-01-02 21:53:20 PST,+42,+60
2001-01-02 21:56:24 PST,+38,+60
2001-01-02 21:59:22 PST,+42,+60
2001-01-02 22:02:22 PST,+38,+60
2001-01-02 22:05:19 PST,+42,+60
2001-01-02 22:08:20 PST,+38,+60
2001-01-02 22:11:21 PST,+42,+60
2001-01-02 22:14:19 PST,+38.1333,+60
2001-01-03 06:00:00 PST,+38,+75
2001-01-03 06:00:07 PST,+42,+75
2001-01-03 06:01:56 PST,+40.9133,+75
2001-01-03 21:00:00 PST,+44.5785,+60
2001-01-04 06:00:00 PST,+49.553,+75
2001-01-04 21:00:00 PST,+53.6197,+60
2001-01-05 06:00:00 PST,+56.2027,+75
2001-01-05 21:00:00 PST,+57.6048,+60
2001-01-06 06:00:00 PST,+59.1336,+75
2001-01-06 21:00:00 PST,+59.3612,+60
2001-01-07 06:00:00 PST,+60.4255,+75
2001-01-07 21:00:00 PST,+60.1354,+60
2001-01-08 06:00:00 PST,+60.9949,+75
2001-01-08 21:00:00 PST,+60.4766,+60
2001-01-09 06:00:00 PST,+61.2459,+75
2001-01-09 21:00:00 PST,+60.627,+60
2001-01-10 06:00:00 PST,+61.3565,+75
2001-01-10 21:00:00 PST,+60.6933,+60
2001-01-11 06:00:00 PST,+61.4052,+75
2001-01-11 21:00:00 PST,+60.7226,+60
2001-01-12 06:00:00 PST,+61.4267,+75
# end of tape
