# file...... theat_record_0.csv
# date...... Tue Jul 28 13:29:41 2009
# user...... D3K077
# host...... (null)
# target.... house 0
# trigger... (none)
# interval.. 0
# limit..... 48
# timestamp,air_temperature,cooling_setpoint
2001-01-01 00:00:00 PST,+75,+90
2001-01-02 06:00:00 PST,+65.8404,+75
2001-01-02 21:00:00 PST,+58,+60
2001-01-02 21:02:59 PST,+49.9068,+60
2001-01-03 06:00:00 PST,+38,+75
2001-01-03 06:06:34 PST,+42,+75
2001-01-03 06:08:10 PST,+40.8147,+75
2001-01-03 21:00:00 PST,+42.9197,+60
2001-01-04 06:00:00 PST,+48.2891,+75
2001-01-04 21:00:00 PST,+52.7476,+60
2001-01-05 06:00:00 PST,+55.5631,+75
2001-01-05 21:00:00 PST,+57.1528,+60
2001-01-06 06:00:00 PST,+58.8235,+75
2001-01-06 21:00:00 PST,+59.1273,+60
2001-01-07 06:00:00 PST,+60.2849,+75
2001-01-07 21:00:00 PST,+60.0123,+60
2001-01-08 06:00:00 PST,+60.94,+75
2001-01-08 21:00:00 PST,+60.4091,+60
2001-01-09 06:00:00 PST,+61.2336,+75
2001-01-09 21:00:00 PST,+60.5869,+60
2001-01-10 06:00:00 PST,+61.3652,+75
2001-01-10 21:00:00 PST,+60.6666,+60
2001-01-11 06:00:00 PST,+61.4242,+75
2001-01-11 21:00:00 PST,+60.7023,+60
2001-01-12 06:00:00 PST,+61.4506,+75
2001-01-12 21:00:00 PST,+60.7183,+60
2001-01-13 06:00:00 PST,+61.4625,+75
2001-01-13 21:00:00 PST,+60.7255,+60
2001-01-14 06:00:00 PST,+61.4678,+75
2001-01-14 21:00:00 PST,+60.7287,+60
2001-01-15 06:00:00 PST,+61.4702,+75
2001-01-15 21:00:00 PST,+60.7301,+60
2001-01-16 06:00:00 PST,+61.4712,+75
2001-01-16 21:00:00 PST,+60.7308,+60
2001-01-17 06:00:00 PST,+61.4717,+75
2001-01-17 21:00:00 PST,+60.7311,+60
2001-01-18 06:00:00 PST,+61.4719,+75
2001-01-18 21:00:00 PST,+60.7312,+60
2001-01-19 06:00:00 PST,+61.472,+75
2001-01-19 21:00:00 PST,+60.7313,+60
2001-01-20 06:00:00 PST,+61.4721,+75
2001-01-20 21:00:00 PST,+60.7313,+60
2001-01-21 06:00:00 PST,+61.4721,+75
2001-01-21 21:00:00 PST,+60.7313,+60
2001-01-22 06:00:00 PST,+61.4721,+75
2001-01-22 21:00:00 PST,+60.7313,+60
2001-01-23 06:00:00 PST,+61.4721,+75
2001-01-23 21:00:00 PST,+60.7313,+60
2001-01-24 06:00:00 PST,+61.4721,+75
# end of tape
