# file...... Voltage_630.csv
# date...... Wed Dec 01 07:20:04 2010
# user...... D3P313
# host...... (null)
# target.... node 38
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2386.87,-0.289757,-1193.68,-2066.96,-1193.28,+2067.21
2000-01-01 00:01:00 PST,+2371.86,-0.285243,-1186.17,-2053.96,-1185.78,+2054.2
2000-01-01 00:02:00 PST,+2356.84,-0.284968,-1178.66,-2040.96,-1178.27,+2041.2
2000-01-01 00:03:00 PST,+2341.8,-0.349046,-1171.18,-2027.91,-1170.69,+2028.2
2000-01-01 00:04:00 PST,+2326.78,-0.343967,-1163.67,-2014.92,-1163.19,+2015.2
2000-01-01 00:05:00 PST,+2311.73,-0.41795,-1156.17,-2001.89,-1155.68,+2002.2
2000-01-01 00:06:00 PST,+2296.72,-0.403436,-1148.67,-1988.89,-1148.19,+1989.19
2000-01-01 00:07:00 PST,+2296.73,-0.371204,-1141.16,-1975.88,-1140.68,+1976.19
2000-01-01 00:08:00 PST,+2281.72,-0.362213,-1133.64,-1962.89,-1133.18,+1963.18
2000-01-01 00:09:00 PST,+2281.73,-0.33418,-1126.12,-1949.9,-1125.69,+1950.18
2000-01-01 00:10:00 PST,+2281.74,-0.302668,-1118.61,-1936.89,-1118.21,+1937.17
2000-01-01 00:11:00 PST,+2281.75,-0.272429,-1111.09,-1923.91,-1118.24,+1937.16
2000-01-01 00:12:00 PST,+2266.77,-0.214455,-1111.07,-1923.93,-1110.75,+1924.16
2000-01-01 00:13:00 PST,+2266.66,-0.241842,-1111.07,-1923.79,-1110.67,+1924.08
2000-01-01 00:14:00 PST,+2266.64,-0.27386,-1111.08,-1923.77,-1110.66,+1924.08
2000-01-01 00:15:00 PST,+2266.64,-0.279027,-1111.07,-1923.78,-1110.64,+1924.08
2000-01-01 00:16:00 PST,+2266.63,-0.280742,-1111.06,-1923.8,-1110.64,+1924.08
2000-01-01 00:17:00 PST,+2266.63,-0.279701,-1111.05,-1923.8,-1110.65,+1924.08
