# file...... Distribution_Trans_Losses.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# group..... class=transformer AND groupid=Distribution_Trans
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real),sum(power_losses_A.imag),sum(power_losses_B.imag),sum(power_losses_C.imag)
2000-01-01 00:00:00 PST,+141.868,+141.443,+98.7195,+282.309,+273.61,+179.632
2000-01-01 00:01:00 PST,+140.194,+139.797,+97.5471,+279.402,+270.902,+177.734
2000-01-01 00:02:00 PST,+139.099,+138.875,+96.41,+281.033,+273.119,+175.859
2000-01-01 00:03:00 PST,+152.353,+145.847,+107.328,+374.35,+328.651,+259.822
2000-01-01 00:04:00 PST,+152.37,+143.354,+107.256,+374.151,+319.734,+259.619
2000-01-01 00:05:00 PST,+171.671,+149.382,+108.833,+513.424,+364.762,+271.14
2000-01-01 00:06:00 PST,+165.405,+147.149,+103.986,+481.631,+362.029,+245.907
2000-01-01 00:07:00 PST,+157.791,+148.358,+104.37,+428.471,+374.178,+247.256
2000-01-01 00:08:00 PST,+155.736,+146.148,+103.332,+413.934,+358.85,+240.357
2000-01-01 00:09:00 PST,+149.94,+142.836,+100.249,+372.981,+336.804,+219.382
2000-01-01 00:10:00 PST,+140.437,+142.278,+94.9554,+306.992,+336.88,+181.041
2000-01-01 00:11:00 PST,+136.011,+138.134,+90.0689,+276.976,+308.652,+145.92
2000-01-01 00:12:00 PST,+126.283,+130.904,+88.1396,+209.664,+267.709,+136.731
2000-01-01 00:13:00 PST,+134.072,+149.037,+96.9533,+266.113,+395.738,+197.423
2000-01-01 00:14:00 PST,+141.845,+155.564,+98.4782,+317.908,+433.911,+203.514
2000-01-01 00:15:00 PST,+142.709,+152.108,+101.289,+322.753,+408.655,+224.301
2000-01-01 00:16:00 PST,+145.3,+147.945,+102.708,+340.283,+378.415,+235.721
2000-01-01 00:17:00 PST,+145.737,+142.259,+97.6196,+344.604,+336.404,+201.063
2000-01-01 00:18:00 PST,+132.527,+125.954,+92.5995,+247.454,+222.796,+168.056
2000-01-01 00:19:00 PST,+128.736,+120.132,+90.2283,+224.402,+187.12,+156.729
2000-01-01 00:20:00 PST,+131.263,+121.102,+90.5657,+243.036,+193.83,+159.38
2000-01-01 00:21:00 PST,+131.349,+125.399,+90.4082,+245.782,+225.613,+156.677
2000-01-01 00:22:00 PST,+129.706,+125.81,+89.1186,+234.052,+229.431,+147.009
2000-01-01 00:23:00 PST,+128.952,+125.439,+89.1365,+228.743,+227.386,+147.055
2000-01-01 00:24:00 PST,+132.212,+129.643,+89.2387,+254.375,+256.383,+146.668
2000-01-01 00:25:00 PST,+146.639,+148.226,+95.7284,+353.632,+379.509,+185.734
2000-01-01 00:26:00 PST,+149.11,+151.74,+102.214,+369.306,+404.333,+232.004
2000-01-01 00:27:00 PST,+149.903,+151.27,+102.916,+375.368,+400.765,+237.169
2000-01-01 00:28:00 PST,+151.164,+148.403,+104.465,+383.445,+379.632,+248.815
