# file...... Residential_Loads.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# group..... class=triplex_meter AND groupid=Triplex_Meter
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(measured_real_power),sum(measured_reactive_power)
2000-01-01 00:00:00 PST,+648528,-0.0139207
2000-01-01 00:01:00 PST,+642759,-0.010669
2000-01-01 00:02:00 PST,+646192,+2405.73
2000-01-01 00:03:00 PST,+825160,+49308.3
2000-01-01 00:04:00 PST,+818213,+49318.4
2000-01-01 00:05:00 PST,+936418,+82286.1
2000-01-01 00:06:00 PST,+907454,+79208.3
2000-01-01 00:07:00 PST,+881785,+82518.6
2000-01-01 00:08:00 PST,+859046,+81234.6
2000-01-01 00:09:00 PST,+807970,+74818.7
2000-01-01 00:10:00 PST,+734923,+69343.3
2000-01-01 00:11:00 PST,+660123,+55879.7
2000-01-01 00:12:00 PST,+560346,+33359
2000-01-01 00:13:00 PST,+747750,+85376.3
2000-01-01 00:14:00 PST,+814752,+103149
2000-01-01 00:15:00 PST,+819312,+106477
2000-01-01 00:16:00 PST,+818807,+111493
2000-01-01 00:17:00 PST,+766275,+101372
2000-01-01 00:18:00 PST,+577448,+53710.5
2000-01-01 00:19:00 PST,+516722,+38843.2
2000-01-01 00:20:00 PST,+543350,+45728.8
2000-01-01 00:21:00 PST,+574408,+54845.9
2000-01-01 00:22:00 PST,+559156,+50098.2
2000-01-01 00:23:00 PST,+556049,+49702.2
2000-01-01 00:24:00 PST,+603528,+61003.8
2000-01-01 00:25:00 PST,+788030,+106449
2000-01-01 00:26:00 PST,+850889,+122630
2000-01-01 00:27:00 PST,+859107,+125957
2000-01-01 00:28:00 PST,+860404,+127281
2000-01-01 00:29:00 PST,+807896,+114300
2000-01-01 00:30:00 PST,+809404,+114790
2000-01-01 00:31:00 PST,+838075,+122278
2000-01-01 00:32:00 PST,+829184,+118210
2000-01-01 00:33:00 PST,+775848,+105903
2000-01-01 00:34:00 PST,+832088,+121200
2000-01-01 00:35:00 PST,+894281,+133537
2000-01-01 00:36:00 PST,+881669,+130527
2000-01-01 00:37:00 PST,+962225,+151184
2000-01-01 00:38:00 PST,+944347,+146822
2000-01-01 00:39:00 PST,+941544,+146106
2000-01-01 00:40:00 PST,+930533,+143466
2000-01-01 00:41:00 PST,+857585,+125219
2000-01-01 00:42:00 PST,+780303,+106797
2000-01-01 00:43:00 PST,+760055,+103838
2000-01-01 00:44:00 PST,+668668,+81041.8
2000-01-01 00:45:00 PST,+655183,+77874.7
2000-01-01 00:46:00 PST,+821693,+119146
2000-01-01 00:47:00 PST,+971143,+157278
2000-01-01 00:48:00 PST,+1.11166e+006,+192924
2000-01-01 00:49:00 PST,+1.18979e+006,+210179
2000-01-01 00:50:00 PST,+1.27108e+006,+230933
2000-01-01 00:51:00 PST,+1.24475e+006,+222825
2000-01-01 00:52:00 PST,+1.11629e+006,+190758
2000-01-01 00:53:00 PST,+1.04489e+006,+172898
2000-01-01 00:54:00 PST,+941584,+146997
2000-01-01 00:55:00 PST,+836191,+120709
2000-01-01 00:56:00 PST,+786516,+108281
2000-01-01 00:57:00 PST,+794225,+110268
2000-01-01 00:58:00 PST,+802593,+111607
2000-01-01 00:59:00 PST,+882231,+131979
2000-01-01 01:00:00 PST,+913084,+140210
2000-01-01 01:01:00 PST,+1.02748e+006,+169160
2000-01-01 01:02:00 PST,+1.14177e+006,+198277
2000-01-01 01:03:00 PST,+1.16889e+006,+205369
2000-01-01 01:04:00 PST,+1.21935e+006,+217101
2000-01-01 01:05:00 PST,+1.26978e+006,+231046
2000-01-01 01:06:00 PST,+1.20855e+006,+215927
2000-01-01 01:07:00 PST,+1.21907e+006,+218719
2000-01-01 01:08:00 PST,+1.22598e+006,+220550
2000-01-01 01:09:00 PST,+1.23313e+006,+222480
2000-01-01 01:10:00 PST,+1.19825e+006,+212957
2000-01-01 01:11:00 PST,+1.12825e+006,+197022
2000-01-01 01:12:00 PST,+1.11746e+006,+194636
2000-01-01 01:13:00 PST,+1.04993e+006,+176648
2000-01-01 01:14:00 PST,+1.08568e+006,+185687
2000-01-01 01:15:00 PST,+1.02218e+006,+170724
2000-01-01 01:16:00 PST,+1.05742e+006,+178747
2000-01-01 01:17:00 PST,+1.0534e+006,+177885
2000-01-01 01:18:00 PST,+1.06175e+006,+181281
2000-01-01 01:19:00 PST,+1.05679e+006,+180226
2000-01-01 01:20:00 PST,+1.09747e+006,+191845
2000-01-01 01:21:00 PST,+1.1382e+006,+203542
2000-01-01 01:22:00 PST,+1.22726e+006,+226156
2000-01-01 01:23:00 PST,+1.30252e+006,+246401
2000-01-01 01:24:00 PST,+1.43579e+006,+279126
2000-01-01 01:25:00 PST,+1.44791e+006,+282253
2000-01-01 01:26:00 PST,+1.46015e+006,+285496
2000-01-01 01:27:00 PST,+1.40412e+006,+271582
2000-01-01 01:28:00 PST,+1.3671e+006,+262395
2000-01-01 01:29:00 PST,+1.28725e+006,+242468
2000-01-01 01:30:00 PST,+1.13487e+006,+203131
2000-01-01 01:31:00 PST,+1.09202e+006,+190391
2000-01-01 01:32:00 PST,+1.13241e+006,+200683
2000-01-01 01:33:00 PST,+1.16486e+006,+209160
2000-01-01 01:34:00 PST,+1.14148e+006,+203477
2000-01-01 01:35:00 PST,+1.21257e+006,+221578
2000-01-01 01:36:00 PST,+1.25312e+006,+231875
2000-01-01 01:37:00 PST,+1.30778e+006,+245931
2000-01-01 01:38:00 PST,+1.36941e+006,+260755
2000-01-01 01:39:00 PST,+1.44449e+006,+279666
2000-01-01 01:40:00 PST,+1.48263e+006,+289527
2000-01-01 01:41:00 PST,+1.47666e+006,+288151
2000-01-01 01:42:00 PST,+1.45492e+006,+281728
2000-01-01 01:43:00 PST,+1.39767e+006,+267321
2000-01-01 01:44:00 PST,+1.36652e+006,+258487
2000-01-01 01:45:00 PST,+1.29982e+006,+243883
2000-01-01 01:46:00 PST,+1.27365e+006,+236426
2000-01-01 01:47:00 PST,+1.3289e+006,+250588
2000-01-01 01:48:00 PST,+1.28081e+006,+238575
2000-01-01 01:49:00 PST,+1.28801e+006,+239623
2000-01-01 01:50:00 PST,+1.3002e+006,+239681
2000-01-01 01:51:00 PST,+1.28034e+006,+233898
2000-01-01 01:52:00 PST,+1.31146e+006,+240952
2000-01-01 01:53:00 PST,+1.3971e+006,+265553
2000-01-01 01:54:00 PST,+1.47112e+006,+284251
2000-01-01 01:55:00 PST,+1.45492e+006,+280003
2000-01-01 01:56:00 PST,+1.48052e+006,+286564
2000-01-01 01:57:00 PST,+1.53e+006,+298644
2000-01-01 01:58:00 PST,+1.44919e+006,+278153
2000-01-01 01:59:00 PST,+1.43595e+006,+275956
2000-01-01 02:00:00 PST,+1.42888e+006,+273419
2000-01-01 02:01:00 PST,+1.38887e+006,+263185
2000-01-01 02:02:00 PST,+1.36454e+006,+254923
2000-01-01 02:03:00 PST,+1.26831e+006,+231919
2000-01-01 02:04:00 PST,+1.28941e+006,+236275
2000-01-01 02:05:00 PST,+1.32189e+006,+242624
2000-01-01 02:06:00 PST,+1.30949e+006,+237829
2000-01-01 02:07:00 PST,+1.38034e+006,+253571
2000-01-01 02:08:00 PST,+1.46054e+006,+272957
2000-01-01 02:09:00 PST,+1.48186e+006,+281441
2000-01-01 02:10:00 PST,+1.50066e+006,+284030
2000-01-01 02:11:00 PST,+1.53558e+006,+292715
2000-01-01 02:12:00 PST,+1.50693e+006,+287514
2000-01-01 02:13:00 PST,+1.48171e+006,+280027
2000-01-01 02:14:00 PST,+1.49825e+006,+282245
2000-01-01 02:15:00 PST,+1.43312e+006,+263663
2000-01-01 02:16:00 PST,+1.36921e+006,+247222
2000-01-01 02:17:00 PST,+1.36741e+006,+245700
2000-01-01 02:18:00 PST,+1.33945e+006,+242887
2000-01-01 02:19:00 PST,+1.30997e+006,+235599
2000-01-01 02:20:00 PST,+1.35373e+006,+243607
2000-01-01 02:21:00 PST,+1.4247e+006,+262776
2000-01-01 02:22:00 PST,+1.49219e+006,+277917
2000-01-01 02:23:00 PST,+1.54645e+006,+289753
2000-01-01 02:24:00 PST,+1.60952e+006,+307005
2000-01-01 02:25:00 PST,+1.64491e+006,+316964
2000-01-01 02:26:00 PST,+1.67492e+006,+319314
2000-01-01 02:27:00 PST,+1.65744e+006,+312934
2000-01-01 02:28:00 PST,+1.55462e+006,+288163
2000-01-01 02:29:00 PST,+1.56015e+006,+287634
2000-01-01 02:30:00 PST,+1.50712e+006,+273254
2000-01-01 02:31:00 PST,+1.42859e+006,+254434
2000-01-01 02:32:00 PST,+1.43424e+006,+256167
2000-01-01 02:33:00 PST,+1.41522e+006,+251660
2000-01-01 02:34:00 PST,+1.42723e+006,+251487
2000-01-01 02:35:00 PST,+1.4222e+006,+248958
2000-01-01 02:36:00 PST,+1.48465e+006,+262729
2000-01-01 02:37:00 PST,+1.54131e+006,+275958
2000-01-01 02:38:00 PST,+1.59794e+006,+288251
2000-01-01 02:39:00 PST,+1.66414e+006,+302098
2000-01-01 02:40:00 PST,+1.67862e+006,+306697
2000-01-01 02:41:00 PST,+1.66051e+006,+302405
2000-01-01 02:42:00 PST,+1.64414e+006,+292910
2000-01-01 02:43:00 PST,+1.68823e+006,+299784
2000-01-01 02:44:00 PST,+1.6654e+006,+290805
2000-01-01 02:45:00 PST,+1.59155e+006,+271074
2000-01-01 02:46:00 PST,+1.55362e+006,+263688
2000-01-01 02:47:00 PST,+1.53306e+006,+253457
2000-01-01 02:48:00 PST,+1.56659e+006,+258056
2000-01-01 02:49:00 PST,+1.60128e+006,+266981
2000-01-01 02:50:00 PST,+1.61707e+006,+270960
2000-01-01 02:51:00 PST,+1.68606e+006,+289751
2000-01-01 02:52:00 PST,+1.66809e+006,+287035
2000-01-01 02:53:00 PST,+1.73547e+006,+305233
2000-01-01 02:54:00 PST,+1.75045e+006,+303979
2000-01-01 02:55:00 PST,+1.71907e+006,+292034
2000-01-01 02:56:00 PST,+1.69708e+006,+281539
2000-01-01 02:57:00 PST,+1.7407e+006,+289597
2000-01-01 02:58:00 PST,+1.68742e+006,+279312
2000-01-01 02:59:00 PST,+1.68523e+006,+277934
2000-01-01 03:00:00 PST,+1.59475e+006,+258090
2000-01-01 03:01:00 PST,+1.61184e+006,+262336
2000-01-01 03:02:00 PST,+1.64475e+006,+269822
2000-01-01 03:03:00 PST,+1.63886e+006,+270267
2000-01-01 03:04:00 PST,+1.64941e+006,+269329
2000-01-01 03:05:00 PST,+1.71347e+006,+289926
2000-01-01 03:06:00 PST,+1.78068e+006,+303973
2000-01-01 03:07:00 PST,+1.92158e+006,+330808
2000-01-01 03:08:00 PST,+1.89783e+006,+316828
2000-01-01 03:09:00 PST,+1.85385e+006,+301685
2000-01-01 03:10:00 PST,+1.80664e+006,+290264
2000-01-01 03:11:00 PST,+1.81198e+006,+293467
2000-01-01 03:12:00 PST,+1.7086e+006,+264540
2000-01-01 03:13:00 PST,+1.72231e+006,+273951
2000-01-01 03:14:00 PST,+1.75612e+006,+282696
2000-01-01 03:15:00 PST,+1.72651e+006,+279568
2000-01-01 03:16:00 PST,+1.70223e+006,+279666
2000-01-01 03:17:00 PST,+1.74536e+006,+292932
2000-01-01 03:18:00 PST,+1.79676e+006,+305465
2000-01-01 03:19:00 PST,+1.75118e+006,+293601
2000-01-01 03:20:00 PST,+1.87571e+006,+322233
2000-01-01 03:21:00 PST,+1.84631e+006,+313700
2000-01-01 03:22:00 PST,+1.76558e+006,+297319
2000-01-01 03:23:00 PST,+1.7924e+006,+305207
2000-01-01 03:24:00 PST,+1.75013e+006,+292329
2000-01-01 03:25:00 PST,+1.76619e+006,+293381
2000-01-01 03:26:00 PST,+1.76242e+006,+290511
2000-01-01 03:27:00 PST,+1.69781e+006,+274876
2000-01-01 03:28:00 PST,+1.7101e+006,+278462
2000-01-01 03:29:00 PST,+1.6909e+006,+271280
2000-01-01 03:30:00 PST,+1.75228e+006,+283012
2000-01-01 03:31:00 PST,+1.7807e+006,+290527
2000-01-01 03:32:00 PST,+1.82778e+006,+303544
2000-01-01 03:33:00 PST,+1.90379e+006,+326160
2000-01-01 03:34:00 PST,+1.85368e+006,+315524
2000-01-01 03:35:00 PST,+1.80969e+006,+308303
2000-01-01 03:36:00 PST,+1.84043e+006,+316811
2000-01-01 03:37:00 PST,+1.83159e+006,+313527
2000-01-01 03:38:00 PST,+1.80545e+006,+301314
2000-01-01 03:39:00 PST,+1.78497e+006,+297349
2000-01-01 03:40:00 PST,+1.77289e+006,+294345
2000-01-01 03:41:00 PST,+1.75546e+006,+293630
2000-01-01 03:42:00 PST,+1.72676e+006,+285880
2000-01-01 03:43:00 PST,+1.72462e+006,+283120
2000-01-01 03:44:00 PST,+1.7784e+006,+300682
2000-01-01 03:45:00 PST,+1.79322e+006,+306227
2000-01-01 03:46:00 PST,+1.84038e+006,+321689
2000-01-01 03:47:00 PST,+1.75976e+006,+303343
2000-01-01 03:48:00 PST,+1.75797e+006,+302227
2000-01-01 03:49:00 PST,+1.75436e+006,+301306
2000-01-01 03:50:00 PST,+1.73714e+006,+296835
2000-01-01 03:51:00 PST,+1.72001e+006,+294556
2000-01-01 03:52:00 PST,+1.78771e+006,+311770
2000-01-01 03:53:00 PST,+1.74527e+006,+307181
2000-01-01 03:54:00 PST,+1.68703e+006,+291717
2000-01-01 03:55:00 PST,+1.68438e+006,+295074
2000-01-01 03:56:00 PST,+1.77093e+006,+315970
2000-01-01 03:57:00 PST,+1.7463e+006,+312502
