# file...... Triplex_Line_Losses.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# group..... class=triplex_line AND groupid=Triplex_Line
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real),sum(power_losses_A.imag),sum(power_losses_B.imag),sum(power_losses_C.imag)
2000-01-01 00:00:00 PST,+167.598,+49.77,+0,+50.4746,+3.27378,+0
2000-01-01 00:01:00 PST,+166.666,+49.0841,+0,+50.2881,+3.18571,+0
2000-01-01 00:02:00 PST,+171.842,+52.7301,+0,+51.472,+3.50953,+0
2000-01-01 00:03:00 PST,+267.762,+113.295,+0,+74.3854,+7.4673,+0
2000-01-01 00:04:00 PST,+266.078,+112.446,+0,+73.9893,+7.39809,+0
2000-01-01 00:05:00 PST,+315.34,+139.298,+0,+86.6432,+7.79615,+0
2000-01-01 00:06:00 PST,+306.12,+135.034,+0,+84.3223,+7.73193,+0
2000-01-01 00:07:00 PST,+292.198,+125.225,+0,+81.6316,+6.26434,+0
2000-01-01 00:08:00 PST,+284.138,+120.794,+0,+79.7486,+5.95325,+0
2000-01-01 00:09:00 PST,+264.528,+109.993,+0,+75.006,+5.3841,+0
2000-01-01 00:10:00 PST,+225.955,+86.2422,+0,+66.2477,+3.33382,+0
2000-01-01 00:11:00 PST,+194.128,+69.6251,+0,+58.3162,+2.86078,+0
2000-01-01 00:12:00 PST,+150.099,+44.7252,+0,+47.4231,+1.85335,+0
2000-01-01 00:13:00 PST,+241.469,+108.614,+0,+68.2703,+7.6708,+0
2000-01-01 00:14:00 PST,+266.892,+125.114,+0,+74.2808,+8.8267,+0
2000-01-01 00:15:00 PST,+272.673,+128.275,+0,+75.8153,+8.76613,+0
2000-01-01 00:16:00 PST,+274.17,+129.054,+0,+76.377,+8.53298,+0
2000-01-01 00:17:00 PST,+256.857,+118.047,+0,+72.3801,+7.61485,+0
2000-01-01 00:18:00 PST,+167.724,+60.6631,+0,+51.333,+3.34853,+0
2000-01-01 00:19:00 PST,+142.967,+44.7843,+0,+45.4554,+2.18172,+0
2000-01-01 00:20:00 PST,+152.959,+49.8389,+0,+48.0439,+2.12497,+0
2000-01-01 00:21:00 PST,+164.051,+57.496,+0,+50.5966,+2.7106,+0
2000-01-01 00:22:00 PST,+157.259,+54.073,+0,+48.7453,+2.75451,+0
2000-01-01 00:23:00 PST,+155.678,+53.1084,+0,+48.3532,+2.64315,+0
2000-01-01 00:24:00 PST,+172.75,+65.4949,+0,+52.1042,+3.91254,+0
2000-01-01 00:25:00 PST,+257.112,+119.37,+0,+72.0503,+7.72512,+0
2000-01-01 00:26:00 PST,+286.758,+139.343,+0,+78.8824,+9.35261,+0
2000-01-01 00:27:00 PST,+291.854,+143.024,+0,+80.0752,+9.61104,+0
2000-01-01 00:28:00 PST,+294.926,+145.284,+0,+80.7785,+9.78478,+0
2000-01-01 00:29:00 PST,+271.713,+131.645,+0,+75.0461,+9.07912,+0
2000-01-01 00:30:00 PST,+268.492,+129.235,+0,+74.3363,+8.75283,+0
2000-01-01 00:31:00 PST,+278.846,+133.526,+0,+77.2054,+8.34335,+0
2000-01-01 00:32:00 PST,+276.67,+130.145,+0,+76.9498,+7.58655,+0
2000-01-01 00:33:00 PST,+252.787,+114.502,+0,+71.3817,+6.29613,+0
2000-01-01 00:34:00 PST,+275.221,+130.453,+0,+76.4104,+7.82609,+0
2000-01-01 00:35:00 PST,+305.48,+150.37,+0,+83.2982,+9.49448,+0
2000-01-01 00:36:00 PST,+300.553,+148.577,+0,+81.8911,+9.70608,+0
2000-01-01 00:37:00 PST,+341.999,+177.648,+0,+91.24,+12.4324,+0
2000-01-01 00:38:00 PST,+325.932,+166.714,+0,+87.5347,+11.4271,+0
2000-01-01 00:39:00 PST,+330.592,+170.342,+0,+88.4992,+11.8612,+0
2000-01-01 00:40:00 PST,+327.929,+168.582,+0,+87.862,+11.6783,+0
2000-01-01 00:41:00 PST,+299.331,+150.729,+0,+80.9901,+10.4781,+0
2000-01-01 00:42:00 PST,+261.185,+127.178,+0,+71.8223,+8.94731,+0
2000-01-01 00:43:00 PST,+255.231,+124.496,+0,+70.2904,+8.95338,+0
2000-01-01 00:44:00 PST,+207.744,+95.1275,+0,+58.8501,+7.09009,+0
2000-01-01 00:45:00 PST,+192.442,+84.5945,+0,+55.3443,+6.07737,+0
2000-01-01 00:46:00 PST,+260.47,+127.335,+0,+71.5325,+8.88365,+0
2000-01-01 00:47:00 PST,+324.967,+168.575,+0,+86.8005,+11.7418,+0
2000-01-01 00:48:00 PST,+390.701,+208.833,+0,+102.685,+14.0623,+0
2000-01-01 00:49:00 PST,+431.574,+233.295,+0,+112.461,+15.4604,+0
2000-01-01 00:50:00 PST,+473.958,+261.851,+0,+122.24,+17.8311,+0
2000-01-01 00:51:00 PST,+472.005,+260.573,+0,+121.63,+17.8316,+0
2000-01-01 00:52:00 PST,+420.189,+228.687,+0,+109.096,+15.8225,+0
2000-01-01 00:53:00 PST,+391.909,+211.598,+0,+102.199,+14.8334,+0
2000-01-01 00:54:00 PST,+343.891,+182.9,+0,+90.4494,+13.3054,+0
2000-01-01 00:55:00 PST,+297.049,+154.21,+0,+79.1096,+11.5642,+0
2000-01-01 00:56:00 PST,+273.974,+141.565,+0,+73.2447,+11.2039,+0
2000-01-01 00:57:00 PST,+277.764,+145.026,+0,+73.9428,+11.7193,+0
2000-01-01 00:58:00 PST,+277.12,+143.954,+0,+73.8688,+11.4427,+0
2000-01-01 00:59:00 PST,+300.383,+162.237,+0,+78.7661,+13.6531,+0
2000-01-01 01:00:00 PST,+308.642,+166.971,+0,+80.7807,+13.6907,+0
2000-01-01 01:01:00 PST,+357.124,+196.674,+0,+92.499,+15.4194,+0
2000-01-01 01:02:00 PST,+404.692,+226.569,+0,+103.857,+17.3773,+0
2000-01-01 01:03:00 PST,+419.151,+236.613,+0,+107.12,+18.2637,+0
2000-01-01 01:04:00 PST,+447.746,+254.313,+0,+113.928,+19.3972,+0
2000-01-01 01:05:00 PST,+469.951,+268.173,+0,+119.263,+20.235,+0
2000-01-01 01:06:00 PST,+443.508,+249.644,+0,+113.267,+18.3918,+0
2000-01-01 01:07:00 PST,+455.595,+258.559,+0,+115.894,+19.3155,+0
2000-01-01 01:08:00 PST,+457.688,+259.988,+0,+116.366,+19.4091,+0
2000-01-01 01:09:00 PST,+458.22,+260.392,+0,+116.467,+19.3862,+0
2000-01-01 01:10:00 PST,+444.591,+253.634,+0,+112.844,+19.4144,+0
2000-01-01 01:11:00 PST,+414.867,+235.987,+0,+105.636,+18.3989,+0
2000-01-01 01:12:00 PST,+403.415,+227.851,+0,+103.08,+17.5354,+0
2000-01-01 01:13:00 PST,+375.084,+211.148,+0,+96.0841,+16.7198,+0
2000-01-01 01:14:00 PST,+386.621,+218.43,+0,+98.823,+17.1939,+0
2000-01-01 01:15:00 PST,+358.393,+200.095,+0,+92.2086,+15.7394,+0
2000-01-01 01:16:00 PST,+373.933,+211.357,+0,+95.5713,+16.9397,+0
2000-01-01 01:17:00 PST,+376.952,+214.885,+0,+95.9859,+17.6257,+0
2000-01-01 01:18:00 PST,+382.202,+217.487,+0,+97.3735,+17.5275,+0
2000-01-01 01:19:00 PST,+374.959,+213.209,+0,+95.5748,+17.2866,+0
2000-01-01 01:20:00 PST,+394.349,+224.838,+0,+100.325,+17.8383,+0
2000-01-01 01:21:00 PST,+409.219,+234.047,+0,+103.954,+18.2715,+0
2000-01-01 01:22:00 PST,+443.25,+257.448,+0,+111.713,+20.3578,+0
2000-01-01 01:23:00 PST,+478.513,+281.59,+0,+119.823,+22.4183,+0
2000-01-01 01:24:00 PST,+536.385,+318.872,+0,+133.442,+25.1487,+0
2000-01-01 01:25:00 PST,+544.592,+325.418,+0,+135.156,+25.9495,+0
2000-01-01 01:26:00 PST,+554.753,+331.73,+0,+137.585,+26.2997,+0
2000-01-01 01:27:00 PST,+535.29,+316.958,+0,+133.389,+24.5473,+0
2000-01-01 01:28:00 PST,+517.243,+303.734,+0,+129.416,+23.0942,+0
2000-01-01 01:29:00 PST,+479.471,+280.571,+0,+120.277,+21.6547,+0
2000-01-01 01:30:00 PST,+409.001,+235.184,+0,+103.577,+18.3602,+0
2000-01-01 01:31:00 PST,+390.931,+223.087,+0,+99.2974,+17.4026,+0
2000-01-01 01:32:00 PST,+403.94,+233.589,+0,+101.965,+18.7609,+0
2000-01-01 01:33:00 PST,+416.28,+241.565,+0,+104.869,+19.321,+0
2000-01-01 01:34:00 PST,+398.075,+230.886,+0,+100.379,+18.7882,+0
2000-01-01 01:35:00 PST,+431.61,+254.409,+0,+107.933,+21.0145,+0
2000-01-01 01:36:00 PST,+449.762,+265.503,+0,+112.322,+21.6344,+0
2000-01-01 01:37:00 PST,+477.623,+285.406,+0,+118.539,+23.5881,+0
2000-01-01 01:38:00 PST,+504.617,+303.573,+0,+124.715,+25.1444,+0
2000-01-01 01:39:00 PST,+543.509,+330.23,+0,+133.589,+27.5355,+0
2000-01-01 01:40:00 PST,+566.436,+343.643,+0,+139.254,+28.1015,+0
2000-01-01 01:41:00 PST,+566.843,+343.06,+0,+139.491,+27.7791,+0
2000-01-01 01:42:00 PST,+556.5,+336.263,+0,+137.012,+27.2525,+0
2000-01-01 01:43:00 PST,+535.314,+320.91,+0,+132.305,+25.6446,+0
2000-01-01 01:44:00 PST,+512.777,+305.658,+0,+127.087,+24.3172,+0
2000-01-01 01:45:00 PST,+471.101,+276.783,+0,+117.709,+21.5012,+0
2000-01-01 01:46:00 PST,+460.955,+272.211,+0,+114.898,+21.7258,+0
2000-01-01 01:47:00 PST,+481.51,+288.456,+0,+119.2,+23.7164,+0
2000-01-01 01:48:00 PST,+459.759,+276.65,+0,+113.686,+23.4159,+0
2000-01-01 01:49:00 PST,+466.753,+283.042,+0,+114.992,+24.3643,+0
2000-01-01 01:50:00 PST,+476.912,+291.506,+0,+116.896,+25.6288,+0
2000-01-01 01:51:00 PST,+474.073,+291.494,+0,+115.918,+26.0825,+0
2000-01-01 01:52:00 PST,+490.701,+304.923,+0,+119.308,+27.7943,+0
2000-01-01 01:53:00 PST,+527.613,+328.535,+0,+128.217,+29.2722,+0
2000-01-01 01:54:00 PST,+562.528,+350.019,+0,+136.627,+30.5431,+0
2000-01-01 01:55:00 PST,+554.812,+344.033,+0,+134.971,+29.796,+0
2000-01-01 01:56:00 PST,+560.947,+346.216,+0,+136.722,+29.4359,+0
2000-01-01 01:57:00 PST,+572.874,+354.583,+0,+139.416,+30.199,+0
2000-01-01 01:58:00 PST,+535.292,+326.426,+0,+131.239,+27.0268,+0
2000-01-01 01:59:00 PST,+529.656,+322.165,+0,+130.031,+26.5044,+0
2000-01-01 02:00:00 PST,+518.971,+317.987,+0,+126.976,+26.8759,+0
2000-01-01 02:01:00 PST,+501.727,+309.509,+0,+122.419,+27.0008,+0
2000-01-01 02:02:00 PST,+483.357,+296.092,+0,+118.283,+25.6485,+0
2000-01-01 02:03:00 PST,+448.639,+273.88,+0,+110.082,+24.0077,+0
2000-01-01 02:04:00 PST,+457.721,+280.627,+0,+112.031,+24.7714,+0
2000-01-01 02:05:00 PST,+481.75,+299.739,+0,+116.965,+27.2456,+0
2000-01-01 02:06:00 PST,+482.311,+300.615,+0,+116.935,+27.4769,+0
2000-01-01 02:07:00 PST,+518.351,+326.264,+0,+124.914,+30.0914,+0
2000-01-01 02:08:00 PST,+547.897,+344.346,+0,+132.02,+31.1738,+0
2000-01-01 02:09:00 PST,+558.157,+351.587,+0,+134.489,+31.6838,+0
2000-01-01 02:10:00 PST,+563.171,+353.66,+0,+135.776,+31.5758,+0
2000-01-01 02:11:00 PST,+570.359,+357.181,+0,+137.675,+31.5014,+0
2000-01-01 02:12:00 PST,+554.174,+343.652,+0,+134.475,+29.5653,+0
2000-01-01 02:13:00 PST,+535.873,+329.719,+0,+130.477,+27.9931,+0
2000-01-01 02:14:00 PST,+554.825,+346.097,+0,+134.13,+30.4123,+0
2000-01-01 02:15:00 PST,+532.613,+332.11,+0,+128.734,+29.5528,+0
2000-01-01 02:16:00 PST,+508.38,+318.734,+0,+122.575,+29.2109,+0
2000-01-01 02:17:00 PST,+503.544,+316.385,+0,+121.243,+29.2918,+0
2000-01-01 02:18:00 PST,+482.866,+301.21,+0,+116.835,+27.5011,+0
2000-01-01 02:19:00 PST,+474.488,+295.799,+0,+114.858,+27.0727,+0
2000-01-01 02:20:00 PST,+491.709,+306.459,+0,+118.859,+27.8581,+0
2000-01-01 02:21:00 PST,+533.167,+337.854,+0,+127.831,+31.403,+0
2000-01-01 02:22:00 PST,+557.133,+354.178,+0,+133.242,+32.917,+0
2000-01-01 02:23:00 PST,+589.619,+379.277,+0,+140.068,+35.9798,+0
2000-01-01 02:24:00 PST,+613.148,+392.584,+0,+145.996,+36.3854,+0
2000-01-01 02:25:00 PST,+633.166,+406.314,+0,+150.635,+37.5519,+0
2000-01-01 02:26:00 PST,+640.262,+410.182,+0,+152.245,+37.8127,+0
2000-01-01 02:27:00 PST,+632.839,+403.899,+0,+150.679,+37.0025,+0
2000-01-01 02:28:00 PST,+591.454,+376.317,+0,+141.155,+34.6311,+0
2000-01-01 02:29:00 PST,+595.028,+380.061,+0,+141.682,+35.3233,+0
2000-01-01 02:30:00 PST,+558.869,+351.629,+0,+134.033,+31.8326,+0
2000-01-01 02:31:00 PST,+520.887,+325.015,+0,+125.516,+29.2149,+0
2000-01-01 02:32:00 PST,+526.544,+330.846,+0,+126.496,+30.2022,+0
2000-01-01 02:33:00 PST,+525.961,+335.211,+0,+125.509,+31.8322,+0
2000-01-01 02:34:00 PST,+541.173,+348.975,+0,+128.279,+34.0402,+0
2000-01-01 02:35:00 PST,+537.82,+346.095,+0,+127.521,+33.7181,+0
2000-01-01 02:36:00 PST,+565.97,+367.539,+0,+133.506,+36.2674,+0
2000-01-01 02:37:00 PST,+591.58,+384.266,+0,+139.475,+37.5697,+0
2000-01-01 02:38:00 PST,+614.578,+399.066,+0,+144.807,+38.7314,+0
2000-01-01 02:39:00 PST,+642.089,+417.432,+0,+151.034,+40.4025,+0
2000-01-01 02:40:00 PST,+653.253,+425.475,+0,+153.558,+41.1865,+0
2000-01-01 02:41:00 PST,+658.81,+432.11,+0,+154.333,+42.4936,+0
