# file...... Voltage_630.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# target.... node 38
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2386.87,-0.289757,-1193.68,-2066.96,-1193.28,+2067.21
2000-01-01 00:01:00 PST,+2371.86,-0.285243,-1186.17,-2053.96,-1185.78,+2054.2
2000-01-01 00:02:00 PST,+2356.84,-0.284968,-1178.66,-2040.96,-1178.27,+2041.2
2000-01-01 00:03:00 PST,+2356.81,-0.354047,-1171.18,-2027.91,-1170.69,+2028.2
2000-01-01 00:04:00 PST,+2356.81,-0.35391,-1163.67,-2014.92,-1170.69,+2028.2
2000-01-01 00:05:00 PST,+2356.77,-0.434865,-1156.17,-2001.89,-1170.68,+2028.2
2000-01-01 00:06:00 PST,+2356.67,-0.401589,-1156.11,-2001.81,-1170.66,+2028.11
2000-01-01 00:07:00 PST,+2356.68,-0.371806,-1156.12,-2001.8,-1170.67,+2028.11
2000-01-01 00:08:00 PST,+2356.69,-0.362721,-1156.11,-2001.81,-1170.67,+2028.11
2000-01-01 00:09:00 PST,+2356.7,-0.337345,-1156.1,-2001.82,-1170.68,+2028.1
2000-01-01 00:10:00 PST,+2356.71,-0.290288,-1156.1,-2001.82,-1170.71,+2028.1
2000-01-01 00:11:00 PST,+2356.72,-0.267561,-1156.08,-2001.83,-1170.75,+2028.09
2000-01-01 00:12:00 PST,+2356.7,-0.198512,-1156.04,-2001.82,-1170.74,+2028.04
2000-01-01 00:13:00 PST,+2356.68,-0.247324,-1156.09,-2001.75,-1170.68,+2028.05
2000-01-01 00:14:00 PST,+2356.71,-0.29309,-1156.13,-2001.76,-1170.69,+2028.09
2000-01-01 00:15:00 PST,+2356.71,-0.294537,-1156.12,-2001.77,-1170.67,+2028.1
2000-01-01 00:16:00 PST,+2356.7,-0.303863,-1156.11,-2001.79,-1170.66,+2028.1
2000-01-01 00:17:00 PST,+2356.7,-0.306059,-1156.09,-2001.81,-1170.69,+2028.09
