# file...... reg1_output.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# target.... regulator 55
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 PST,-1,-1,-1,+254837,-140505,+241518,-143968,+161835,-147147,+658189,-431621
2000-01-01 00:01:00 PST,-2,-2,-2,+252530,-138689,+239440,-142115,+160366,-145287,+652335,-426091
2000-01-01 00:02:00 PST,-3,-3,-3,+254480,-135528,+242488,-138720,+158825,-143502,+655794,-417751
2000-01-01 00:03:00 PST,-3,-4,-4,+324497,-112851,+286286,-123104,+226440,-120886,+837224,-356841
2000-01-01 00:04:00 PST,-3,-5,-4,+324370,-112820,+279417,-121705,+226336,-120834,+830123,-355359
2000-01-01 00:05:00 PST,-3,-6,-4,+406743,-84125.5,+310450,-108968,+233758,-118141,+950951,-311234
2000-01-01 00:06:00 PST,-3,-6,-4,+388478,+8032.9,+310272,-14782.4,+219674,-26405.8,+918424,-33155.3
2000-01-01 00:07:00 PST,-3,-6,-4,+359015,+3093.63,+315739,-9227.69,+217369,-25696,+892123,-31830
2000-01-01 00:08:00 PST,-3,-6,-4,+350161,+2471.1,+306145,-11240.3,+212444,-25881.4,+868750,-34650.6
2000-01-01 00:09:00 PST,-3,-6,-4,+324803,-3442.41,+291648,-13576.7,+200080,-27142.8,+816531,-44161.9
2000-01-01 00:10:00 PST,-3,-6,-4,+278142,-11983.6,+293271,-9488.92,+170842,-31925.2,+742255,-53397.7
2000-01-01 00:11:00 PST,-3,-6,-4,+255370,-17681.1,+274931,-12738.1,+136120,-39575.2,+666421,-69994.4
2000-01-01 00:12:00 PST,-3,-6,-4,+193134,+11325.9,+245190,+25410.7,+126461,+6766.82,+564785,+43503.4
2000-01-01 00:13:00 PST,-3,-6,-4,+242543,+26908,+328940,+53450.5,+184081,+23066.5,+755565,+103425
2000-01-01 00:14:00 PST,-3,-6,-4,+281346,-8634.6,+353551,+16965.7,+189135,-22996.8,+824032,-14665.7
2000-01-01 00:15:00 PST,-3,-6,-4,+283037,-6664.8,+339017,+12724.8,+206019,-18068,+828072,-12008.1
2000-01-01 00:16:00 PST,-3,-6,-4,+292870,-1074.39,+320342,+8495.7,+214200,-14635.5,+827411,-7214.14
2000-01-01 00:17:00 PST,-3,-6,-4,+295183,+234.271,+291612,+1569.28,+187158,-21693.5,+773953,-19889.9
2000-01-01 00:18:00 PST,-3,-6,-4,+227137,-20980.7,+198142,-25479,+156780,-29855.5,+582060,-76315.2
2000-01-01 00:19:00 PST,-3,-6,-4,+207403,+20993.5,+164729,+11380.8,+148041,+14861.1,+520174,+47235.4
2000-01-01 00:20:00 PST,-3,-6,-4,+222251,+25393.9,+173609,+14031.4,+151452,+15801.8,+547312,+55227.1
2000-01-01 00:21:00 PST,-3,-6,-4,+228014,+27734.6,+202764,+22764.1,+148062,+14952.9,+578840,+65451.6
2000-01-01 00:22:00 PST,-3,-6,-4,+217017,+23383.1,+207611,+24194.2,+138693,+12481,+563321,+60058.3
2000-01-01 00:23:00 PST,-3,-6,-4,+212306,+23165.2,+209183,+23746.5,+138705,+12598.1,+560194,+59509.8
2000-01-01 00:24:00 PST,-3,-6,-4,+236548,+30093.8,+233659,+30342.6,+138303,+12406.4,+608510,+72842.9
2000-01-01 00:25:00 PST,-3,-6,-4,+306314,+3550.17,+318045,+10306.8,+172153,-26876,+796512,-13019
2000-01-01 00:26:00 PST,-3,-6,-4,+316924,+6886.61,+335519,+15371.2,+207806,-16179.9,+860248,+6077.86
2000-01-01 00:27:00 PST,-3,-6,-4,+323240,+10157.3,+333299,+14777.3,+212204,-14931.9,+868743,+10002.7
2000-01-01 00:28:00 PST,-3,-6,-4,+328003,+12072.5,+320474,+11265.1,+221278,-12423.4,+869755,+10914.2
2000-01-01 00:29:00 PST,-3,-6,-4,+298127,+3016,+294508,+2916.44,+223408,-11389.3,+816044,-5456.85
2000-01-01 00:30:00 PST,-3,-6,-4,+302911,+5021.75,+281095,-1202.24,+233783,-8197.43,+817788,-4377.92
2000-01-01 00:31:00 PST,-3,-6,-4,+294276,+1808.33,+295822,+3611.81,+257188,-378.471,+847286,+5041.66
2000-01-01 00:32:00 PST,-3,-6,-4,+285661,-1252.64,+315810,+8331.8,+236791,-6693.65,+838262,+385.516
2000-01-01 00:33:00 PST,-3,-6,-4,+279890,-2544.37,+288217,+49.2298,+215841,-12047.5,+783948,-14542.7
2000-01-01 00:34:00 PST,-3,-6,-4,+329121,+13448.8,+290919,+1949.9,+221383,-10855.3,+841423,+4543.33
2000-01-01 00:35:00 PST,-3,-6,-4,+350520,+19732.5,+331934,+12230.3,+223058,-10496.1,+905512,+21466.7
2000-01-01 00:36:00 PST,-3,-6,-4,+379676,+29380.5,+300959,+3267.9,+212120,-14326.7,+892755,+18321.7
2000-01-01 00:37:00 PST,-3,-6,-4,+385021,+29793.1,+372680,+26588.9,+217383,-12872.4,+975085,+43509.6
2000-01-01 00:38:00 PST,-3,-6,-4,+361360,+22000.4,+360244,+22110.3,+234574,-7256.55,+956178,+36854.2
2000-01-01 00:39:00 PST,-3,-6,-4,+352301,+19065.9,+362741,+22473.2,+238137,-6023.89,+953178,+35515.2
2000-01-01 00:40:00 PST,-3,-6,-4,+346838,+17529.8,+353796,+19452.2,+241143,-5269.58,+941777,+31712.5
2000-01-01 00:41:00 PST,-3,-6,-4,+307883,+5289.82,+323011,+9525.89,+236188,-6203.82,+867082,+8611.89
2000-01-01 00:42:00 PST,-3,-6,-4,+284372,-1569.46,+293996,+1532.32,+210023,-13808.2,+788391,-13845.4
2000-01-01 00:43:00 PST,-3,-6,-4,+274351,-3495.17,+280391,-1638.96,+212886,-12805.8,+767628,-17939.9
2000-01-01 00:44:00 PST,-3,-6,-4,+236035,-15213.3,+260088,-7126.49,+178769,-22592.7,+674893,-44932.5
2000-01-01 00:45:00 PST,-3,-6,-4,+231866,-16253.5,+259641,-7293.1,+169564,-25188.4,+661071,-48735.1
2000-01-01 00:46:00 PST,-3,-6,-4,+312564,+8920.97,+288094,+8.58396,+229748,-7877.11,+830406,+1052.45
2000-01-01 00:47:00 PST,-3,-6,-4,+369671,+26027,+371257,+28281.5,+243318,-4080.3,+984245,+50228.2
2000-01-01 00:48:00 PST,-3,-6,-4,+439547,+49791.6,+394032,+35230,+294715,+11030.3,+1.12829e+006,+96051.8
2000-01-01 00:49:00 PST,-3,-6,-4,+470633,+60682.1,+423174,+44546.8,+314935,+14044.2,+1.20874e+006,+119273
2000-01-01 00:50:00 PST,-3,-6,-4,+507912,+73866.3,+451160,+53789,+333368,+19343.1,+1.29244e+006,+146998
2000-01-01 00:51:00 PST,-3,-6,-4,+488685,+66288.7,+452213,+53088,+324666,+17240.5,+1.26556e+006,+136617
2000-01-01 00:52:00 PST,-3,-6,-4,+448059,+52294,+424544,+45144,+261538,-2212.43,+1.13414e+006,+95225.6
2000-01-01 00:53:00 PST,-3,-6,-4,+410957,+40277.6,+396164,+34626.5,+252746,-4702.56,+1.05987e+006,+70201.6
2000-01-01 00:54:00 PST,-3,-6,-4,+378750,+30334.2,+356716,+21647,+218404,-14704.9,+953870,+37276.2
2000-01-01 00:55:00 PST,-3,-6,-4,+296004,+3477.32,+334803,+15006.4,+215148,-14732.3,+845956,+3751.41
2000-01-01 00:56:00 PST,-3,-6,-4,+279209,-1165.06,+298161,+2862.05,+217465,-13713.4,+794835,-12016.4
2000-01-01 00:57:00 PST,-3,-6,-4,+294671,+4174.15,+280586,-3078.52,+227221,-10874.2,+802477,-9778.59
2000-01-01 00:58:00 PST,-3,-6,-4,+300485,+6087.81,+290427,-562.766,+220345,-12980.8,+811256,-7455.78
