# file...... Residential_Loads.csv
# date...... Wed Dec 01 12:18:16 2010
# user...... D3P313
# host...... (null)
# group..... class=triplex_meter AND groupid=Triplex_Meter
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(measured_real_power),sum(measured_reactive_power)
2000-01-01 00:00:00 PST,+659724,-0.00170734
2000-01-01 00:01:00 PST,+656119,+0.00102245
2000-01-01 00:02:00 PST,+663078,+2423.55
2000-01-01 00:03:00 PST,+847240,+49817.2
2000-01-01 00:04:00 PST,+842211,+49866.9
2000-01-01 00:05:00 PST,+950662,+82788.2
2000-01-01 00:06:00 PST,+920260,+80136.3
2000-01-01 00:07:00 PST,+903015,+83574.3
2000-01-01 00:08:00 PST,+879420,+82276.7
2000-01-01 00:09:00 PST,+817706,+75774.7
2000-01-01 00:10:00 PST,+731456,+67803.2
2000-01-01 00:11:00 PST,+657838,+51642.6
2000-01-01 00:12:00 PST,+540787,+27690.4
2000-01-01 00:13:00 PST,+753514,+84049.4
2000-01-01 00:14:00 PST,+824842,+104359
2000-01-01 00:15:00 PST,+825769,+110193
2000-01-01 00:16:00 PST,+827917,+113017
2000-01-01 00:17:00 PST,+771389,+101070
2000-01-01 00:18:00 PST,+589460,+53986.2
2000-01-01 00:19:00 PST,+536334,+41787.9
2000-01-01 00:20:00 PST,+572123,+51187.5
2000-01-01 00:21:00 PST,+583717,+54376.4
2000-01-01 00:22:00 PST,+566461,+49061.3
2000-01-01 00:23:00 PST,+565166,+49128.1
2000-01-01 00:24:00 PST,+635389,+66107.4
2000-01-01 00:25:00 PST,+796966,+106085
2000-01-01 00:26:00 PST,+844446,+118376
2000-01-01 00:27:00 PST,+873598,+128082
2000-01-01 00:28:00 PST,+861527,+125075
2000-01-01 00:29:00 PST,+807012,+111596
2000-01-01 00:30:00 PST,+834908,+118735
2000-01-01 00:31:00 PST,+860985,+125591
2000-01-01 00:32:00 PST,+847752,+120269
2000-01-01 00:33:00 PST,+786493,+107064
2000-01-01 00:34:00 PST,+837029,+119986
2000-01-01 00:35:00 PST,+910820,+134995
2000-01-01 00:36:00 PST,+900433,+132365
2000-01-01 00:37:00 PST,+960616,+147881
2000-01-01 00:38:00 PST,+938995,+142599
2000-01-01 00:39:00 PST,+936029,+141836
2000-01-01 00:40:00 PST,+936161,+142010
2000-01-01 00:41:00 PST,+870502,+125627
2000-01-01 00:42:00 PST,+799136,+109858
2000-01-01 00:43:00 PST,+774448,+104800
2000-01-01 00:44:00 PST,+643365,+71978.4
2000-01-01 00:45:00 PST,+692486,+84630.3
2000-01-01 00:46:00 PST,+860226,+126175
2000-01-01 00:47:00 PST,+993756,+160290
