# file...... Triplex_Line_Losses.csv
# date...... Wed Dec 01 12:18:16 2010
# user...... D3P313
# host...... (null)
# group..... class=triplex_line AND groupid=Triplex_Line
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real),sum(power_losses_A.imag),sum(power_losses_B.imag),sum(power_losses_C.imag)
2000-01-01 00:00:00 PST,+169.34,+51.1554,+0,+50.7956,+3.45186,+0
2000-01-01 00:01:00 PST,+168.755,+50.7448,+0,+50.6723,+3.39827,+0
2000-01-01 00:02:00 PST,+174.396,+54.7751,+0,+51.9361,+3.77281,+0
2000-01-01 00:03:00 PST,+268.767,+114.314,+0,+74.4762,+7.64445,+0
2000-01-01 00:04:00 PST,+267.199,+113.59,+0,+74.0918,+7.59696,+0
2000-01-01 00:05:00 PST,+315.111,+139.383,+0,+86.4991,+7.86102,+0
2000-01-01 00:06:00 PST,+296.59,+128.054,+0,+82.2606,+6.84791,+0
2000-01-01 00:07:00 PST,+288.528,+123.304,+0,+80.654,+6.16875,+0
2000-01-01 00:08:00 PST,+280.622,+119.008,+0,+78.8013,+5.87784,+0
2000-01-01 00:09:00 PST,+256.002,+104.718,+0,+73.0301,+4.87508,+0
2000-01-01 00:10:00 PST,+213.792,+80.0497,+0,+63.2102,+3.10262,+0
2000-01-01 00:11:00 PST,+183.754,+63.7739,+0,+55.6732,+2.60317,+0
2000-01-01 00:12:00 PST,+134.169,+36.5747,+0,+43.3338,+1.67363,+0
2000-01-01 00:13:00 PST,+227.758,+99.0242,+0,+65.1637,+6.63308,+0
2000-01-01 00:14:00 PST,+258.263,+119.669,+0,+72.2646,+8.30327,+0
2000-01-01 00:15:00 PST,+261.346,+120.733,+0,+73.3494,+7.86807,+0
2000-01-01 00:16:00 PST,+264.379,+122.839,+0,+74.1161,+7.92351,+0
2000-01-01 00:17:00 PST,+246.917,+111.234,+0,+70.1485,+6.84843,+0
2000-01-01 00:18:00 PST,+163.421,+57.4814,+0,+50.3642,+2.91953,+0
2000-01-01 00:19:00 PST,+142.276,+44.1054,+0,+45.3575,+1.9209,+0
2000-01-01 00:20:00 PST,+156.363,+51.3759,+0,+48.9898,+1.914,+0
2000-01-01 00:21:00 PST,+157.786,+53.8145,+0,+49.0282,+2.44877,+0
2000-01-01 00:22:00 PST,+150.906,+50.1479,+0,+47.1879,+2.42509,+0
2000-01-01 00:23:00 PST,+149.334,+49.4415,+0,+46.7528,+2.40328,+0
2000-01-01 00:24:00 PST,+174.482,+66.3189,+0,+52.536,+3.80521,+0
2000-01-01 00:25:00 PST,+248.747,+114.391,+0,+69.9758,+7.39903,+0
2000-01-01 00:26:00 PST,+268.754,+127.367,+0,+74.6744,+8.29438,+0
2000-01-01 00:27:00 PST,+283.743,+137.029,+0,+78.3085,+8.84616,+0
2000-01-01 00:28:00 PST,+280.898,+136.303,+0,+77.4334,+9.0649,+0
2000-01-01 00:29:00 PST,+258.664,+123.214,+0,+71.947,+8.37842,+0
2000-01-01 00:30:00 PST,+266.067,+127.505,+0,+73.7702,+8.50345,+0
2000-01-01 00:31:00 PST,+276.671,+131.157,+0,+76.8415,+7.8247,+0
2000-01-01 00:32:00 PST,+270.368,+125.592,+0,+75.524,+7.04275,+0
2000-01-01 00:33:00 PST,+242.784,+107.384,+0,+69.1469,+5.48356,+0
2000-01-01 00:34:00 PST,+264.518,+123.516,+0,+73.868,+7.23149,+0
2000-01-01 00:35:00 PST,+294.875,+143.541,+0,+80.7655,+8.92534,+0
2000-01-01 00:36:00 PST,+292.464,+143.03,+0,+80.0111,+9.13181,+0
2000-01-01 00:37:00 PST,+322.95,+165.082,+0,+86.7664,+11.3539,+0
2000-01-01 00:38:00 PST,+307.968,+155.307,+0,+83.2346,+10.5626,+0
2000-01-01 00:39:00 PST,+311.125,+157.252,+0,+83.9729,+10.6746,+0
2000-01-01 00:40:00 PST,+314.546,+160.026,+0,+84.6614,+10.9954,+0
2000-01-01 00:41:00 PST,+288.615,+143.106,+0,+78.5603,+9.64712,+0
2000-01-01 00:42:00 PST,+256.657,+124.361,+0,+70.759,+8.64425,+0
2000-01-01 00:43:00 PST,+247.79,+119.26,+0,+68.5882,+8.37138,+0
2000-01-01 00:44:00 PST,+182.19,+78.3186,+0,+52.8563,+5.68762,+0
