# file...... Underground_Line_Losses.csv
# date...... Wed Dec 01 12:18:16 2010
# user...... D3P313
# host...... (null)
# group..... class=underground_line AND groupid=Distribution_Line
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real),sum(power_losses_A.imag),sum(power_losses_B.imag),sum(power_losses_C.imag)
2000-01-01 00:00:00 PST,+1159.4,+1755.4,+1101.32,+921.828,+1054.58,+1306.85
2000-01-01 00:01:00 PST,+1163.03,+1735.65,+1086.63,+923.255,+1047.38,+1289.2
2000-01-01 00:02:00 PST,+1160.98,+1716.75,+1090.28,+926.546,+1033.57,+1286.51
2000-01-01 00:03:00 PST,+1355.67,+1852.86,+1140.39,+1002.6,+1178.52,+1352.52
2000-01-01 00:04:00 PST,+1377.97,+1776.43,+1130.27,+1005.89,+1153.15,+1331.05
2000-01-01 00:05:00 PST,+798.04,+1077.59,+329.551,+369.97,+794.735,+519.547
2000-01-01 00:06:00 PST,+740.487,+1165.59,+253.652,+330.44,+863.091,+469.306
2000-01-01 00:07:00 PST,+653.154,+1274.09,+243.624,+288.93,+902.855,+479.903
2000-01-01 00:08:00 PST,+565.463,+1130.63,+224.149,+243.398,+790.372,+435.393
2000-01-01 00:09:00 PST,+473.837,+902.006,+252.75,+240.938,+629.985,+414.176
2000-01-01 00:10:00 PST,+201.306,+1036.73,+209.972,+77.9391,+590.803,+399.756
2000-01-01 00:11:00 PST,+201.468,+909.475,+84.215,+58.2939,+569.084,+244.444
2000-01-01 00:12:00 PST,+81.8604,+822.962,+60.2853,+10.9287,+472.063,+196.83
2000-01-01 00:13:00 PST,+203.165,+1660.19,+137.907,+39.8264,+976.975,+422.764
2000-01-01 00:14:00 PST,+301.24,+1598.09,+206.049,+93.4235,+958.973,+496.054
2000-01-01 00:15:00 PST,+427.467,+1164.21,+258.626,+195.127,+759.926,+476.398
2000-01-01 00:16:00 PST,+461.307,+1064.73,+278.5,+215.952,+702.565,+473.926
2000-01-01 00:17:00 PST,+452.204,+833.624,+244.423,+208.094,+563.852,+396.216
2000-01-01 00:18:00 PST,+253.918,+357.389,+204.667,+130.236,+235.276,+254.511
2000-01-01 00:19:00 PST,+164.15,+262.188,+162.676,+85.2098,+163.702,+196.943
2000-01-01 00:20:00 PST,+213.598,+339.208,+185.967,+99.8687,+208.719,+235.504
2000-01-01 00:21:00 PST,+191.067,+412.165,+182.113,+88.9557,+245.343,+249.893
2000-01-01 00:22:00 PST,+130.505,+479.87,+150.52,+56.2042,+269.103,+236.602
2000-01-01 00:23:00 PST,+127.523,+527.907,+147.549,+51.0244,+294.396,+243.849
2000-01-01 00:24:00 PST,+182.942,+719.207,+86.7708,+53.3284,+443.943,+217.979
2000-01-01 00:25:00 PST,+253.468,+1399.08,+48.6705,+37.2399,+890.289,+274.144
2000-01-01 00:26:00 PST,+282.329,+1336.25,+182.938,+96.0739,+818.825,+428.541
2000-01-01 00:27:00 PST,+476.34,+1397.62,+193.014,+186.174,+933.697,+452.829
2000-01-01 00:28:00 PST,+444.993,+1129.13,+217.928,+190.422,+752.869,+429.521
2000-01-01 00:29:00 PST,+403.069,+1029,+230.011,+177.721,+675.614,+422.067
2000-01-01 00:30:00 PST,+683.293,+935.048,+318.89,+358.973,+700.036,+482.192
2000-01-01 00:31:00 PST,+560.626,+1399.96,+573.323,+296.113,+855.278,+810.805
2000-01-01 00:32:00 PST,+465.163,+1324.41,+548.269,+243.144,+779.838,+774.024
2000-01-01 00:33:00 PST,+381.039,+1221.27,+440.068,+189.852,+715.174,+656.122
2000-01-01 00:34:00 PST,+539.007,+1227.28,+412.713,+277.846,+799.376,+632.483
2000-01-01 00:35:00 PST,+725.5,+1916.12,+339.702,+307.14,+1297.69,+702.883
2000-01-01 00:36:00 PST,+818.571,+1434.34,+219.229,+334.359,+1061.54,+495.769
2000-01-01 00:37:00 PST,+876.042,+1892.78,+91.1385,+288.871,+1415.99,+432.776
2000-01-01 00:38:00 PST,+526.61,+1983.88,+150.147,+130.994,+1285.11,+504.498
2000-01-01 00:39:00 PST,+592.563,+1808.05,+279.39,+215.732,+1178.8,+618.787
2000-01-01 00:40:00 PST,+552.588,+1756.4,+229.309,+176.861,+1135.29,+556.722
2000-01-01 00:41:00 PST,+385.657,+1794.41,+186.824,+98.6033,+1108.63,+513.233
2000-01-01 00:42:00 PST,+405.293,+1321.94,+188.167,+138.81,+850.631,+435.102
2000-01-01 00:43:00 PST,+352.233,+1141.53,+226.01,+140.103,+722.325,+440.448
2000-01-01 00:44:00 PST,+219.532,+795.809,+168.004,+76.7325,+473.09,+316.8
2000-01-01 00:45:00 PST,+435.436,+806.974,+154.771,+182.522,+575.34,+308.081
2000-01-01 00:46:00 PST,+622.113,+1045.99,+303.59,+289.926,+738.427,+495.766
2000-01-01 00:47:00 PST,+755.199,+2300.41,+284.973,+279.385,+1543.8,+712.095
2000-01-01 00:48:00 PST,+1069.33,+2434.14,+443.745,+462.66,+1687.86,+904.643
2000-01-01 00:49:00 PST,+1544.56,+2479.65,+601.507,+751.306,+1837.41,+1063.37
2000-01-01 00:50:00 PST,+1654.12,+3372.03,+585.302,+721.777,+2401.75,+1221.08
2000-01-01 00:51:00 PST,+912.66,+3819.8,+539.695,+299.115,+2368.01,+1249.52
2000-01-01 00:52:00 PST,+1111.33,+3352.07,+225.941,+313.09,+2282.59,+824.399
2000-01-01 00:53:00 PST,+912.903,+2271.82,+318.472,+310.544,+1521.4,+747.138
2000-01-01 00:54:00 PST,+725,+2103.93,+203.394,+212.961,+1403.58,+590.983
2000-01-01 00:55:00 PST,+445.403,+1677.93,+134.94,+111.218,+1085.21,+437.058
2000-01-01 00:56:00 PST,+449.065,+1449.02,+218.32,+153.83,+932.593,+490.49
2000-01-01 00:57:00 PST,+576.227,+1227.21,+210.041,+236.428,+868.28,+443.408
2000-01-01 00:58:00 PST,+518.607,+1496.98,+149.621,+163.377,+1015.96,+427.817
2000-01-01 00:59:00 PST,+662.194,+1238.45,+256.019,+298.946,+894.152,+489.926
2000-01-01 01:00:00 PST,+727.734,+1393.37,+255.792,+309.67,+997.544,+520.596
2000-01-01 01:01:00 PST,+729.304,+1625.52,+333.065,+316.019,+1115.56,+638.948
2000-01-01 01:02:00 PST,+919.341,+2289,+535.015,+416.359,+1516.6,+961.183
2000-01-01 01:03:00 PST,+1044.11,+3158.31,+587.39,+416.857,+2031.11,+1178.76
2000-01-01 01:04:00 PST,+1140.86,+4023.28,+258.201,+297.387,+2662.59,+959.015
2000-01-01 01:05:00 PST,+1198.22,+4187.17,+320.411,+340.147,+2763.66,+1060.92
2000-01-01 01:06:00 PST,+969.578,+3743.99,+500.072,+322.381,+2359.86,+1191.18
2000-01-01 01:07:00 PST,+1452.89,+3611.65,+329.864,+479.812,+2513.77,+991.074
2000-01-01 01:08:00 PST,+1427.46,+3122.93,+439.068,+549.542,+2190.71,+1026.22
2000-01-01 01:09:00 PST,+2466.1,+2820.37,+21.1052,+673.66,+2490.93,+465.793
2000-01-01 01:10:00 PST,+2746.22,+2247.96,+20.5186,+919.581,+2162.87,+393.51
2000-01-01 01:11:00 PST,+2046.63,+2414.73,+103.51,+495.14,+2107.88,+298.248
2000-01-01 01:12:00 PST,+1476.69,+2177.69,+97.9147,+383.302,+1814.87,+468.643
2000-01-01 01:13:00 PST,+1277.45,+1940.09,+146.67,+336.418,+1606.08,+464.884
2000-01-01 01:14:00 PST,+913.901,+1551.14,+459.231,+429.707,+1080.77,+743.317
2000-01-01 01:15:00 PST,+767.755,+1829.76,+400.928,+341.569,+1228.83,+742.431
2000-01-01 01:16:00 PST,+654.886,+1841.92,+430.108,+282.645,+1175.33,+771.617
2000-01-01 01:17:00 PST,+470.653,+2316.06,+342.573,+144.297,+1374.01,+768.488
2000-01-01 01:18:00 PST,+629.103,+3318.65,+170.573,+107.778,+2079.08,+725.777
2000-01-01 01:19:00 PST,+765.073,+3434.26,+112.044,+131.474,+2240.16,+670.388
2000-01-01 01:20:00 PST,+885.939,+3521.14,+214.203,+214.075,+2302.75,+825.357
2000-01-01 01:21:00 PST,+1158.72,+4638.1,+269.203,+273.284,+3032.94,+1071.32
2000-01-01 01:22:00 PST,+2016.5,+4226.99,+155.705,+634.139,+3173.28,+895.59
2000-01-01 01:23:00 PST,+2155.24,+3688.65,+239.15,+777.024,+2844.91,+918.35
2000-01-01 01:24:00 PST,+2203.16,+3160.94,+475.233,+939.931,+2449.21,+1079.97
2000-01-01 01:25:00 PST,+2310.99,+3243.67,+422.877,+967.126,+2549.44,+1044.24
2000-01-01 01:26:00 PST,+1793.02,+2759.65,+571.559,+788.726,+2042.87,+1095.35
2000-01-01 01:27:00 PST,+1694.12,+1695.47,+630.724,+895.383,+1374.03,+920.435
2000-01-01 01:28:00 PST,+1113.24,+1918.02,+729.369,+558.433,+1292.56,+1061.75
2000-01-01 01:29:00 PST,+754.953,+2564.44,+356.901,+236.409,+1608.95,+833.183
2000-01-01 01:30:00 PST,+524.939,+2653.77,+232.054,+107.742,+1610,+702.407
2000-01-01 01:31:00 PST,+869.776,+2695.03,+324.603,+292.759,+1775.55,+825.67
2000-01-01 01:32:00 PST,+917.096,+3558.41,+315.777,+264.583,+2303.5,+955.506
2000-01-01 01:33:00 PST,+1213.68,+4359.21,+215.897,+313.123,+2943.16,+964.375
2000-01-01 01:34:00 PST,+1216.18,+4017.45,+209.26,+336.772,+2750.91,+906.465
2000-01-01 01:35:00 PST,+1898.03,+4300.53,+257.273,+632.561,+3140.8,+1029.17
2000-01-01 01:36:00 PST,+1905.27,+4875.39,+174.428,+524.631,+3494.39,+1008.93
2000-01-01 01:37:00 PST,+1768.21,+4492.3,+105.776,+442.619,+3229.25,+855.348
