# file...... reg1_output.csv
# date...... Wed Dec 01 12:18:16 2010
# user...... D3P313
# host...... (null)
# target.... regulator 55
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 PST,1,1,1,+259331,-144180,+245711,-147705,+164513,-150921,+669554,-442806
2000-01-01 00:01:00 PST,1,0,0,+259267,-144180,+243602,-145854,+163021,-149025,+665890,-439058
2000-01-01 00:02:00 PST,1,-1,0,+263477,-142834,+246640,-142442,+162805,-149082,+672923,-434358
2000-01-01 00:03:00 PST,1,-1,0,+334201,-119998,+292915,-128526,+232449,-128148,+859565,-376671
2000-01-01 00:04:00 PST,1,-1,0,+334072,-119943,+288004,-128912,+232333,-128113,+854409,-376968
2000-01-01 00:05:00 PST,1,-1,0,+410031,+55948.5,+315590,+31002,+236339,+23777.8,+961960,+110728
2000-01-01 00:06:00 PST,2,-1,1,+389610,+53883.3,+315247,+31380.2,+225943,+20729.1,+930800,+105993
2000-01-01 00:07:00 PST,3,-1,1,+369983,+49994.8,+319735,+36537.2,+223334,+21412.7,+913052,+107945
2000-01-01 00:08:00 PST,3,-1,1,+360530,+49419.7,+310135,+34604.4,+218157,+21245.6,+888821,+105270
2000-01-01 00:09:00 PST,3,-1,1,+325117,+42928.7,+295371,+32372.4,+205245,+20079.7,+825732,+95380.9
2000-01-01 00:10:00 PST,3,-1,1,+276310,+33649.3,+286786,+34457.8,+175002,+15464.8,+738098,+83571.8
2000-01-01 00:11:00 PST,3,-1,1,+247393,+25080.7,+276538,+31733.7,+139512,+7990.39,+663443,+64804.8
2000-01-01 00:12:00 PST,3,-1,1,+185438,+9609.3,+233327,+21058.1,+125948,+5791,+544713,+36458.4
2000-01-01 00:13:00 PST,3,0,1,+244765,+25778.2,+333541,+53786.6,+182723,+21709,+761029,+101274
2000-01-01 00:14:00 PST,3,0,1,+284267,+38391.2,+356305,+61971.9,+192965,+24461.3,+833537,+124824
2000-01-01 00:15:00 PST,3,0,1,+289900,+42908.3,+338290,+58063.7,+205856,+29081.6,+834046,+130054
2000-01-01 00:16:00 PST,3,0,1,+299299,+46162.5,+322899,+54266,+213943,+32383.7,+836140,+132812
2000-01-01 00:17:00 PST,3,0,1,+301481,+47482.4,+286490,+45533.3,+190734,+25597.2,+778705,+118613
2000-01-01 00:18:00 PST,3,0,1,+237689,+28003.3,+195250,+18755.2,+160843,+17547,+593783,+64305.5
2000-01-01 00:19:00 PST,3,0,1,+213594,+22223,+174817,+12967.3,+151431,+15023.7,+539842,+50214
2000-01-01 00:20:00 PST,2,0,1,+229264,+27045.9,+187959,+16814.6,+158985,+17108,+576208,+60968.5
2000-01-01 00:21:00 PST,2,0,1,+233127,+28026.7,+203389,+21494.8,+151472,+15096,+587988,+64617.4
2000-01-01 00:22:00 PST,2,0,1,+222206,+23672.8,+206310,+22360.9,+141982,+12604.7,+570498,+58638.5
2000-01-01 00:23:00 PST,2,0,1,+217201,+23419.4,+210008,+22468.2,+141995,+12727.6,+569204,+58615.2
2000-01-01 00:24:00 PST,2,0,1,+241771,+30163.3,+252340,+34240.8,+146375,+13908.9,+640485,+78313
2000-01-01 00:25:00 PST,2,0,1,+295588,+45295.2,+339379,+60929,+170093,+19263,+805061,+125487
2000-01-01 00:26:00 PST,2,0,1,+309109,+49797.9,+337113,+59642.8,+206836,+29848.4,+853059,+139289
2000-01-01 00:27:00 PST,2,0,1,+323790,+55527.6,+343004,+62670,+216158,+32444.6,+882953,+150642
2000-01-01 00:28:00 PST,2,0,1,+321117,+55197.5,+323848,+56321.5,+225334,+34972.9,+870299,+146492
2000-01-01 00:29:00 PST,2,0,1,+298431,+48950.3,+288852,+45407.1,+227459,+35835.3,+814742,+130193
2000-01-01 00:30:00 PST,2,0,1,+319374,+55848.8,+280477,+42909.4,+243541,+40363.8,+843392,+139122
2000-01-01 00:31:00 PST,2,0,1,+313008,+53430.3,+300530,+49300.3,+256866,+44840.3,+870405,+147571
2000-01-01 00:32:00 PST,2,0,1,+306695,+51291.7,+309469,+50207,+240650,+40056.1,+856815,+141555
2000-01-01 00:33:00 PST,2,0,1,+284721,+44710.7,+290814,+45957.3,+218860,+34855.7,+794395,+125524
2000-01-01 00:34:00 PST,2,0,1,+334871,+60463.7,+297348,+48270.9,+213909,+32931.9,+846128,+141667
2000-01-01 00:35:00 PST,2,0,1,+359222,+67427.2,+339873,+58551.4,+222966,+35422,+922061,+161401
2000-01-01 00:36:00 PST,3,0,1,+384691,+75147.1,+310490,+50251,+216045,+32931,+911225,+158329
2000-01-01 00:37:00 PST,3,0,1,+380775,+72624.5,+372897,+69940.2,+218976,+34001.5,+972647,+176566
2000-01-01 00:38:00 PST,3,0,1,+356630,+64945,+364444,+66849.7,+229070,+37351.6,+950144,+169146
2000-01-01 00:39:00 PST,3,0,1,+336518,+58781.5,+363313,+65886.3,+247057,+42978.4,+946889,+167646
2000-01-01 00:40:00 PST,3,0,1,+338317,+59577.2,+357651,+63956,+250906,+44088.7,+946874,+167622
2000-01-01 00:41:00 PST,3,0,1,+306354,+49932.2,+333495,+56548.1,+240026,+41121.1,+879875,+147601
2000-01-01 00:42:00 PST,3,0,1,+292760,+46448.3,+293875,+46530,+220388,+35411.1,+807023,+128389
2000-01-01 00:43:00 PST,3,0,1,+279918,+43899.5,+279683,+42130.5,+222148,+36045.6,+781749,+122076
2000-01-01 00:44:00 PST,3,0,1,+235315,+30893.9,+238303,+30321.4,+174919,+22801.9,+648537,+84017.2
2000-01-01 00:45:00 PST,3,0,1,+261551,+38493.6,+265393,+38749.5,+171653,+21741.9,+698596,+98985
2000-01-01 00:46:00 PST,3,0,1,+339908,+62369,+307455,+50498.6,+222013,+35589.6,+869375,+148457
2000-01-01 00:47:00 PST,3,0,1,+368790,+69969.4,+389102,+77289.9,+248693,+43490.3,+1.00658e+006,+190750
2000-01-01 00:48:00 PST,3,0,1,+439777,+93567.8,+398112,+80265.4,+271885,+49689.9,+1.10977e+006,+223523
2000-01-01 00:49:00 PST,4,0,1,+478541,+106396,+421551,+87268.4,+313630,+58899.5,+1.21372e+006,+252564
2000-01-01 00:50:00 PST,4,0,1,+519728,+119409,+479208,+107494,+343118,+67681.9,+1.34205e+006,+294585
2000-01-01 00:51:00 PST,4,0,1,+443261,+93214.9,+458143,+97742,+322856,+62799.1,+1.22426e+006,+253756
2000-01-01 00:52:00 PST,4,0,1,+433626,+90727.2,+429627,+89065.2,+273814,+47579.6,+1.13707e+006,+227372
2000-01-01 00:53:00 PST,4,0,1,+418865,+87048.5,+392041,+75883.3,+263159,+44421.9,+1.07406e+006,+207354
2000-01-01 00:54:00 PST,4,0,1,+372432,+72521.3,+356947,+64664.4,+249384,+40722.7,+978763,+177908
2000-01-01 00:55:00 PST,4,0,1,+297117,+49485.8,+309621,+50055.7,+225061,+34337.7,+831799,+133879
2000-01-01 00:56:00 PST,4,0,1,+283467,+45406.9,+302346,+47842.8,+222535,+33914.2,+808349,+127164
2000-01-01 00:57:00 PST,3,0,1,+299854,+51075.3,+293963,+45062.1,+231882,+36399.2,+825699,+132537
2000-01-01 00:58:00 PST,3,0,1,+296243,+49865.1,+282253,+41479.2,+216166,+31947.7,+794663,+123292
2000-01-01 00:59:00 PST,3,0,1,+327879,+59727.4,+301934,+49844.9,+235522,+37386.9,+865335,+146959
2000-01-01 01:00:00 PST,3,0,1,+379897,+75838.2,+349999,+65044.6,+244348,+39524.9,+974244,+180408
2000-01-01 01:01:00 PST,3,0,1,+384963,+76933.4,+382594,+74968.8,+270648,+47487.9,+1.03821e+006,+199390
2000-01-01 01:02:00 PST,3,0,1,+412180,+84927.5,+423955,+88858.2,+297046,+55664.1,+1.13318e+006,+229450
2000-01-01 01:03:00 PST,3,0,1,+452859,+97566.7,+475629,+105870,+328870,+65173.3,+1.25736e+006,+268610
2000-01-01 01:04:00 PST,4,0,1,+441654,+92212.3,+501277,+116471,+311349,+58757.2,+1.25428e+006,+267440
2000-01-01 01:05:00 PST,4,1,1,+452842,+96173,+501486,+116999,+318933,+61055.9,+1.27326e+006,+274228
2000-01-01 01:06:00 PST,4,1,1,+451135,+96901.6,+461037,+101866,+343821,+68946.4,+1.25599e+006,+267714
2000-01-01 01:07:00 PST,4,1,1,+480601,+107661,+444566,+96954.2,+317937,+59998.3,+1.2431e+006,+264613
2000-01-01 01:08:00 PST,4,1,1,+485956,+110106,+435271,+93013.3,+336549,+65607.1,+1.25778e+006,+268727
2000-01-01 01:09:00 PST,4,1,1,+526416,+127689,+415036,-13336,+321674,+58156.5,+1.26313e+006,+172510
