# file...... HVAC_Data.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,sum(hvac_power.real),sum(hvac_power.imag),sum(is_HEAT_on),sum(is_AUX_on),sum(is_COOL_on) 
2000-08-01 00:00:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:01:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:02:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:03:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:04:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:05:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:06:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:07:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:08:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:09:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:10:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:11:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:12:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:13:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:14:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:15:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:16:00 PDT,+0.948836,+0.276744,+3,+0,+0
2000-08-01 00:17:00 PDT,+1.37315,+0.400502,+4,+0,+0
2000-08-01 00:18:00 PDT,+1.05485,+0.307666,+3,+0,+0
2000-08-01 00:19:00 PDT,+0.315284,+0.0919577,+1,+0,+0
2000-08-01 00:20:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:21:00 PDT,+0.952946,+0.277943,+3,+0,+0
2000-08-01 00:22:00 PDT,+3.79721,+1.10752,+12,+0,+0
2000-08-01 00:23:00 PDT,+7.27957,+2.12321,+23,+0,+0
2000-08-01 00:24:00 PDT,+13.6184,+3.97203,+43,+0,+0
2000-08-01 00:25:00 PDT,+15.0836,+4.3994,+48,+0,+0
2000-08-01 00:26:00 PDT,+13.1856,+3.84581,+42,+0,+0
2000-08-01 00:27:00 PDT,+10.7618,+3.13885,+34,+0,+0
2000-08-01 00:28:00 PDT,+6.95426,+2.02833,+22,+0,+0
2000-08-01 00:29:00 PDT,+4.41969,+1.28908,+14,+0,+0
2000-08-01 00:30:00 PDT,+2.52659,+0.736921,+8,+0,+0
2000-08-01 00:31:00 PDT,+2.52742,+0.737164,+8,+0,+0
2000-08-01 00:32:00 PDT,+2.00344,+0.584337,+6,+0,+0
2000-08-01 00:33:00 PDT,+1.05761,+0.30847,+3,+0,+0
2000-08-01 00:34:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:35:00 PDT,+0,+0,+0,+0,+0
2000-08-01 00:36:00 PDT,+0.318504,+0.0928971,+1,+0,+0
2000-08-01 00:37:00 PDT,+0.949743,+0.277008,+3,+0,+0
2000-08-01 00:38:00 PDT,+0.949713,+0.277,+3,+0,+0
2000-08-01 00:39:00 PDT,+2.85018,+0.831302,+9,+0,+0
2000-08-01 00:40:00 PDT,+4.11163,+1.19923,+13,+0,+0
2000-08-01 00:41:00 PDT,+4.0008,+1.1669,+13,+0,+0
2000-08-01 00:42:00 PDT,+6.20808,+1.81069,+20,+0,+0
2000-08-01 00:43:00 PDT,+5.37061,+1.56643,+17,+0,+0
2000-08-01 00:44:00 PDT,+2.21869,+0.647119,+7,+0,+0
2000-08-01 00:45:00 PDT,+3.47958,+1.01488,+11,+0,+0
2000-08-01 00:46:00 PDT,+4.53561,+1.32289,+14,+0,+0
2000-08-01 00:47:00 PDT,+5.17207,+1.50852,+16,+0,+0
2000-08-01 00:48:00 PDT,+4.42692,+1.29118,+14,+0,+0
2000-08-01 00:49:00 PDT,+6.96842,+2.03246,+23,+0,+0
2000-08-01 00:50:00 PDT,+7.92151,+2.31044,+27,+0,+0
2000-08-01 00:51:00 PDT,+8.12767,+2.37057,+27,+0,+0
2000-08-01 00:52:00 PDT,+9.92947,+2.8961,+32,+0,+0
2000-08-01 00:53:00 PDT,+10.553,+3.07795,+34,+0,+0
2000-08-01 00:54:00 PDT,+11.8149,+3.446,+38,+0,+0
2000-08-01 00:55:00 PDT,+12.2274,+3.56634,+41,+0,+0
2000-08-01 00:56:00 PDT,+10.6335,+3.10144,+36,+0,+0
2000-08-01 00:57:00 PDT,+12.6442,+3.6879,+41,+0,+0
2000-08-01 00:58:00 PDT,+10.1241,+2.95286,+33,+0,+0
2000-08-01 00:59:00 PDT,+7.79678,+2.27406,+26,+0,+0
2000-08-01 01:00:00 PDT,+8.65378,+2.52402,+29,+0,+0
2000-08-01 01:01:00 PDT,+8.01658,+2.33817,+28,+0,+0
2000-08-01 01:02:00 PDT,+7.26604,+2.11926,+25,+0,+0
2000-08-01 01:03:00 PDT,+6.32532,+1.84488,+22,+0,+0
2000-08-01 01:04:00 PDT,+5.69547,+1.66118,+19,+0,+0
2000-08-01 01:05:00 PDT,+5.90877,+1.72339,+20,+0,+0
2000-08-01 01:06:00 PDT,+5.85708,+1.70832,+20,+0,+0
2000-08-01 01:07:00 PDT,+6.19572,+1.80709,+21,+0,+0
2000-08-01 01:08:00 PDT,+5.89157,+1.71837,+20,+0,+0
2000-08-01 01:09:00 PDT,+6.9369,+2.02326,+23,+0,+0
2000-08-01 01:10:00 PDT,+6.52329,+1.90263,+21,+0,+0
2000-08-01 01:11:00 PDT,+9.20275,+2.68413,+29,+0,+0
2000-08-01 01:12:00 PDT,+8.25907,+2.4089,+26,+0,+0
2000-08-01 01:13:00 PDT,+8.16476,+2.38139,+26,+0,+0
2000-08-01 01:14:00 PDT,+8.06493,+2.35227,+26,+0,+0
2000-08-01 01:15:00 PDT,+7.33392,+2.13906,+25,+0,+0
2000-08-01 01:16:00 PDT,+8.38744,+2.44634,+28,+0,+0
2000-08-01 01:17:00 PDT,+8.91449,+2.60006,+29,+0,+0
2000-08-01 01:18:00 PDT,+9.02523,+2.63236,+30,+0,+0
