# file...... IEEE_13_house_passiveDR_transformer_power.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2000-08-01 00:00:00 PDT,+133944,-150687,+135673,-151651,+98877.2,-152636,+133942,-150705,+135670,-151669,+98875,-152651,+2.68775,+17.89
2000-08-01 00:01:00 PDT,+132978,-148792,+134479,-149759,+97989.9,-150736,+132975,-148810,+134476,-149777,+97987.8,-150750,+2.63327,+17.5268
2000-08-01 00:02:00 PDT,+131942,-148848,+133469,-147856,+97631.5,-150740,+131939,-148866,+133467,-147874,+97629.4,-150754,+2.61625,+17.4134
2000-08-01 00:03:00 PDT,+131705,-148855,+133171,-147868,+97377.4,-150745,+131703,-148872,+133169,-147885,+97375.3,-150759,+2.61227,+17.3868
2000-08-01 00:04:00 PDT,+131336,-148923,+132306,-147916,+101911,-150501,+131333,-148940,+132304,-147933,+101909,-150516,+2.60719,+17.3529
2000-08-01 00:05:00 PDT,+119403,-48320.2,+115615,+891.832,+80260.7,+636.896,+119402,-48327.5,+115614,+885.945,+80260.2,+634.056,+1.10007,+7.30544
2000-08-01 00:06:00 PDT,+118741,-48340.4,+115205,+886.873,+79994.7,+634.335,+118740,-48347.6,+115205,+881.028,+79994.3,+631.515,+1.08979,+7.23693
2000-08-01 00:07:00 PDT,+118358,-48349.8,+114584,+872.808,+79892.8,+634.203,+118357,-48357,+114583,+867.025,+79892.4,+631.389,+1.08386,+7.19741
2000-08-01 00:08:00 PDT,+118071,-48355.2,+114032,+862.674,+79576.9,+629.727,+118070,-48362.4,+114032,+856.948,+79576.5,+626.935,+1.07941,+7.16774
2000-08-01 00:09:00 PDT,+117812,-48361.3,+113567,+853.613,+79379.9,+627.194,+117811,-48368.4,+113567,+847.932,+79379.5,+624.416,+1.07541,+7.14109
2000-08-01 00:10:00 PDT,+117571,-48366.1,+113322,+850.294,+79010,+621.498,+117570,-48373.2,+113321,+844.638,+79009.6,+618.746,+1.07171,+7.11639
2000-08-01 00:11:00 PDT,+117401,-48369.5,+112643,+837.37,+78826.9,+619.179,+117400,-48376.6,+112642,+831.782,+78826.5,+616.44,+1.06909,+7.09892
2000-08-01 00:12:00 PDT,+117018,-48379.1,+112294,+830.895,+78556,+616.136,+117017,-48386.2,+112293,+825.342,+78555.6,+613.416,+1.06323,+7.05985
2000-08-01 00:13:00 PDT,+116738,-48383.6,+111407,+816.955,+78226,+611.72,+116736,-48390.7,+111407,+811.489,+78225.6,+609.023,+1.05893,+7.03119
2000-08-01 00:14:00 PDT,+116489,-48384.9,+110462,+799.31,+77656.8,+602.404,+116488,-48391.9,+110461,+793.936,+77656.4,+599.746,+1.05511,+7.00574
2000-08-01 00:15:00 PDT,+116066,-48397.8,+110462,+801.949,+77170,+595.346,+116065,-48404.8,+110461,+796.575,+77169.6,+592.72,+1.0487,+6.96302
2000-08-01 00:16:00 PDT,+116172,-48299.7,+110806,+991.789,+76785.7,+588.378,+116171,-48306.7,+110805,+986.381,+76785.3,+585.779,+1.0497,+6.96966
2000-08-01 00:17:00 PDT,+116201,-48168.3,+110373,+985.073,+76461.6,+582.292,+116200,-48175.3,+110373,+979.707,+76461.2,+579.714,+1.04931,+6.96705
2000-08-01 00:18:00 PDT,+115650,-48279.4,+110083,+979.102,+76461.6,+584.655,+115649,-48286.4,+110082,+973.764,+76461.2,+582.078,+1.04158,+6.91556
2000-08-01 00:19:00 PDT,+114960,-48427.1,+109769,+882.721,+76410.9,+586.618,+114959,-48433.9,+109768,+877.414,+76410.5,+584.044,+1.03202,+6.85182
2000-08-01 00:20:00 PDT,+114546,-48434,+109134,+780.566,+75994.9,+580.772,+114545,-48440.8,+109133,+775.32,+75994.5,+578.226,+1.0258,+6.81035
2000-08-01 00:21:00 PDT,+114615,-48243.1,+108763,+775.891,+75637.3,+665.622,+114614,-48250,+108762,+770.681,+75636.9,+663.1,+1.02562,+6.80913
2000-08-01 00:22:00 PDT,+114904,-48053.3,+109028,+1048.05,+76589.9,+1049.8,+114903,-48060.1,+109027,+1042.82,+76589.5,+1047.21,+1.0288,+6.8303
2000-08-01 00:23:00 PDT,+116226,-47545.8,+109231,+1230.55,+77332.9,+1425.97,+116225,-47552.7,+109231,+1225.29,+77332.5,+1423.33,+1.04576,+6.94339
2000-08-01 00:24:00 PDT,+120087,-46225.2,+111433,+1920.51,+77292.7,+1410.77,+120086,-46232.5,+111432,+1915.04,+77292.3,+1408.14,+1.0978,+7.29036
2000-08-01 00:25:00 PDT,+119543,-46345.8,+112389,+2366.14,+77474.9,+1511.25,+119542,-46353,+112388,+2360.58,+77474.5,+1508.6,+1.08994,+7.23791
2000-08-01 00:26:00 PDT,+118401,-46648.7,+111322,+2165.69,+76723.7,+1407.45,+118400,-46655.8,+111321,+2160.23,+76723.3,+1404.86,+1.07386,+7.13076
2000-08-01 00:27:00 PDT,+117321,-46868.9,+110427,+1914.95,+75601.2,+1116.46,+117319,-46875.9,+110426,+1909.57,+75600.8,+1113.93,+1.05841,+7.02775
2000-08-01 00:28:00 PDT,+113826,-47812.8,+109014,+1608.17,+75497.4,+1129.41,+113825,-47819.5,+109013,+1602.93,+75497,+1126.9,+1.01099,+6.71162
