# file...... Voltage_675.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# target.... node 51
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-08-01 00:00:00 PDT,+2436.86,-55.1747,-1267.5,-2095.92,-1187.21,+2145.31
2000-08-01 00:01:00 PDT,+2421.6,-54.999,-1259.73,-2082.84,-1179.77,+2131.96
2000-08-01 00:02:00 PDT,+2421.87,-54.61,-1251.77,-2069.5,-1179.67,+2132.11
2000-08-01 00:03:00 PDT,+2421.9,-54.5865,-1251.72,-2069.58,-1179.73,+2132.09
2000-08-01 00:04:00 PDT,+2422.84,-54.7529,-1250.73,-2069.98,-1177.35,+2131.8
2000-08-01 00:05:00 PDT,+2404.28,-38.362,-1206.21,-2054.28,-1177.95,+2075.45
2000-08-01 00:06:00 PDT,+2404.38,-38.1696,-1206.14,-2054.27,-1178,+2075.5
2000-08-01 00:07:00 PDT,+2404.49,-38.145,-1205.99,-2054.46,-1177.98,+2075.45
2000-08-01 00:08:00 PDT,+2404.53,-38.1323,-1205.89,-2054.59,-1178.04,+2075.41
2000-08-01 00:09:00 PDT,+2404.6,-38.1081,-1205.8,-2054.7,-1178.07,+2075.39
2000-08-01 00:10:00 PDT,+2404.6,-38.0708,-1205.78,-2054.75,-1178.18,+2075.37
2000-08-01 00:11:00 PDT,+2404.68,-38.0899,-1205.65,-2054.92,-1178.2,+2075.32
2000-08-01 00:12:00 PDT,+2404.73,-38.0271,-1205.58,-2055.01,-1178.25,+2075.3
2000-08-01 00:13:00 PDT,+2404.79,-38.0406,-1205.45,-2055.18,-1178.29,+2075.24
2000-08-01 00:14:00 PDT,+2404.82,-38.1084,-1205.31,-2055.48,-1178.45,+2075.13
2000-08-01 00:15:00 PDT,+2404.83,-37.9538,-1205.34,-2055.41,-1178.61,+2075.17
2000-08-01 00:16:00 PDT,+2404.67,-37.9634,-1205.44,-2055.38,-1178.78,+2075.16
2000-08-01 00:17:00 PDT,+2404.54,-38.0506,-1205.44,-2055.54,-1178.91,+2075.09
2000-08-01 00:18:00 PDT,+2404.72,-37.9144,-1205.32,-2055.56,-1178.83,+2075.11
2000-08-01 00:19:00 PDT,+2404.95,-37.7134,-1205.2,-2055.53,-1178.76,+2075.16
2000-08-01 00:20:00 PDT,+2405,-37.6947,-1205.12,-2055.69,-1178.84,+2075.1
2000-08-01 00:21:00 PDT,+2404.91,-37.7422,-1205.12,-2055.81,-1178.99,+2075.03
