# file...... reg1_output.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# target.... regulator 58
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-08-01 00:00:00 PDT,1,1,1,+133942,-150705,+135670,-151669,+98875,-152651,+368487,-455025
2000-08-01 00:01:00 PDT,0,0,0,+132975,-148810,+134476,-149777,+97987.8,-150750,+365439,-449337
2000-08-01 00:02:00 PDT,0,-1,0,+131939,-148866,+133467,-147874,+97629.4,-150754,+363036,-447493
2000-08-01 00:03:00 PDT,0,-1,0,+131703,-148872,+133169,-147885,+97375.3,-150759,+362247,-447517
2000-08-01 00:04:00 PDT,0,-1,0,+131333,-148940,+132304,-147933,+101909,-150516,+365546,-447389
2000-08-01 00:05:00 PDT,0,-1,0,+119402,-48327.5,+115614,+885.945,+80260.2,+634.056,+315276,-46807.5
2000-08-01 00:06:00 PDT,0,-1,0,+118740,-48347.6,+115205,+881.028,+79994.3,+631.515,+313939,-46835.1
2000-08-01 00:07:00 PDT,0,-1,0,+118357,-48357,+114583,+867.025,+79892.4,+631.389,+312833,-46858.6
2000-08-01 00:08:00 PDT,0,-1,0,+118070,-48362.4,+114032,+856.948,+79576.5,+626.935,+311678,-46878.5
2000-08-01 00:09:00 PDT,0,-1,0,+117811,-48368.4,+113567,+847.932,+79379.5,+624.416,+310757,-46896.1
2000-08-01 00:10:00 PDT,0,-1,0,+117570,-48373.2,+113321,+844.638,+79009.6,+618.746,+309901,-46909.8
2000-08-01 00:11:00 PDT,0,-1,0,+117400,-48376.6,+112642,+831.782,+78826.5,+616.44,+308868,-46928.4
2000-08-01 00:12:00 PDT,0,-1,0,+117017,-48386.2,+112293,+825.342,+78555.6,+613.416,+307866,-46947.4
2000-08-01 00:13:00 PDT,0,-1,0,+116736,-48390.7,+111407,+811.489,+78225.6,+609.023,+306369,-46970.2
2000-08-01 00:14:00 PDT,0,-1,0,+116488,-48391.9,+110461,+793.936,+77656.4,+599.746,+304605,-46998.2
2000-08-01 00:15:00 PDT,0,-1,0,+116065,-48404.8,+110461,+796.575,+77169.6,+592.72,+303696,-47015.5
2000-08-01 00:16:00 PDT,0,-1,0,+116171,-48306.7,+110805,+986.381,+76785.3,+585.779,+303761,-46734.6
2000-08-01 00:17:00 PDT,0,-1,0,+116200,-48175.3,+110373,+979.707,+76461.2,+579.714,+303034,-46615.9
2000-08-01 00:18:00 PDT,0,-1,0,+115649,-48286.4,+110082,+973.764,+76461.2,+582.078,+302193,-46730.5
2000-08-01 00:19:00 PDT,0,-1,0,+114959,-48433.9,+109768,+877.414,+76410.5,+584.044,+301137,-46972.5
2000-08-01 00:20:00 PDT,0,-1,0,+114545,-48440.8,+109133,+775.32,+75994.5,+578.226,+299673,-47087.2
2000-08-01 00:21:00 PDT,0,-1,0,+114614,-48250,+108762,+770.681,+75636.9,+663.1,+299012,-46816.2
2000-08-01 00:22:00 PDT,0,-1,0,+114903,-48060.1,+109027,+1042.82,+76589.5,+1047.21,+300519,-45970.1
2000-08-01 00:23:00 PDT,0,-1,0,+116225,-47552.7,+109231,+1225.29,+77332.5,+1423.33,+302788,-44904.1
2000-08-01 00:24:00 PDT,0,-1,0,+120086,-46232.5,+111432,+1915.04,+77292.3,+1408.14,+308810,-42909.3
2000-08-01 00:25:00 PDT,0,-1,0,+119542,-46353,+112388,+2360.58,+77474.5,+1508.6,+309404,-42483.8
2000-08-01 00:26:00 PDT,0,-1,0,+118400,-46655.8,+111321,+2160.23,+76723.3,+1404.86,+306444,-43090.8
2000-08-01 00:27:00 PDT,0,-1,0,+117319,-46875.9,+110426,+1909.57,+75600.8,+1113.93,+303347,-43852.4
2000-08-01 00:28:00 PDT,0,-1,0,+113825,-47819.5,+109013,+1602.93,+75497,+1126.9,+298335,-45089.6
2000-08-01 00:29:00 PDT,0,-1,0,+111871,-48338.4,+108049,+1401.62,+74886.6,+1031.42,+294807,-45905.3
2000-08-01 00:30:00 PDT,0,-1,0,+111230,-48348.7,+107092,+1207.28,+73505.2,+642.358,+291827,-46499
2000-08-01 00:31:00 PDT,0,-1,0,+111048,-48350.3,+106433,+1101.28,+73602.6,+736.66,+291083,-46512.4
2000-08-01 00:32:00 PDT,0,-1,0,+110356,-48333.6,+105912,+1004.26,+72978.7,+635.579,+289247,-46693.7
2000-08-01 00:33:00 PDT,0,-1,0,+110083,-48334.5,+104829,+805.218,+72281.5,+531.898,+287193,-46997.4
2000-08-01 00:34:00 PDT,0,-1,0,+108815,-48590.8,+104352,+704.863,+72020.1,+533.014,+285187,-47352.9
2000-08-01 00:35:00 PDT,0,-1,0,+108222,-48608.4,+104149,+702.591,+71775.8,+530.881,+284147,-47375
2000-08-01 00:36:00 PDT,0,-1,0,+108438,-48505.9,+103815,+697.961,+71775.9,+529.814,+284029,-47278.1
2000-08-01 00:37:00 PDT,0,-1,0,+108054,-48516.8,+103904,+790.119,+71688.8,+621.9,+283647,-47104.8
2000-08-01 00:38:00 PDT,0,-1,0,+107293,-48539.5,+103701,+787.628,+71688.7,+624.594,+282682,-47127.3
2000-08-01 00:39:00 PDT,0,-1,0,+107561,-48255,+103516,+876.366,+72076.8,+814.672,+283154,-46564
2000-08-01 00:40:00 PDT,0,-1,0,+107513,-48260.1,+103368,+958.32,+72985.2,+1107.17,+283867,-46194.6
