# file...... Voltage_652.csv
# date...... Wed Oct 20 13:52:03 2010
# user...... D3P313
# host...... (null)
# target.... node 46
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2351.33,-52.1561,+0,+0,+0,+0
2000-01-01 00:01:00 PST,+2336.41,-51.9926,+0,+0,+0,+0
2000-01-01 00:02:00 PST,+2320.19,-52.2829,+0,+0,+0,+0
2000-01-01 00:03:00 PST,+2295.26,-66.8199,+0,+0,+0,+0
2000-01-01 00:04:00 PST,+2280.31,-66.6757,+0,+0,+0,+0
2000-01-01 00:05:00 PST,+2245.61,-86.8543,+0,+0,+0,+0
2000-01-01 00:06:00 PST,+2229.6,-84.4708,+0,+0,+0,+0
2000-01-01 00:07:00 PST,+2220.56,-73.8514,+0,+0,+0,+0
2000-01-01 00:08:00 PST,+2223.07,-71.3335,+0,+0,+0,+0
2000-01-01 00:09:00 PST,+2226.79,-65.9173,+0,+0,+0,+0
2000-01-01 00:10:00 PST,+2231.93,-52.6935,+0,+0,+0,+0
2000-01-01 00:11:00 PST,+2220.24,-46.0926,+0,+0,+0,+0
2000-01-01 00:12:00 PST,+2217.73,-32.4051,+0,+0,+0,+0
2000-01-01 00:13:00 PST,+2208.45,-35.0563,+0,+0,+0,+0
2000-01-01 00:14:00 PST,+2208.64,-45.6616,+0,+0,+0,+0
2000-01-01 00:15:00 PST,+2210.58,-50.087,+0,+0,+0,+0
2000-01-01 00:16:00 PST,+2209.83,-55.4867,+0,+0,+0,+0
2000-01-01 00:17:00 PST,+2205.67,-54.4119,+0,+0,+0,+0
2000-01-01 00:18:00 PST,+2218.61,-51.9134,+0,+0,+0,+0
2000-01-01 00:19:00 PST,+2217.73,-47.1507,+0,+0,+0,+0
2000-01-01 00:20:00 PST,+2214.89,-50.0684,+0,+0,+0,+0
2000-01-01 00:21:00 PST,+2214.06,-44.8444,+0,+0,+0,+0
2000-01-01 00:22:00 PST,+2216.52,-41.7308,+0,+0,+0,+0
2000-01-01 00:23:00 PST,+2214.99,-41.443,+0,+0,+0,+0
