# file...... capacitor1_output.csv
# date...... Wed Oct 20 13:52:03 2010
# user...... D3P313
# host...... (null)
# target.... capacitor 56
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC
2000-01-01 00:00:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:01:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:02:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:03:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:04:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:05:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:06:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:07:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:08:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:09:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:10:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:11:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:12:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:13:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:14:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:15:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:16:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:17:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:18:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:19:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:20:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:21:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:22:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:23:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:24:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:25:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:26:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:27:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:28:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:29:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:30:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:31:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:32:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:33:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:34:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:35:00 PST,OPEN,OPEN,OPEN
