# file...... reg1_output.csv
# date...... Wed Oct 20 08:58:09 2010
# user...... D3P313
# host...... (null)
# target.... regulator 55
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 PST,1,1,1,+422612,-1.26036e+006,+371126,-1.30545e+006,+296846,-1.32289e+006,+1.09058e+006,-3.8887e+006
2000-01-01 00:01:00 PST,0,0,0,+418236,-1.24455e+006,+367516,-1.28913e+006,+293708,-1.30645e+006,+1.07946e+006,-3.84014e+006
2000-01-01 00:02:00 PST,-1,-1,-1,+417815,-1.22675e+006,+369598,-1.27094e+006,+290388,-1.29058e+006,+1.0778e+006,-3.78827e+006
2000-01-01 00:03:00 PST,-2,-2,-2,+486418,-1.17811e+006,+406619,-1.24118e+006,+355005,-1.24293e+006,+1.24804e+006,-3.66222e+006
2000-01-01 00:04:00 PST,-3,-3,-3,+481828,-1.16233e+006,+398653,-1.22557e+006,+346470,-1.22765e+006,+1.22695e+006,-3.61555e+006
2000-01-01 00:05:00 PST,-4,-4,-4,+388681,+54842.5,+299938,+30131.1,+230632,+23651,+919252,+108625
2000-01-01 00:06:00 PST,-3,-3,-3,+365507,+52640.1,+297048,+30276.7,+216232,+20483.2,+878787,+103400
2000-01-01 00:07:00 PST,-2,-2,-2,+350879,+49040.2,+308475,+35836.5,+214643,+21120.1,+873997,+105997
2000-01-01 00:08:00 PST,-1,-1,-1,+343873,+48737.6,+296629,+33815.3,+202873,+20681.9,+843374,+103235
2000-01-01 00:09:00 PST,0,-1,0,+297548,+41512.6,+282127,+31835.9,+179967,+17806.7,+759643,+91155.2
2000-01-01 00:10:00 PST,1,-1,0,+409529,-1.17335e+006,+394042,-1.17402e+006,+273646,-1.22983e+006,+1.07722e+006,-3.57719e+006
2000-01-01 00:11:00 PST,0,-2,-1,+371034,-1.17168e+006,+370269,-1.16232e+006,+246381,-1.22598e+006,+987685,-3.55998e+006
