#IEEE load value of 40000 + j20000
2000-01-01 0:00:00, 10000 + 5000j

+1h, 10000 + 5000j
+1h, 15000 + 7500j
+1h, 24000 + 12000j
+1h, 30000 + 15000j
+1h, 40000 + 20000j
+1h, 38000 + 19000j
+1h, 40000 + 20000j
+1h, 34000 + 17000j
+1h, 30000 + 15000j
+1h, 24000 + 12000j
+1h, 20000 + 10000j
+1h, 20000 + 5000j
+1h, 20000 + 10000j
+1h, 22000 + 11000j
+1h, 26000 + 13000j
+1h, 30000 + 15000j
+1h, 34000 + 17000j
+1h, 40000 + 20000j
+1h, 42000 + 21000j
+1h, 40000 + 20000j
+1h, 34000 + 17000j
+1h, 30000 + 15000j
+1h, 20000 + 10000j
+1h, 10000 + 5000j
