# file...... exercise_4_1_3.csv
# date...... Fri Jun 04 11:14:05 2010
# user...... fish334
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 60
# timestamp,trip_meter1:measured_real_power,trip_meter2:measured_real_power,trip_meter3:measured_real_power,trip_meter4:measured_real_power,trip_meter5:measured_real_power,trip_meter6:measured_real_power,trip_meter7:measured_real_power,trip_meter8:measured_real_power,trip_meter9:measured_real_power,trip_meter10:measured_real_power,trip_meter11:measured_real_power,trip_meter12:measured_real_power,trip_meter13:measured_real_power,trip_meter14:measured_real_power,trip_meter15:measured_real_power
2000-01-01 00:00:00 EST,+55828.5,+7965.66,+7916.15,+7743.65,+43303.9,+46305.5,+46451.4,+42231.9,+55271.5,+54565,+55633.9,+51064.5,+39930.9,+55087.1,+39384.5
2000-01-01 00:01:00 EST,+55814.6,+7965.32,+7916.56,+7743.46,+43313.4,+46300.5,+46461.9,+42227.5,+58859.3,+54544.6,+55660.3,+51053,+39917.9,+55113.2,+39376.4
2000-01-01 00:02:00 EST,+55814.6,+7965.32,+7916.56,+7743.46,+43313.4,+46300.5,+46461.9,+42227.5,+58859.3,+54544.6,+55660.3,+51053,+39917.9,+55113.2,+39376.4
2000-01-01 00:03:00 EST,+55817.7,+7965.11,+7916.91,+9555.61,+43322.6,+42728,+46472.3,+42231,+58841.8,+54527.8,+54258.8,+47449.1,+39907.7,+55130,+39378.3
2000-01-01 00:04:00 EST,+52335.7,+7964.86,+7917.15,+9557.27,+43336.4,+42771.4,+42904.5,+35108.4,+55229.1,+47204.1,+54252.2,+47518.1,+39905.1,+51449.5,+32172.9
2000-01-01 00:05:00 EST,+50663.1,+7924.1,+7936.47,+9524.97,+43788,+42115.3,+39706.7,+34617.8,+52712.5,+44965.3,+51617.6,+45978.6,+38300.7,+48783.5,+31347.4
2000-01-01 00:06:00 EST,+47252.2,+7924.65,+7936.83,+7717.15,+43796.4,+42124.8,+39714,+34624.9,+45953.5,+45000.4,+41752.2,+45982.4,+38329.9,+48801.5,+31350.7
2000-01-01 00:07:00 EST,+47303,+7925.62,+7935.55,+7718.47,+43762.9,+38655.2,+42772.7,+31140.9,+39172.6,+38187.2,+37890.4,+46028.1,+34918.1,+44257.2,+27894.6
2000-01-01 00:08:00 EST,+40491.4,+7925.5,+7936.44,+7719.88,+40141.7,+31641.8,+39156.6,+27639.6,+28843.8,+38189.6,+34086.5,+39156.8,+31452.1,+40470.7,+27925.7
2000-01-01 00:09:00 EST,+40492.8,+7926.77,+7936.83,+7719.74,+36495.4,+28106.6,+35515.6,+27638.1,+28870.6,+31317.9,+30263.6,+35677.6,+28003.6,+36664.3,+27926.5
2000-01-01 00:10:00 EST,+40482.4,+7927.17,+7938.33,+7719.04,+29174.9,+28095.1,+31878.9,+27626,+28870.7,+31317.3,+30289.7,+28696.8,+28003.7,+32879.3,+27920.7
2000-01-01 00:11:00 EST,+37033.4,+7927.44,+7938.94,+7718.96,+29185.5,+28093.2,+28786.6,+27623.7,+28874.5,+27855.2,+30299.4,+28697.9,+28007.9,+29763.9,+27922.1
2000-01-01 00:12:00 EST,+33584.4,+7926.76,+9750.28,+7719.43,+29183.8,+28098,+28785,+27628.4,+28858.5,+30092.5,+30303.3,+28705.4,+27993.1,+29767.5,+27929.1
2000-01-01 00:13:00 EST,+33584.4,+7926.76,+9750.28,+7719.43,+29183.8,+28098,+28785,+27628.4,+28858.5,+30092.5,+30303.3,+28705.4,+27993.1,+29767.5,+27929.1
