# file...... power.csv
# date...... Tue Jul 28 10:27:39 2009
# user...... D3K077
# host...... (null)
# target.... waterheater 2
# trigger... (none)
# interval.. -1
# limit..... 100
# timestamp,constant_power
2001-01-01 00:00:00 PST,+0+0i
2001-01-01 01:00:00 PST,+0+0j
2001-01-01 10:00:00 PST,+4.5+0j
2001-01-01 11:00:00 PST,+0+0j
2001-01-05 14:00:00 PST,+4.5+0j
2001-01-05 15:00:00 PST,+0+0j
2001-01-09 17:00:00 PST,+4.5+0j
2001-01-09 18:00:00 PST,+0+0j
2001-01-13 21:00:00 PST,+4.5+0j
2001-01-13 22:00:00 PST,+0+0j
2001-01-18 00:00:00 PST,+4.5+0j
2001-01-18 00:20:08 PST,+0+0j
2001-01-19 15:00:00 PST,+4.5+0j
2001-01-19 16:00:00 PST,+0+0j
2001-01-23 19:00:00 PST,+4.5+0j
2001-01-23 20:00:00 PST,+0+0j
2001-01-27 22:00:00 PST,+4.5+0j
2001-01-27 23:00:00 PST,+0+0j
2001-02-01 02:00:00 PST,+4.5+0j
2001-02-01 03:00:00 PST,+0+0j
2001-02-05 06:00:00 PST,+4.5+0j
2001-02-05 07:00:00 PST,+0+0j
2001-02-09 09:00:00 PST,+4.5+0j
2001-02-09 10:00:00 PST,+0+0j
2001-02-13 13:00:00 PST,+4.5+0j
2001-02-13 14:00:00 PST,+0+0j
2001-02-17 16:00:00 PST,+4.5+0j
2001-02-17 17:00:00 PST,+0+0j
2001-02-21 20:00:00 PST,+4.5+0j
2001-02-21 21:00:00 PST,+0+0j
2001-02-25 23:50:14 PST,+4.5+0j
2001-02-26 00:00:00 PST,+0+0j
2001-02-26 20:00:00 PST,+4.5+0j
2001-02-26 21:00:00 PST,+0+0j
2001-03-03 00:00:00 PST,+4.5+0j
2001-03-03 01:00:00 PST,+0+0j
2001-03-07 04:00:00 PST,+4.5+0j
2001-03-07 05:00:00 PST,+0+0j
2001-03-11 08:00:00 PST,+4.5+0j
2001-03-11 09:00:00 PST,+0+0j
2001-03-15 12:00:00 PST,+4.5+0j
2001-03-15 13:00:00 PST,+0+0j
2001-03-19 16:00:00 PST,+4.5+0j
2001-03-19 17:00:00 PST,+0+0j
2001-03-23 20:00:00 PST,+4.5+0j
2001-03-23 21:00:00 PST,+0+0j
2001-03-28 00:00:00 PST,+4.5+0j
2001-03-28 01:00:00 PST,+0+0j
2001-04-01 04:00:00 PST,+4.5+0j
2001-04-01 04:50:50 PST,+0+0j
2001-04-04 20:00:00 PST,+4.5+0j
2001-04-04 21:00:00 PST,+0+0j
2001-04-09 01:00:00 PDT,+4.5+0j
2001-04-09 02:00:00 PDT,+0+0j
2001-04-13 05:00:00 PDT,+4.5+0j
2001-04-13 06:00:00 PDT,+0+0j
2001-04-17 09:00:00 PDT,+4.5+0j
2001-04-17 10:00:00 PDT,+0+0j
2001-04-21 13:00:00 PDT,+4.5+0j
2001-04-21 14:00:00 PDT,+0+0j
2001-04-25 17:00:00 PDT,+4.5+0j
2001-04-25 18:00:00 PDT,+0+0j
2001-04-29 21:00:00 PDT,+4.5+0j
2001-04-29 22:00:00 PDT,+0+0j
2001-05-04 01:00:00 PDT,+4.5+0j
2001-05-04 02:00:00 PDT,+0+0j
2001-05-08 06:00:00 PDT,+4.5+0j
2001-05-08 07:00:00 PDT,+0+0j
2001-05-12 10:00:00 PDT,+4.5+0j
2001-05-12 11:00:00 PDT,+0+0j
2001-05-16 15:00:00 PDT,+4.5+0j
2001-05-16 16:00:00 PDT,+0+0j
2001-05-20 20:00:00 PDT,+4.5+0j
2001-05-20 21:00:00 PDT,+0+0j
2001-05-25 00:00:00 PDT,+4.5+0j
2001-05-25 01:00:00 PDT,+0+0j
2001-05-29 05:00:00 PDT,+4.5+0j
2001-05-29 06:00:00 PDT,+0+0j
2001-06-02 10:00:00 PDT,+4.5+0j
2001-06-02 11:00:00 PDT,+0+0j
2001-06-06 15:00:00 PDT,+4.5+0j
2001-06-06 16:00:00 PDT,+0+0j
2001-06-10 20:00:00 PDT,+4.5+0j
2001-06-10 21:00:00 PDT,+0+0j
2001-06-15 01:00:00 PDT,+4.5+0j
2001-06-15 02:00:00 PDT,+0+0j
2001-06-19 06:00:00 PDT,+4.5+0j
2001-06-19 07:00:00 PDT,+0+0j
2001-06-23 11:00:00 PDT,+4.5+0j
2001-06-23 12:00:00 PDT,+0+0j
2001-06-27 16:00:00 PDT,+4.5+0j
2001-06-27 17:00:00 PDT,+0+0j
2001-07-01 21:00:00 PDT,+4.5+0j
2001-07-01 22:00:00 PDT,+0+0j
2001-07-06 02:00:00 PDT,+4.5+0j
2001-07-06 03:00:00 PDT,+0+0j
2001-07-10 06:00:00 PDT,+4.5+0j
2001-07-10 07:00:00 PDT,+0+0j
2001-07-14 11:00:00 PDT,+4.5+0j
2001-07-14 12:00:00 PDT,+0+0j
2001-07-18 16:00:00 PDT,+4.5+0j
# end of tape
