# file...... IEEE_13_house_Distribution_OHLine_Losses_2.csv
# date...... Mon Apr 09 14:20:24 2012
# user...... sing463
# host...... (null)
# group..... class=overhead_line AND groupid=Distribution_Line
# trigger... (none)
# interval.. 60
# limit..... 38880
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2010-12-25 00:00:00 PST,+3631.85,+4794.3,+659.712,+6714.38,+372.98,+3018.58
2010-12-25 00:01:00 PST,+3627.43,+4790.71,+658.211,+6704.64,+373.95,+3017.47
2010-12-25 00:02:00 PST,+3634.58,+4796.01,+654.595,+6706.09,+370.756,+3012.01
2010-12-25 00:03:00 PST,+3628.44,+4786.54,+654.233,+6695.51,+369.438,+3007.93
2010-12-25 00:04:00 PST,+3447.61,+4567.8,+769.436,+6635.25,+386.954,+3081.17
2010-12-25 00:05:00 PST,+4201.19,+6145.05,+1428.15,+9546.58,+993.901,+4899.08
2010-12-25 00:06:00 PST,+3360.04,+5194.94,+1615.07,+8646.09,+1115.78,+5169.49
2010-12-25 00:07:00 PST,+3030.46,+5009.2,+1377.45,+7639.2,+1223.87,+4989.28
2010-12-25 00:08:00 PST,+2195.02,+4375.11,+745.003,+5154.81,+1454.11,+4376.84
2010-12-25 00:09:00 PST,+2679.38,+4848.06,+308.689,+4469.87,+1190.78,+3135.83
2010-12-25 00:10:00 PST,+2353.76,+4823.13,+318.039,+4173.64,+1582.57,+3581.42
2010-12-25 00:11:00 PST,+2566.31,+4665.34,+307.558,+4381.19,+1191.91,+3077.75
2010-12-25 00:12:00 PST,+2347.89,+3739.24,+354.941,+4404.56,+748.406,+2805.6
2010-12-25 00:13:00 PST,+1837.53,+2941.99,+543.431,+3867.9,+634.692,+2725.79
2010-12-25 00:14:00 PST,+1855.61,+3002.66,+468.513,+3773.75,+657.683,+2673.97
2010-12-25 00:15:00 PST,+2029.62,+3575.89,+314.7,+3874.77,+905.549,+2865.78
2010-12-25 00:16:00 PST,+2362.02,+3715.17,+535.173,+4632.31,+699.891,+2954.23
2010-12-25 00:17:00 PST,+2216.86,+3781.22,+930.233,+5349.36,+947.262,+3729.85
2010-12-25 00:18:00 PST,+2061.97,+3693.68,+895.661,+5051.61,+1006.07,+3701.3
2010-12-25 00:19:00 PST,+2106.19,+3793.22,+428.105,+4231.51,+989.581,+3132.78
2010-12-25 00:20:00 PST,+2079.49,+3787.99,+167.723,+3632.15,+964.551,+2702.19
2010-12-25 00:21:00 PST,+2163.5,+3353.59,+204.486,+3628.71,+554.303,+2316.51
2010-12-25 00:22:00 PST,+2131.08,+3264.4,+275.365,+3692.23,+532.2,+2370.35
2010-12-25 00:23:00 PST,+1824.62,+2932.8,+579.206,+3868.14,+613.585,+2707.08
2010-12-25 00:24:00 PST,+1675.46,+2895.74,+585.271,+3743.62,+741.748,+2840.01
2010-12-25 00:25:00 PST,+1844.27,+3427.49,+287.25,+3599.57,+979.875,+2878.72
2010-12-25 00:26:00 PST,+2213.36,+3978.61,+138.75,+3506.21,+967.647,+2477.66
2010-12-25 00:27:00 PST,+2234.88,+4232.98,+152.54,+3643.2,+1164.93,+2767.46
2010-12-25 00:28:00 PST,+2072.6,+3818.64,+165.97,+3694.34,+1040.48,+2821.38
2010-12-25 00:29:00 PST,+1780.93,+3883.9,+175.271,+3430.51,+1444.46,+3284.8
2010-12-25 00:30:00 PST,+2714.53,+4737.69,+191.045,+4006.38,+976.552,+2570.39
2010-12-25 00:31:00 PST,+3235.32,+5021.32,+205.159,+4876.79,+693.207,+2655.72
2010-12-25 00:32:00 PST,+3927.69,+5761.96,+308.908,+6182.83,+623.346,+3007.09
2010-12-25 00:33:00 PST,+3520.96,+4644.88,+837.546,+6907.56,+397.97,+3249.15
2010-12-25 00:34:00 PST,+2266.66,+3286.05,+1275.47,+5993.02,+585.892,+3550.07
2010-12-25 00:35:00 PST,+1864.73,+3083.48,+905.264,+4615.55,+714.758,+3208.08
2010-12-25 00:36:00 PST,+1629.83,+3304.32,+531.436,+3744.61,+1093.49,+3259.07
2010-12-25 00:37:00 PST,+1509.38,+3603.09,+355.235,+3445.01,+1490.36,+3649.97
2010-12-25 00:38:00 PST,+1628.78,+3296.08,+537.298,+3755.77,+1089.82,+3268.1
2010-12-25 00:39:00 PST,+1440.61,+3056.15,+598.276,+3572.29,+1087.92,+3270.75
2010-12-25 00:40:00 PST,+1748.29,+3241.39,+243.538,+3351.46,+915.442,+2677.88
2010-12-25 00:41:00 PST,+1723.32,+3122.57,+240.302,+3285.63,+847.378,+2564.53
2010-12-25 00:42:00 PST,+2003.35,+3110.34,+301.588,+3614.1,+570.884,+2419.91
2010-12-25 00:43:00 PST,+2082.03,+3203.59,+305.664,+3712.61,+553.985,+2414.42
2010-12-25 00:44:00 PST,+2233.6,+3783.86,+183.642,+3673.04,+798.741,+2495.04
2010-12-25 00:45:00 PST,+2861.86,+4638.93,+240.035,+4275.44,+749.649,+2522.28
2010-12-25 00:46:00 PST,+3480.11,+5459.28,+257.271,+4987.23,+713.451,+2648.68
2010-12-25 00:47:00 PST,+3844.37,+5548.43,+386.225,+6323.77,+586.965,+3084.43
2010-12-25 00:48:00 PST,+2426.86,+3649.1,+1300.27,+6372.13,+723.622,+3854.08
2010-12-25 00:49:00 PST,+1549.15,+2324.24,+2382.98,+7159,+524.973,+4275.07
2010-12-25 00:50:00 PST,+1474.55,+2361.26,+1765.98,+5708.82,+571.14,+3713.49
2010-12-25 00:51:00 PST,+1436.96,+2549.13,+1163.98,+4465.75,+717.183,+3340.75
2010-12-25 00:52:00 PST,+1601.7,+3150.09,+318.141,+3321.67,+1014.26,+2867.03
