# file...... IEEE_13_house_Distribution_Trans_Losses.csv
# date...... Mon Apr 09 14:06:51 2012
# user...... sing463
# host...... (null)
# group..... class=transformer AND groupid=Distribution_Trans
# trigger... (none)
# interval.. 60
# limit..... 38880
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2010-06-05 00:00:00 PDT,+136.38,+228.95,+140.882,+257.233,+96.287,+150.943
2010-06-05 00:01:00 PDT,+136.358,+228.801,+140.802,+256.738,+96.2717,+150.859
2010-06-05 00:02:00 PDT,+136.332,+228.643,+140.77,+256.544,+96.2407,+150.677
2010-06-05 00:03:00 PDT,+136.279,+228.316,+140.696,+256.088,+96.1877,+150.362
2010-06-05 00:04:00 PDT,+135.827,+224.345,+139.361,+246.609,+96.0538,+149.941
2010-06-05 00:05:00 PDT,+135.266,+219.893,+137.291,+232.77,+95.9917,+149.761
2010-06-05 00:06:00 PDT,+132.731,+200.598,+134.76,+216.929,+95.9947,+149.7
2010-06-05 00:07:00 PDT,+132.243,+196.842,+133.056,+204.639,+95.2023,+144.732
2010-06-05 00:08:00 PDT,+131.39,+190.247,+131.521,+194.052,+94.5814,+140.722
2010-06-05 00:09:00 PDT,+130.86,+186.878,+130.811,+189.116,+93.5684,+133.596
2010-06-05 00:10:00 PDT,+129.579,+177.247,+130.094,+184.942,+93.1387,+130.447
2010-06-05 00:11:00 PDT,+129.433,+177.041,+130.124,+184.851,+92.4288,+125.18
2010-06-05 00:12:00 PDT,+128.724,+171.415,+129.417,+180.848,+92.4292,+125.034
2010-06-05 00:13:00 PDT,+128.825,+171.408,+128.219,+171.698,+92.3025,+124.893
2010-06-05 00:14:00 PDT,+128.832,+171.204,+127.862,+168.865,+92.244,+124.792
2010-06-05 00:15:00 PDT,+128.766,+170.813,+127.817,+168.621,+92.1991,+124.524
2010-06-05 00:16:00 PDT,+129.03,+173.361,+127.894,+168.641,+91.7994,+121.686
2010-06-05 00:17:00 PDT,+128.983,+173.101,+127.87,+168.508,+91.7436,+121.351
2010-06-05 00:18:00 PDT,+129.33,+175.928,+127.917,+168.357,+91.7149,+121.32
2010-06-05 00:19:00 PDT,+129.312,+175.842,+127.895,+168.212,+91.6561,+120.982
2010-06-05 00:20:00 PDT,+129.333,+175.709,+127.503,+165.39,+91.603,+120.879
2010-06-05 00:21:00 PDT,+129.288,+175.431,+127.458,+165.126,+91.5711,+120.704
2010-06-05 00:22:00 PDT,+129.26,+175.253,+127.446,+165.067,+91.5656,+120.67
2010-06-05 00:23:00 PDT,+128.85,+172.236,+127.346,+164.794,+91.5634,+120.539
2010-06-05 00:24:00 PDT,+128.166,+166.828,+127.134,+164.291,+91.5985,+120.516
2010-06-05 00:25:00 PDT,+128.126,+166.588,+127.087,+164.019,+91.5553,+120.269
2010-06-05 00:26:00 PDT,+128.085,+166.341,+127.072,+163.962,+91.5527,+120.245
2010-06-05 00:27:00 PDT,+128.026,+166.241,+127.374,+166.212,+91.5502,+120.038
2010-06-05 00:28:00 PDT,+127.985,+165.979,+127.348,+166.09,+91.5452,+120.003
2010-06-05 00:29:00 PDT,+127.982,+165.931,+127.285,+165.702,+91.5396,+119.997
2010-06-05 00:30:00 PDT,+127.964,+165.836,+127.259,+165.534,+91.5006,+119.773
2010-06-05 00:31:00 PDT,+127.956,+165.802,+127.227,+165.33,+91.4538,+119.509
2010-06-05 00:32:00 PDT,+127.965,+165.629,+126.898,+162.934,+91.3918,+119.327
2010-06-05 00:33:00 PDT,+128.258,+167.871,+126.919,+162.75,+91.3444,+119.184
2010-06-05 00:34:00 PDT,+128.201,+167.505,+126.877,+162.543,+91.3399,+119.154
2010-06-05 00:35:00 PDT,+128.196,+167.46,+126.853,+162.397,+91.3378,+119.152
2010-06-05 00:36:00 PDT,+128.467,+169.757,+126.909,+162.355,+91.3019,+119.049
2010-06-05 00:37:00 PDT,+128.405,+169.37,+126.883,+162.24,+91.2828,+118.928
2010-06-05 00:38:00 PDT,+128.34,+168.986,+126.875,+162.232,+91.26,+118.777
2010-06-05 00:39:00 PDT,+128.321,+168.866,+126.846,+162.063,+91.2446,+118.691
2010-06-05 00:40:00 PDT,+127.978,+166.321,+126.762,+161.888,+91.2551,+118.627
2010-06-05 00:41:00 PDT,+127.951,+166.148,+126.75,+161.833,+91.251,+118.597
2010-06-05 00:42:00 PDT,+127.924,+165.986,+126.716,+161.634,+91.2234,+118.446
2010-06-05 00:43:00 PDT,+127.611,+163.459,+126.621,+161.459,+91.2085,+118.248
2010-06-05 00:44:00 PDT,+127.978,+165.863,+126.658,+161.47,+91.43,+120.211
2010-06-05 00:45:00 PDT,+128.219,+167.918,+126.702,+161.383,+91.3977,+120.13
2010-06-05 00:46:00 PDT,+128.189,+167.735,+126.685,+161.298,+91.3767,+120.005
2010-06-05 00:47:00 PDT,+128.191,+167.737,+126.664,+161.164,+91.3747,+120.003
2010-06-05 00:48:00 PDT,+128.106,+167.558,+126.66,+161.025,+91.0945,+117.829
2010-06-05 00:49:00 PDT,+127.47,+162.589,+126.501,+160.81,+91.1345,+117.816
2010-06-05 00:50:00 PDT,+127.439,+162.407,+126.469,+160.62,+91.1053,+117.646
2010-06-05 00:51:00 PDT,+127.422,+162.299,+126.437,+160.425,+91.0834,+117.531
2010-06-05 00:52:00 PDT,+127.402,+162.171,+126.413,+160.286,+91.0718,+117.466
2010-06-05 00:53:00 PDT,+127.376,+162.001,+126.379,+160.097,+91.0642,+117.426
2010-06-05 00:54:00 PDT,+127.365,+161.958,+126.373,+160.057,+91.0337,+117.247
2010-06-05 00:55:00 PDT,+127.351,+161.874,+126.359,+159.979,+91.0162,+117.143
2010-06-05 00:56:00 PDT,+127.324,+161.706,+126.343,+159.898,+91.0165,+117.143
2010-06-05 00:57:00 PDT,+127.289,+161.483,+126.309,+159.715,+91.0011,+117.052
2010-06-05 00:58:00 PDT,+127.262,+161.322,+126.281,+159.558,+90.9825,+116.945
2010-06-05 00:59:00 PDT,+127.215,+161.242,+126.515,+161.6,+91.0275,+116.995
2010-06-05 01:00:00 PDT,+127.191,+160.775,+126.392,+161.043,+91.2432,+118.709
2010-06-05 01:01:00 PDT,+127.184,+160.72,+126.37,+160.916,+91.2367,+118.676
2010-06-05 01:02:00 PDT,+127.174,+160.668,+126.363,+160.874,+91.2228,+118.595
2010-06-05 01:03:00 PDT,+127.156,+160.556,+126.338,+160.733,+91.2014,+118.473
2010-06-05 01:04:00 PDT,+127.14,+160.477,+126.335,+160.714,+91.1791,+118.337
2010-06-05 01:05:00 PDT,+127.418,+162.761,+126.159,+158.537,+90.806,+116.074
2010-06-05 01:06:00 PDT,+127.414,+162.721,+126.119,+158.292,+90.7968,+116.036
2010-06-05 01:07:00 PDT,+127.389,+162.546,+126.067,+157.984,+90.7825,+115.966
2010-06-05 01:08:00 PDT,+127.378,+162.477,+126.049,+157.877,+90.7778,+115.941
2010-06-05 01:09:00 PDT,+127.357,+162.343,+126.037,+157.821,+90.7716,+115.905
2010-06-05 01:10:00 PDT,+127.003,+159.685,+125.932,+157.558,+90.7787,+115.809
2010-06-05 01:11:00 PDT,+126.998,+159.658,+125.921,+157.487,+90.7673,+115.744
2010-06-05 01:12:00 PDT,+126.977,+159.539,+125.906,+157.404,+90.7518,+115.652
2010-06-05 01:13:00 PDT,+126.968,+159.468,+125.888,+157.306,+90.7511,+115.651
2010-06-05 01:14:00 PDT,+126.949,+159.343,+125.867,+157.199,+90.7468,+115.628
2010-06-05 01:15:00 PDT,+126.915,+159.141,+125.843,+157.067,+90.7242,+115.492
2010-06-05 01:16:00 PDT,+126.886,+158.983,+125.834,+157.023,+90.6931,+115.3
2010-06-05 01:17:00 PDT,+126.838,+158.83,+126.127,+159.166,+90.6848,+115.144
2010-06-05 01:18:00 PDT,+126.833,+158.787,+126.106,+159.036,+90.6828,+115.141
2010-06-05 01:19:00 PDT,+126.823,+158.743,+126.095,+158.963,+90.6513,+114.959
2010-06-05 01:20:00 PDT,+126.809,+158.649,+126.064,+158.783,+90.6452,+114.929
2010-06-05 01:21:00 PDT,+126.789,+158.52,+126.04,+158.641,+90.628,+114.834
2010-06-05 01:22:00 PDT,+126.776,+158.437,+126.033,+158.608,+90.6251,+114.816
2010-06-05 01:23:00 PDT,+126.718,+158.306,+126.255,+160.566,+90.6567,+114.782
2010-06-05 01:24:00 PDT,+126.745,+158.334,+125.92,+158.178,+90.6259,+114.717
2010-06-05 01:25:00 PDT,+127.059,+160.341,+125.934,+158.068,+90.8244,+116.552
2010-06-05 01:26:00 PDT,+127.036,+160.198,+125.926,+158.036,+90.8233,+116.54
2010-06-05 01:27:00 PDT,+127.029,+160.17,+125.923,+158.014,+90.7995,+116.393
2010-06-05 01:28:00 PDT,+127.006,+160.025,+125.91,+157.954,+90.7967,+116.372
2010-06-05 01:29:00 PDT,+127.005,+159.999,+125.875,+157.738,+90.7932,+116.369
2010-06-05 01:30:00 PDT,+126.86,+159.802,+126.756,+165.084,+90.9189,+116.407
2010-06-05 01:31:00 PDT,+126.855,+159.783,+126.738,+164.963,+90.8926,+116.256
2010-06-05 01:32:00 PDT,+126.832,+159.659,+126.714,+164.872,+90.9249,+116.346
2010-06-05 01:33:00 PDT,+126.867,+159.648,+126.379,+162.186,+90.8659,+116.23
2010-06-05 01:34:00 PDT,+126.791,+159.4,+126.687,+164.777,+90.914,+116.271
2010-06-05 01:35:00 PDT,+126.526,+157.34,+126.606,+164.607,+90.9391,+116.299
2010-06-05 01:36:00 PDT,+126.51,+157.242,+126.592,+164.532,+90.9319,+116.254
2010-06-05 01:37:00 PDT,+126.524,+157.096,+126.554,+164.441,+91.3859,+119.425
2010-06-05 01:38:00 PDT,+126.834,+159.262,+126.303,+161.921,+91.2959,+119.25
2010-06-05 01:39:00 PDT,+126.802,+159.177,+126.021,+159.379,+90.9487,+117.005
2010-06-05 01:40:00 PDT,+127.113,+161.559,+126.074,+159.384,+90.9137,+116.925
2010-06-05 01:41:00 PDT,+127.222,+161.597,+125.765,+156.988,+91.1265,+118.997
2010-06-05 01:42:00 PDT,+127.159,+161.453,+126.033,+159.31,+91.1606,+118.95
2010-06-05 01:43:00 PDT,+126.795,+158.732,+125.953,+159.176,+91.1679,+118.854
2010-06-05 01:44:00 PDT,+126.779,+158.632,+125.948,+159.156,+91.1623,+118.816
2010-06-05 01:45:00 PDT,+126.642,+158.397,+125.98,+159.11,+90.4349,+113.457
2010-06-05 01:46:00 PDT,+126.701,+158.382,+125.944,+159.034,+90.679,+115.46
2010-06-05 01:47:00 PDT,+126.763,+158.448,+125.903,+158.924,+90.9282,+117.317
2010-06-05 01:48:00 PDT,+126.939,+160.492,+126.905,+165.991,+90.9812,+117.322
2010-06-05 01:49:00 PDT,+126.964,+160.412,+126.593,+163.433,+90.9252,+117.225
2010-06-05 01:50:00 PDT,+126.995,+160.354,+126.288,+160.889,+90.8552,+117.063
2010-06-05 01:51:00 PDT,+127.19,+162.402,+126.618,+163.13,+90.856,+116.931
2010-06-05 01:52:00 PDT,+127.807,+167.309,+126.755,+163.218,+90.7974,+116.835
2010-06-05 01:53:00 PDT,+127.844,+167.724,+126.749,+163.122,+90.7967,+116.815
2010-06-05 01:54:00 PDT,+128.539,+173.184,+126.901,+163.274,+90.7264,+116.651
2010-06-05 01:55:00 PDT,+129.217,+178.801,+127.325,+165.725,+90.7116,+116.584
2010-06-05 01:56:00 PDT,+129.246,+178.739,+127.019,+163.193,+90.6613,+116.527
2010-06-05 01:57:00 PDT,+128.879,+175.979,+126.7,+161.488,+90.6805,+116.503
2010-06-05 01:58:00 PDT,+128.881,+175.902,+126.972,+163.75,+91.0001,+118.736
2010-06-05 01:59:00 PDT,+128.878,+175.871,+126.959,+163.668,+90.9988,+118.734
2010-06-05 02:00:00 PDT,+129.594,+180.947,+127.011,+163.484,+91.2232,+120.786
2010-06-05 02:01:00 PDT,+129.728,+181.069,+126.942,+163.351,+92.0564,+126.908
2010-06-05 02:02:00 PDT,+129.34,+177.793,+127.133,+165.408,+92.4403,+129.436
2010-06-05 02:03:00 PDT,+128.936,+175.168,+127.068,+165.269,+92.1115,+126.72
2010-06-05 02:04:00 PDT,+128.898,+175.082,+127.556,+168.712,+92.1237,+126.672
2010-06-05 02:05:00 PDT,+128.888,+175.018,+127.539,+168.612,+92.1184,+126.641
2010-06-05 02:06:00 PDT,+130.189,+185.119,+128.062,+170.97,+92.0583,+126.551
2010-06-05 02:07:00 PDT,+131.41,+194.29,+128.25,+171.024,+91.9621,+126.4
2010-06-05 02:08:00 PDT,+131.363,+194.094,+128.984,+176.303,+92.0037,+126.441
2010-06-05 02:09:00 PDT,+131.428,+194.089,+128.947,+176.231,+92.2549,+128.495
2010-06-05 02:10:00 PDT,+130.558,+186.812,+128.473,+173.59,+92.6449,+131.478
2010-06-05 02:11:00 PDT,+130.073,+183.066,+128.385,+173.451,+92.6415,+131.319
2010-06-05 02:12:00 PDT,+129.959,+182.346,+128.367,+173.39,+92.7017,+131.559
2010-06-05 02:13:00 PDT,+129.429,+179.48,+128.95,+178.212,+92.4438,+128.971
2010-06-05 02:14:00 PDT,+130.305,+185.568,+128.393,+173.25,+92.3161,+128.814
2010-06-05 02:15:00 PDT,+130.331,+185.848,+128.386,+173.177,+92.3084,+128.735
2010-06-05 02:16:00 PDT,+130.377,+185.823,+127.829,+168.816,+92.1248,+127.993
2010-06-05 02:17:00 PDT,+130.473,+185.861,+127.763,+168.688,+92.9829,+134.076
2010-06-05 02:18:00 PDT,+130.606,+185.986,+127.697,+168.562,+93.8296,+140.274
2010-06-05 02:19:00 PDT,+130.488,+185.824,+127.991,+170.852,+93.4151,+137.042
2010-06-05 02:20:00 PDT,+130.874,+188.651,+128.367,+173.451,+93.8405,+139.971
2010-06-05 02:21:00 PDT,+130.173,+184.624,+128.613,+175.781,+93.1571,+134.292
2010-06-05 02:22:00 PDT,+130.584,+187.945,+129.008,+178.528,+93.1768,+134.303
2010-06-05 02:23:00 PDT,+129.669,+182.169,+129.26,+181.215,+92.4935,+128.582
2010-06-05 02:24:00 PDT,+130.159,+185.013,+128.912,+178.387,+92.7591,+131.139
2010-06-05 02:25:00 PDT,+130.093,+184.84,+129.281,+181.375,+92.7961,+131.111
2010-06-05 02:26:00 PDT,+130.554,+188.225,+128.926,+178.705,+92.7666,+131.071
2010-06-05 02:27:00 PDT,+129.691,+182.128,+128.727,+177.98,+92.3439,+127.826
2010-06-05 02:28:00 PDT,+129.604,+181.573,+128.713,+177.929,+92.3633,+127.956
2010-06-05 02:29:00 PDT,+129.108,+178.206,+129.063,+181.254,+92.5623,+128.705
2010-06-05 02:30:00 PDT,+129.102,+178.174,+128.995,+180.837,+92.549,+128.627
2010-06-05 02:31:00 PDT,+128.35,+173.734,+129.399,+184.402,+91.7602,+122.301
2010-06-05 02:32:00 PDT,+129.49,+182.339,+130.003,+187.72,+92.0881,+124.864
2010-06-05 02:33:00 PDT,+129.498,+182.32,+130.379,+190.666,+92.5203,+127.713
2010-06-05 02:34:00 PDT,+130.251,+188.765,+130.475,+189.844,+91.6873,+122.197
2010-06-05 02:35:00 PDT,+130.506,+190.407,+130.997,+193.339,+92.0615,+124.968
2010-06-05 02:36:00 PDT,+131.653,+198.252,+130.313,+186.977,+91.9001,+124.755
2010-06-05 02:37:00 PDT,+130.775,+191.088,+130.082,+186.44,+92.2484,+127.192
2010-06-05 02:38:00 PDT,+131.632,+197.838,+131.066,+193.38,+92.7595,+130.498
2010-06-05 02:39:00 PDT,+132.163,+201.428,+131.093,+193.356,+93.2115,+133.825
2010-06-05 02:40:00 PDT,+132.02,+201.236,+132.468,+203.771,+93.3387,+133.906
2010-06-05 02:41:00 PDT,+133.191,+210.095,+132.661,+204.152,+92.9807,+131.491
2010-06-05 02:42:00 PDT,+133.31,+210.735,+132.635,+204.035,+92.9642,+131.421
2010-06-05 02:43:00 PDT,+134.834,+221.222,+132.286,+200.628,+92.8451,+131.192
2010-06-05 02:44:00 PDT,+135.353,+224.35,+133.216,+207.375,+94.2867,+141.377
2010-06-05 02:45:00 PDT,+135.469,+225.799,+135.353,+223.113,+95.4945,+149.128
2010-06-05 02:46:00 PDT,+136.105,+230.503,+136.017,+227.449,+95.4923,+149.079
2010-06-05 02:47:00 PDT,+134.929,+221.817,+136.396,+231.392,+96.1893,+153.413
2010-06-05 02:48:00 PDT,+135.136,+222.062,+134.705,+219.207,+96.7089,+157.839
2010-06-05 02:49:00 PDT,+135.697,+225.617,+133.609,+210.733,+96.5787,+157.641
2010-06-05 02:50:00 PDT,+136.93,+233.175,+132.169,+199.146,+96.9564,+162.263
2010-06-05 02:51:00 PDT,+138.546,+244.932,+132.8,+203.25,+96.9466,+162.159
2010-06-05 02:52:00 PDT,+138.87,+248.641,+133.729,+209.868,+96.2177,+155.977
2010-06-05 02:53:00 PDT,+139.234,+252.701,+133.885,+209.944,+94.2694,+142.402
