# file...... IEEE_13_house_Distribution_UGLine_Losses_2.csv
# date...... Mon Apr 09 14:20:24 2012
# user...... sing463
# host...... (null)
# group..... class=underground_line AND groupid=Distribution_Line
# trigger... (none)
# interval.. 60
# limit..... 38880
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2010-12-25 00:00:00 PST,+952.406,+871.101,+1683.14,+932.563,+1101.76,+1248.02
2010-12-25 00:01:00 PST,+951.615,+871.204,+1682.2,+931.645,+1102.17,+1247.67
2010-12-25 00:02:00 PST,+951.372,+871.088,+1682.32,+931.69,+1102.17,+1247.72
2010-12-25 00:03:00 PST,+950.862,+871.1,+1680.99,+930.946,+1102.28,+1247.34
2010-12-25 00:04:00 PST,+959.571,+874.142,+1547.82,+873.835,+1097.5,+1210.42
2010-12-25 00:05:00 PST,+935.387,+954.863,+2232.84,+1130.62,+1247.5,+1406.59
2010-12-25 00:06:00 PST,+934.003,+957.981,+2127.97,+1093.37,+1238.41,+1383.32
2010-12-25 00:07:00 PST,+961.576,+958.625,+1945.86,+1034.03,+1216.39,+1342.02
2010-12-25 00:08:00 PST,+988.793,+958.377,+1616.93,+904.836,+1172.87,+1234.02
2010-12-25 00:09:00 PST,+1107.78,+899.094,+1252.85,+851.998,+1040.59,+1086.57
2010-12-25 00:10:00 PST,+1138.28,+908.698,+1130.53,+843.506,+1077.29,+1038.24
2010-12-25 00:11:00 PST,+1108.15,+884.453,+1173.58,+839.362,+1030.43,+1040.99
2010-12-25 00:12:00 PST,+1030.31,+867.195,+1202.12,+807.047,+1036.84,+1062.75
2010-12-25 00:13:00 PST,+1005.06,+858.917,+1163.61,+759.667,+1029.32,+1067.77
2010-12-25 00:14:00 PST,+1005.61,+858.452,+1164.47,+760.995,+1028.05,+1067.19
2010-12-25 00:15:00 PST,+1027.2,+848.789,+1160.37,+771.125,+1011.88,+1065.48
2010-12-25 00:16:00 PST,+992.288,+857.32,+1244.99,+767.913,+1047.35,+1109.17
2010-12-25 00:17:00 PST,+879.456,+911.98,+1562.41,+808.611,+1141.82,+1191.05
2010-12-25 00:18:00 PST,+957.457,+945.456,+1426.26,+790.31,+1138.31,+1150.13
2010-12-25 00:19:00 PST,+1043.77,+910.345,+1220.18,+794.144,+1064.62,+1075.04
2010-12-25 00:20:00 PST,+1050.88,+879.496,+1158.23,+788.454,+1009.53,+1039.16
2010-12-25 00:21:00 PST,+1034.63,+835.489,+1156.38,+777.315,+976.248,+1057.13
2010-12-25 00:22:00 PST,+1034.45,+835.633,+1153.35,+775.958,+977.067,+1056.51
2010-12-25 00:23:00 PST,+1028.01,+859.925,+1146.25,+761.88,+999.273,+1049.72
2010-12-25 00:24:00 PST,+1014.16,+866.758,+1132.71,+741.623,+1015.92,+1042.13
2010-12-25 00:25:00 PST,+1027.54,+865.232,+1132.77,+746.418,+1007.7,+1036.76
2010-12-25 00:26:00 PST,+1038.72,+812.963,+1164.06,+782.155,+962.878,+1058.89
2010-12-25 00:27:00 PST,+1069.56,+871.069,+1107.58,+783.956,+1003.25,+1008.35
2010-12-25 00:28:00 PST,+1030.13,+882.668,+1140.76,+765.997,+1029.45,+1030.64
2010-12-25 00:29:00 PST,+1091.59,+926.255,+1033.9,+763.262,+1071.16,+977.78
2010-12-25 00:30:00 PST,+1063.87,+794.732,+1226.38,+835.075,+935.027,+1081.8
2010-12-25 00:31:00 PST,+1016.96,+801.508,+1335.58,+841.874,+976.294,+1137.29
2010-12-25 00:32:00 PST,+1026.6,+798.036,+1551.39,+930.781,+993.571,+1224.07
2010-12-25 00:33:00 PST,+829.635,+869.036,+1774.02,+883.988,+1148.95,+1257.33
2010-12-25 00:34:00 PST,+820.843,+875.554,+1662.18,+824.524,+1145.49,+1227.44
2010-12-25 00:35:00 PST,+829.498,+903.483,+1526.53,+748.074,+1151.55,+1191.14
2010-12-25 00:36:00 PST,+1008.71,+885.451,+1192.39,+753.955,+1028.7,+1060.08
2010-12-25 00:37:00 PST,+1094.46,+893.658,+1087.27,+788.195,+1009.95,+998.809
2010-12-25 00:38:00 PST,+1062.48,+897.85,+1120.52,+773.118,+1029.86,+1023.06
2010-12-25 00:39:00 PST,+995.379,+903.809,+1181.65,+730.646,+1046.76,+1054.17
2010-12-25 00:40:00 PST,+996.453,+853.923,+1180.35,+742.332,+1008.99,+1071.99
2010-12-25 00:41:00 PST,+1014.46,+840.733,+1149.13,+756.09,+985.046,+1055.3
2010-12-25 00:42:00 PST,+998.447,+817.326,+1164.09,+757.22,+984.951,+1069.35
2010-12-25 00:43:00 PST,+1012.62,+831.503,+1141.51,+760.579,+984.957,+1046.38
2010-12-25 00:44:00 PST,+1085.21,+834.873,+1125.12,+808.637,+963.927,+1034.12
2010-12-25 00:45:00 PST,+1081.82,+842.155,+1217.69,+832.049,+987.992,+1086.8
2010-12-25 00:46:00 PST,+1006.94,+862.038,+1356.66,+825.658,+1051.58,+1145.08
2010-12-25 00:47:00 PST,+958.768,+849.712,+1574.62,+890.511,+1075.48,+1226.83
2010-12-25 00:48:00 PST,+813.494,+934.367,+1645.56,+795.912,+1186.54,+1206.56
2010-12-25 00:49:00 PST,+824.758,+918.534,+1609.92,+798.805,+1169.46,+1206.75
2010-12-25 00:50:00 PST,+853.54,+965.16,+1466.47,+707.324,+1183.77,+1150.41
2010-12-25 00:51:00 PST,+948.631,+897.455,+1223.79,+706.287,+1075.63,+1081.47
2010-12-25 00:52:00 PST,+1018.99,+866.87,+1115.42,+730.262,+1006.35,+1027.83
2010-12-25 00:53:00 PST,+1034.32,+878.42,+1071.02,+742.536,+1002.71,+993.799
2010-12-25 00:54:00 PST,+1009.39,+865.812,+1098.56,+734.18,+1004.86,+1018.4
2010-12-25 00:55:00 PST,+1011.84,+864.196,+1104.46,+732.035,+1007.63,+1023.99
2010-12-25 00:56:00 PST,+1027.98,+809.078,+1155.18,+775.168,+962.422,+1056.39
2010-12-25 00:57:00 PST,+1055.82,+822.019,+1130.9,+781.471,+959.007,+1032.93
2010-12-25 00:58:00 PST,+1004.88,+790.041,+1337.37,+824.317,+978.064,+1143.7
2010-12-25 00:59:00 PST,+906.396,+863.769,+1404.18,+781.099,+1076.51,+1142.42
2010-12-25 01:00:00 PST,+862.846,+847.341,+1769.42,+922.01,+1116.19,+1263.71
2010-12-25 01:01:00 PST,+764.256,+996.523,+1966.13,+869.718,+1291.09,+1295.79
2010-12-25 01:02:00 PST,+779.305,+885.65,+2107.16,+1013.28,+1196.56,+1332.6
2010-12-25 01:03:00 PST,+904.169,+884.858,+1654.07,+891.506,+1124.07,+1228.68
2010-12-25 01:04:00 PST,+932.868,+844.006,+1456.7,+831.021,+1057.37,+1166.85
2010-12-25 01:05:00 PST,+997.686,+887.465,+1197.52,+761.957,+1068.36,+1065.14
2010-12-25 01:06:00 PST,+1040.66,+832.302,+1196.61,+812.498,+984.187,+1063.58
2010-12-25 01:07:00 PST,+1118.36,+827.162,+1183.2,+853.722,+950.358,+1063.82
2010-12-25 01:08:00 PST,+1106.7,+810.849,+1212.82,+853.873,+935.969,+1080.14
2010-12-25 01:09:00 PST,+1228.81,+794.683,+1334.27,+926.431,+884.366,+1145.48
2010-12-25 01:10:00 PST,+1035.74,+828.046,+1607.77,+937.625,+1031.33,+1234.55
2010-12-25 01:11:00 PST,+1076.97,+862.534,+1542.01,+938.139,+1047.05,+1212.64
2010-12-25 01:12:00 PST,+896.821,+854.022,+1996.07,+1039.12,+1133.45,+1325.8
2010-12-25 01:13:00 PST,+895.587,+883.776,+1707.91,+913.568,+1122.09,+1236.92
2010-12-25 01:14:00 PST,+771.775,+901.848,+1792.5,+851.017,+1177.67,+1241.36
2010-12-25 01:15:00 PST,+741.125,+934.76,+1872.14,+842.73,+1215.71,+1249.17
2010-12-25 01:16:00 PST,+900.695,+881.553,+1415.47,+766.301,+1097.16,+1148.22
2010-12-25 01:17:00 PST,+957.711,+944.706,+1239.59,+693.209,+1118.16,+1070.22
2010-12-25 01:18:00 PST,+1054.94,+959.608,+1054.92,+701.954,+1114.24,+994.443
2010-12-25 01:19:00 PST,+1028.63,+857.212,+1127.79,+763.093,+998.994,+1024.71
2010-12-25 01:20:00 PST,+1063.98,+852.423,+1153.89,+804.492,+994.556,+1042.05
2010-12-25 01:21:00 PST,+1013.13,+794.945,+1300.37,+805.217,+976.903,+1127.17
2010-12-25 01:22:00 PST,+996.435,+775.896,+1615.59,+917.498,+1018.79,+1251.7
2010-12-25 01:23:00 PST,+921.204,+806.502,+1673.4,+916.794,+1056.36,+1238.94
2010-12-25 01:24:00 PST,+910.089,+914.916,+1788.6,+947.43,+1189.41,+1290.54
2010-12-25 01:25:00 PST,+813.676,+928.18,+2025.65,+981.877,+1245.84,+1343.75
2010-12-25 01:26:00 PST,+926.241,+855.847,+1933.02,+1039.87,+1130.55,+1331.8
2010-12-25 01:27:00 PST,+1012.99,+788.217,+1739.25,+996.348,+1036.01,+1301.7
