# file...... IEEE_13_house_solar_all_transformer_power_3.csv
# date...... Mon Apr 09 14:42:20 2012
# user...... sing463
# host...... (null)
# target.... transformer 25
# trigger... (none)
# interval.. 60
# limit..... 38880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2010-06-05 00:00:00 PDT,+206192,-147395,+223865,-148219,+128699,-152356,+206187,-147423,+223861,-148251,+128696,-152374,+4.23985,+28.2657
2010-06-05 00:01:00 PDT,+206026,-147405,+223503,-148234,+128613,-152356,+206022,-147433,+223498,-148266,+128610,-152374,+4.23555,+28.237
2010-06-05 00:02:00 PDT,+205872,-147411,+223393,-148238,+128396,-152362,+205868,-147439,+223388,-148270,+128393,-152379,+4.23147,+28.2098
2010-06-05 00:03:00 PDT,+205545,-147426,+222995,-148255,+128066,-152369,+205541,-147454,+222990,-148287,+128063,-152387,+4.22288,+28.1525
2010-06-05 00:04:00 PDT,+200497,-147723,+213002,-148943,+127681,-152267,+200493,-147751,+212997,-148972,+127678,-152284,+4.09341,+27.2894
2010-06-05 00:05:00 PDT,+195734,-147960,+203276,-149290,+127550,-152205,+195730,-147986,+203272,-149318,+127548,-152223,+3.97346,+26.4897
2010-06-05 00:06:00 PDT,+172163,-149131,+188373,-149751,+127607,-152074,+172160,-149154,+188369,-149777,+127604,-152091,+3.4241,+22.8273
2010-06-05 00:07:00 PDT,+167390,-149248,+173455,-150486,+122180,-152151,+167386,-149270,+173452,-150510,+122177,-152168,+3.31943,+22.1295
2010-06-05 00:08:00 PDT,+158105,-149601,+158821,-151002,+117362,-152208,+158102,-149622,+158817,-151023,+117360,-152224,+3.12693,+20.8462
2010-06-05 00:09:00 PDT,+152888,-149739,+154246,-151116,+107404,-152499,+152885,-149759,+154242,-151136,+107401,-152515,+3.02257,+20.1505
2010-06-05 00:10:00 PDT,+138103,-150487,+148462,-151271,+102423,-152587,+138100,-150506,+148459,-151291,+102420,-152602,+2.75344,+18.3562
2010-06-05 00:11:00 PDT,+138013,-150394,+148334,-151251,+93090.9,-152963,+138010,-150412,+148331,-151271,+93088.8,-152977,+2.74994,+18.333
2010-06-05 00:12:00 PDT,+127995,-150879,+143552,-151244,+92888.7,-152947,+127992,-150896,+143550,-151263,+92886.5,-152961,+2.58371,+17.2248
2010-06-05 00:13:00 PDT,+127904,-150862,+128449,-151917,+92864.9,-152824,+127901,-150880,+128446,-151934,+92862.8,-152838,+2.58184,+17.2123
2010-06-05 00:14:00 PDT,+127578,-150864,+123293,-152184,+92786.8,-152775,+127575,-150881,+123290,-152201,+92784.7,-152789,+2.57638,+17.1758
2010-06-05 00:15:00 PDT,+126966,-150888,+122895,-152194,+92360.5,-152788,+126963,-150905,+122892,-152211,+92358.4,-152802,+2.56656,+17.1104
2010-06-05 00:16:00 PDT,+131040,-150669,+122823,-152228,+86869.6,-153034,+131038,-150686,+122821,-152245,+86867.5,-153048,+2.63159,+17.544
2010-06-05 00:17:00 PDT,+130670,-150679,+122608,-152229,+86292.8,-153054,+130668,-150697,+122606,-152246,+86290.8,-153068,+2.62541,+17.5027
