# file...... HVAC_Data2.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,avg(cooling_setpoint),sum(hvac_load)
2000-08-01 00:00:00 PDT,+75,+0
2000-08-01 00:01:00 PDT,+75,+0
2000-08-01 00:02:00 PDT,+75,+0
2000-08-01 00:03:00 PDT,+75,+0
2000-08-01 00:04:00 PDT,+75,+0
2000-08-01 00:05:00 PDT,+71.5548,+0
2000-08-01 00:06:00 PDT,+71.5548,+0
2000-08-01 00:07:00 PDT,+71.5548,+0
2000-08-01 00:08:00 PDT,+71.5548,+0
2000-08-01 00:09:00 PDT,+71.5548,+0
2000-08-01 00:10:00 PDT,+71.5548,+0
2000-08-01 00:11:00 PDT,+71.5548,+0
2000-08-01 00:12:00 PDT,+71.5548,+0
2000-08-01 00:13:00 PDT,+71.5548,+0
2000-08-01 00:14:00 PDT,+71.5548,+0
2000-08-01 00:15:00 PDT,+71.5548,+0
2000-08-01 00:16:00 PDT,+71.5548,+0.952572
2000-08-01 00:17:00 PDT,+71.5548,+1.37636
2000-08-01 00:18:00 PDT,+71.5548,+1.05851
2000-08-01 00:19:00 PDT,+71.5548,+0.317363
2000-08-01 00:20:00 PDT,+71.5548,+0
2000-08-01 00:21:00 PDT,+71.5548,+0.953235
2000-08-01 00:22:00 PDT,+71.5548,+3.81059
2000-08-01 00:23:00 PDT,+71.5548,+7.30388
2000-08-01 00:24:00 PDT,+71.5548,+13.6565
2000-08-01 00:25:00 PDT,+71.5548,+15.1365
2000-08-01 00:26:00 PDT,+71.5548,+13.2314
2000-08-01 00:27:00 PDT,+71.5548,+10.7972
2000-08-01 00:28:00 PDT,+71.5548,+6.9849
2000-08-01 00:29:00 PDT,+71.5548,+4.44401
2000-08-01 00:30:00 PDT,+71.5548,+2.5396
2000-08-01 00:31:00 PDT,+71.5548,+2.53974
2000-08-01 00:32:00 PDT,+71.5548,+2.01104
2000-08-01 00:33:00 PDT,+71.5548,+1.05895
2000-08-01 00:34:00 PDT,+71.5548,+0
2000-08-01 00:35:00 PDT,+71.5548,+0
2000-08-01 00:36:00 PDT,+71.5548,+0.317883
2000-08-01 00:37:00 PDT,+71.5548,+0.952718
2000-08-01 00:38:00 PDT,+71.5548,+0.952713
2000-08-01 00:39:00 PDT,+71.5548,+2.85831
2000-08-01 00:40:00 PDT,+71.5548,+4.12781
2000-08-01 00:41:00 PDT,+71.5548,+4.0211
2000-08-01 00:42:00 PDT,+71.5548,+6.24269
2000-08-01 00:43:00 PDT,+71.5548,+5.39692
2000-08-01 00:44:00 PDT,+71.5548,+2.22343
2000-08-01 00:45:00 PDT,+71.5548,+3.49285
2000-08-01 00:46:00 PDT,+71.5548,+4.55154
2000-08-01 00:47:00 PDT,+71.5548,+5.18722
2000-08-01 00:48:00 PDT,+71.5548,+4.44517
2000-08-01 00:49:00 PDT,+71.5548,+6.98719
2000-08-01 00:50:00 PDT,+71.5548,+7.94045
2000-08-01 00:51:00 PDT,+71.5548,+8.15137
2000-08-01 00:52:00 PDT,+71.5548,+9.95222
2000-08-01 00:53:00 PDT,+71.5548,+10.5858
2000-08-01 00:54:00 PDT,+71.5548,+11.8554
2000-08-01 00:55:00 PDT,+71.5548,+12.2773
2000-08-01 00:56:00 PDT,+71.5548,+10.6876
2000-08-01 00:57:00 PDT,+71.5548,+12.6998
2000-08-01 00:58:00 PDT,+71.5548,+10.1613
2000-08-01 00:59:00 PDT,+71.5548,+7.83149
2000-08-01 01:00:00 PDT,+71.5548,+8.68041
2000-08-01 01:01:00 PDT,+71.5548,+8.04461
2000-08-01 01:02:00 PDT,+71.5548,+7.3017
2000-08-01 01:03:00 PDT,+71.5548,+6.35044
2000-08-01 01:04:00 PDT,+71.5548,+5.71583
