# file...... Voltage_671.csv
# date...... Wed Dec 01 07:20:04 2010
# user...... D3P313
# host...... (null)
# target.... node 47
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2381.67,-63.106,-1253.24,-2070.71,-1175.84,+2097.41
2000-01-01 00:01:00 PST,+2366.56,-62.867,-1245.53,-2057.58,-1168.38,+2084.23
2000-01-01 00:02:00 PST,+2350.12,-63.052,-1239.07,-2043.35,-1161.61,+2071.21
2000-01-01 00:03:00 PST,+2326.6,-77.4195,-1236.31,-2026.5,-1137.76,+2053.33
2000-01-01 00:04:00 PST,+2311.92,-77.8418,-1227.61,-2014.66,-1129.88,+2039.61
2000-01-01 00:05:00 PST,+2276.83,-97.3107,-1232.28,-2003.78,-1129.16,+2019.97
2000-01-01 00:06:00 PST,+2260.81,-93.4823,-1226.41,-1987.71,-1125.61,+2008.85
2000-01-01 00:07:00 PST,+2266.31,-81.6644,-1216.31,-1966.22,-1116,+2000.76
2000-01-01 00:08:00 PST,+2251.76,-81.7784,-1207.33,-1955.56,-1109.34,+1986.63
2000-01-01 00:09:00 PST,+2257.1,-74.959,-1195.71,-1942.44,-1102.53,+1974.93
2000-01-01 00:10:00 PST,+2261.01,-64.7167,-1186.7,-1923.47,-1099.01,+1966.18
2000-01-01 00:11:00 PST,+2262.36,-57.0557,-1178.56,-1910.23,-1109.31,+1968.03
2000-01-01 00:12:00 PST,+2259.74,-43.5735,-1170.31,-1909.94,-1100.1,+1958.6
2000-01-01 00:13:00 PST,+2236.07,-37.2405,-1167.82,-1876.24,-1083.39,+1942.47
2000-01-01 00:14:00 PST,+2228.78,-44.1723,-1172.81,-1874.08,-1083.81,+1940.82
2000-01-01 00:15:00 PST,+2230.74,-48.4132,-1169.08,-1880.15,-1078.31,+1937.81
2000-01-01 00:16:00 PST,+2231.11,-51.3811,-1166.41,-1885.65,-1076.63,+1935.23
2000-01-01 00:17:00 PST,+2228.95,-51.1202,-1168.23,-1885.98,-1082.68,+1935.57
2000-01-01 00:18:00 PST,+2240.27,-49.9881,-1154.63,-1907.92,-1088.7,+1930.81
2000-01-01 00:19:00 PST,+2239.53,-44.7623,-1140.84,-1910.77,-1085.55,+1919.4
2000-01-01 00:20:00 PST,+2236.28,-48.5026,-1142.74,-1911.68,-1086.77,+1918.12
2000-01-01 00:21:00 PST,+2235.21,-44.1825,-1146.42,-1901.83,-1085.03,+1921.64
2000-01-01 00:22:00 PST,+2236.23,-40.3809,-1146.76,-1899.25,-1086.98,+1923.45
2000-01-01 00:23:00 PST,+2234.86,-40.4401,-1148.04,-1899.57,-1090.32,+1923.49
2000-01-01 00:24:00 PST,+2229.96,-44.7724,-1151.43,-1899.16,-1091.51,+1922.34
2000-01-01 00:25:00 PST,+2219.12,-49.4694,-1162.84,-1882.82,-1085.86,+1924.75
2000-01-01 00:26:00 PST,+2222.07,-56.4292,-1173.23,-1882.79,-1083.68,+1934.65
2000-01-01 00:27:00 PST,+2221.06,-63.0072,-1171.38,-1889.73,-1080.4,+1930.83
2000-01-01 00:28:00 PST,+2221.95,-61.5273,-1171.01,-1887.98,-1079.34,+1931.65
2000-01-01 00:29:00 PST,+2230.36,-54.9687,-1165.08,-1888.49,-1073.88,+1933.17
2000-01-01 00:30:00 PST,+2227.19,-66.4065,-1163.38,-1899.91,-1072.17,+1926.93
2000-01-01 00:31:00 PST,+2231.98,-57.7647,-1163.18,-1887.91,-1063.26,+1931.64
2000-01-01 00:32:00 PST,+2229.65,-55.2561,-1166.58,-1885.18,-1069.99,+1933.46
2000-01-01 00:33:00 PST,+2231.42,-51.1054,-1165.98,-1884.08,-1073.09,+1935.2
2000-01-01 00:34:00 PST,+2225.11,-65.717,-1166.36,-1896.02,-1072.79,+1927.74
2000-01-01 00:35:00 PST,+2216.93,-70.5358,-1173.25,-1893.99,-1078.26,+1927.11
2000-01-01 00:36:00 PST,+2212.02,-74.7613,-1176.58,-1894.48,-1082.13,+1925.93
2000-01-01 00:37:00 PST,+2212.71,-71.347,-1177.47,-1888.62,-1080.37,+1928.24
2000-01-01 00:38:00 PST,+2215.16,-63.2975,-1178.55,-1879.54,-1079.98,+1932.77
2000-01-01 00:39:00 PST,+2220.33,-66.4422,-1172.03,-1888.98,-1073.29,+1929.21
2000-01-01 00:40:00 PST,+2219.74,-65.6522,-1172.94,-1887.37,-1074.25,+1929.87
2000-01-01 00:41:00 PST,+2225.07,-54.7214,-1172.01,-1879.2,-1074.22,+1935.05
2000-01-01 00:42:00 PST,+2228.51,-60.5218,-1164.73,-1897.22,-1077.5,+1929.31
2000-01-01 00:43:00 PST,+2229.13,-60.6175,-1163.44,-1899.01,-1078.64,+1928.94
2000-01-01 00:44:00 PST,+2233.52,-50.6698,-1162.49,-1893.35,-1080.89,+1933.36
2000-01-01 00:45:00 PST,+2233.61,-46.934,-1163.78,-1889.48,-1083.23,+1935.52
2000-01-01 00:46:00 PST,+2225.5,-64.9442,-1165.7,-1898.47,-1076.11,+1927.53
2000-01-01 00:47:00 PST,+2220.08,-70.3183,-1171.07,-1887.72,-1063.16,+1927.45
2000-01-01 00:48:00 PST,+2209.2,-80.3447,-1179.01,-1881.98,-1059.5,+1925.45
2000-01-01 00:49:00 PST,+2198.92,-87.4137,-1186.69,-1877.38,-1061.98,+1924.94
2000-01-01 00:50:00 PST,+2196.67,-83.9855,-1190.72,-1867.66,-1062.01,+1928.17
2000-01-01 00:51:00 PST,+2198.69,-82.8927,-1189.28,-1870.29,-1062.9,+1927.94
2000-01-01 00:52:00 PST,+2199.79,-78.8347,-1189.23,-1869.91,-1068.66,+1929.7
2000-01-01 00:53:00 PST,+2203.56,-74.3316,-1186.54,-1873.26,-1073.92,+1930.68
2000-01-01 00:54:00 PST,+2209.74,-69.6444,-1180.82,-1882.14,-1081.03,+1930.53
2000-01-01 00:55:00 PST,+2216.54,-60.8931,-1176.42,-1884.69,-1086.91,+1932.95
2000-01-01 00:56:00 PST,+2222.82,-57.8567,-1171.27,-1887.31,-1081.89,+1932.96
2000-01-01 00:57:00 PST,+2228.27,-62.5268,-1163.49,-1900.1,-1075.78,+1928.2
2000-01-01 00:58:00 PST,+2223.96,-63.5167,-1168.17,-1894.22,-1075.77,+1929.23
2000-01-01 00:59:00 PST,+2216.8,-74.9887,-1171.34,-1897.66,-1072.62,+1924.7
2000-01-01 01:00:00 PST,+2214.32,-69.8325,-1176.59,-1885.11,-1072.95,+1929.15
2000-01-01 01:01:00 PST,+2215.92,-65.9644,-1177.42,-1876.78,-1066.5,+1931.78
2000-01-01 01:02:00 PST,+2205.31,-69.4702,-1187.34,-1865.22,-1069.23,+1933.54
2000-01-01 01:03:00 PST,+2203.12,-72.2031,-1189.26,-1860.6,-1062.64,+1933.32
2000-01-01 01:04:00 PST,+2210.33,-64.9243,-1185.51,-1855.68,-1054.75,+1936.28
2000-01-01 01:05:00 PST,+2202.12,-77.9441,-1188.71,-1861.25,-1052.95,+1930.86
2000-01-01 01:06:00 PST,+2198.95,-81.0194,-1189.98,-1863.92,-1057.52,+1929.62
2000-01-01 01:07:00 PST,+2193.42,-82.9088,-1193.72,-1865.8,-1068.86,+1929.56
2000-01-01 01:08:00 PST,+2188.51,-88.5161,-1195.91,-1870.91,-1074.62,+1927.09
2000-01-01 01:09:00 PST,+2183.68,-98.5269,-1196.81,-1876.17,-1070.33,+1922.53
2000-01-01 01:10:00 PST,+2184.89,-105.702,-1191.83,-1891.15,-1070.69,+1917.13
2000-01-01 01:11:00 PST,+2193.43,-95.0086,-1187.86,-1887.54,-1070.61,+1921.19
2000-01-01 01:12:00 PST,+2200.12,-87.5044,-1185.03,-1880.88,-1062.73,+1924.65
2000-01-01 01:13:00 PST,+2200.6,-87.971,-1183.95,-1885.53,-1066.54,+1923.42
2000-01-01 01:14:00 PST,+2200.57,-88.8487,-1183.26,-1888.34,-1068.39,+1922.63
2000-01-01 01:15:00 PST,+2199.18,-82.5513,-1187.57,-1877.33,-1071.05,+1927.27
2000-01-01 01:16:00 PST,+2212.39,-66.685,-1181.94,-1864.92,-1058.51,+1933.97
2000-01-01 01:17:00 PST,+2215.68,-64.41,-1179.3,-1867.02,-1058.29,+1934.16
2000-01-01 01:18:00 PST,+2219.74,-55.5,-1178.7,-1859.9,-1058.48,+1938.48
2000-01-01 01:19:00 PST,+2221.92,-51.8188,-1178.22,-1855.83,-1055.83,+1940.33
2000-01-01 01:20:00 PST,+2217.1,-61.3167,-1178.78,-1864.83,-1058.86,+1935.67
2000-01-01 01:21:00 PST,+2209.55,-71.5164,-1181.86,-1869.78,-1060.01,+1931.56
2000-01-01 01:22:00 PST,+2188.59,-90.803,-1194.29,-1874.96,-1074.26,+1925.27
2000-01-01 01:23:00 PST,+2175.75,-105.814,-1200.49,-1882.07,-1079.87,+1919.47
2000-01-01 01:24:00 PST,+2173.95,-102.885,-1204.97,-1868.38,-1072.49,+1922.71
2000-01-01 01:25:00 PST,+2160.47,-114.657,-1213.46,-1866.49,-1074.62,+1919.76
