# file...... reg1_output.csv
# date...... Wed Dec 01 07:41:56 2010
# user...... D3P313
# host...... (null)
# target.... regulator 55
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 PST,1,1,1,+252963,+5696.94,+239898,+4826.8,+160483,+1688.38,+653344,+12212.1
2000-01-01 00:01:00 PST,1,1,1,+252885,+5692.49,+239898,+4828.67,+160341,+1683.87,+653124,+12205
2000-01-01 00:02:00 PST,1,1,1,+257102,+6963.49,+245005,+6370,+160149,+1646.48,+662256,+14980
2000-01-01 00:03:00 PST,1,1,1,+327513,+28720.5,+291551,+20054.8,+229881,+21320.1,+848945,+70095.4
2000-01-01 00:04:00 PST,1,1,1,+327329,+28790.7,+286712,+19796.6,+229781,+21310.1,+843823,+69897.4
2000-01-01 00:05:00 PST,1,1,1,+410032,+55944.9,+319922,+31160.4,+237784,+23829.6,+967738,+110935
2000-01-01 00:06:00 PST,1,1,1,+387332,+53791.9,+319574,+31542.4,+225944,+20723.2,+932849,+106058
2000-01-01 00:07:00 PST,1,1,1,+365813,+49736.4,+328576,+37075.6,+223333,+21405.5,+917722,+108217
2000-01-01 00:08:00 PST,1,1,1,+356567,+49269.2,+314046,+34759.2,+218158,+21234.4,+888771,+105263
2000-01-01 00:09:00 PST,1,1,1,+330675,+43456.3,+299007,+32474.3,+205259,+19985.4,+834942,+95916
2000-01-01 00:10:00 PST,1,1,1,+278120,+34963.5,+289998,+34599.4,+175009,+15406,+743127,+84968.8
2000-01-01 00:11:00 PST,1,1,1,+244797,+25092.9,+270891,+30284.1,+139517,+7986.08,+655205,+63363.1
2000-01-01 00:12:00 PST,1,1,1,+183321,+9600.64,+231474,+20999.4,+125950,+5790.62,+540745,+36390.7
2000-01-01 00:13:00 PST,1,1,1,+242362,+25700.1,+335079,+53866.3,+182726,+21700.9,+760167,+101267
2000-01-01 00:14:00 PST,1,1,1,+286516,-10676.4,+359154,+12409.7,+193643,-25843.4,+839313,-24110.1
2000-01-01 00:15:00 PST,1,1,1,+283645,-7853.77,+340922,+8326.25,+206482,-21002,+831050,-20529.5
2000-01-01 00:16:00 PST,1,1,1,+297611,-3121.63,+321055,+4159.33,+218773,-17399.5,+837439,-16361.8
2000-01-01 00:17:00 PST,1,1,1,+299969,-1772.9,+288635,-4456.62,+183756,-26719.3,+772360,-32948.8
2000-01-01 00:18:00 PST,1,1,1,+235480,+27923.8,+196175,+18789.9,+160845,+17540,+592501,+64253.7
2000-01-01 00:19:00 PST,1,1,1,+215898,+22366,+175680,+12981.9,+151442,+14990.2,+543020,+50338.1
2000-01-01 00:20:00 PST,1,1,1,+228231,+27012.2,+188861,+16844.8,+158986,+17104.2,+576078,+60961.1
2000-01-01 00:21:00 PST,1,1,1,+232088,+27993,+204328,+21531,+151474,+15092,+587890,+64616
2000-01-01 00:22:00 PST,1,1,1,+221151,+23643.3,+207252,+22397.7,+141983,+12601.6,+570387,+58642.6
2000-01-01 00:23:00 PST,1,1,1,+216207,+23390.2,+211004,+22507.4,+141996,+12724.4,+569208,+58622
2000-01-01 00:24:00 PST,1,1,1,+240684,+30140.4,+253501,+34190.9,+153744,+15983.8,+647929,+80315.1
2000-01-01 00:25:00 PST,1,1,1,+294991,-3924.65,+341990,+11079.3,+177981,-29009.2,+814962,-21854.6
2000-01-01 00:26:00 PST,1,1,1,+320020,+4306.07,+339509,+9865.34,+207401,-20434,+866931,-6262.61
2000-01-01 00:27:00 PST,1,1,1,+323287,+6460.66,+345434,+12910.9,+216715,-17646.7,+885436,+1724.84
2000-01-01 00:28:00 PST,1,1,1,+320692,+6055.75,+326147,+6411.46,+225892,-15026.9,+872730,-2559.72
2000-01-01 00:29:00 PST,1,1,1,+298147,-378.218,+290938,-4494.39,+220660,-16361.6,+809745,-21234.2
2000-01-01 00:30:00 PST,1,1,1,+319125,+6821.18,+277474,-8710.35,+236703,-11708.5,+833302,-13597.6
2000-01-01 00:31:00 PST,1,1,1,+312372,+4112.46,+294837,-2721.32,+250130,-7135.07,+857339,-5743.93
2000-01-01 00:32:00 PST,1,1,1,+294924,-1687.45,+311854,+380.56,+241275,-9538.51,+848054,-10845.4
2000-01-01 00:33:00 PST,1,1,1,+284340,-4672.75,+293032,-3909.23,+219442,-15042.3,+796813,-23624.3
2000-01-01 00:34:00 PST,1,1,1,+334473,+11590,+292659,-3941.36,+214362,-16953.6,+841493,-9304.95
2000-01-01 00:35:00 PST,1,1,1,+353797,+17064.4,+342801,+8738.41,+230790,-12212.4,+927387,+13590.4
2000-01-01 00:36:00 PST,1,1,1,+378057,+24701.5,+318220,+1869.36,+219084,-16118.3,+915361,+10452.6
2000-01-01 00:37:00 PST,1,1,1,+378765,+23863.9,+383641,+22515.7,+226729,-13940.6,+989134,+32439
2000-01-01 00:38:00 PST,1,1,1,+366155,+19819.2,+367232,+17256.3,+229579,-12896,+962967,+24179.6
2000-01-01 00:39:00 PST,1,1,1,+351693,+15102.1,+372955,+18562.5,+247638,-7189.8,+972286,+26474.8
2000-01-01 00:40:00 PST,1,1,1,+336532,+10428.9,+360386,+14435.5,+246627,-7376.85,+943545,+17487.6
2000-01-01 00:41:00 PST,1,1,1,+309499,+2092.35,+336078,+7050.58,+233303,-11225.6,+878880,-2082.72
2000-01-01 00:42:00 PST,1,1,1,+296040,-1373.64,+295688,-3550.32,+213606,-16918.2,+805334,-21842.2
2000-01-01 00:43:00 PST,1,1,1,+278624,-5466.22,+276341,-9377.16,+209199,-18017,+764163,-32860.4
2000-01-01 00:44:00 PST,1,1,1,+233811,-18879.2,+240395,-19762.6,+175467,-27388.9,+649673,-66030.8
2000-01-01 00:45:00 PST,1,1,1,+247977,-14602.5,+257580,-14500.4,+172153,-28379.2,+677711,-57482.1
2000-01-01 00:46:00 PST,1,1,1,+326398,+9529.99,+304125,-1423.42,+227088,-12845.1,+857610,-4738.51
2000-01-01 00:47:00 PST,1,1,1,+361808,+19704.3,+382429,+24450.6,+266139,-1150.13,+1.01038e+006,+43004.8
2000-01-01 00:48:00 PST,1,1,1,+437626,+45185.6,+401591,+30703.7,+279907,+2343.18,+1.11912e+006,+78232.4
2000-01-01 00:49:00 PST,1,1,1,+481820,+60696.8,+429568,+38954.3,+327716,+13561.5,+1.2391e+006,+113213
2000-01-01 00:50:00 PST,2,1,1,+522040,+72983.3,+469967,+54230.9,+339458,+16737.8,+1.33146e+006,+143952
2000-01-01 00:51:00 PST,2,1,1,+469156,+53688.6,+471102,+52403.7,+319300,+11349.4,+1.25956e+006,+117442
2000-01-01 00:52:00 PST,2,1,1,+443402,+45837.1,+433566,+40087.9,+269722,-3943.66,+1.14669e+006,+81981.4
2000-01-01 00:53:00 PST,2,1,1,+421690,+39720.1,+385229,+23173.1,+254177,-8398.06,+1.0611e+006,+54495.1
2000-01-01 00:54:00 PST,2,1,1,+375144,+24495.6,+360440,+15502.6,+237695,-13080.7,+973278,+26917.5
2000-01-01 00:55:00 PST,2,1,1,+290797,-1994.26,+306767,-1063.36,+222986,-16523.3,+820550,-19581
2000-01-01 00:56:00 PST,2,1,1,+276321,-5987.33,+276662,-7811.78,+215911,-18270.8,+768894,-32069.9
2000-01-01 00:57:00 PST,2,1,1,+288269,-2164.38,+283751,-5878.32,+221195,-16742.6,+793214,-24785.3
2000-01-01 00:58:00 PST,2,1,1,+298830,+1034.02,+291211,-3961.41,+216733,-18180.7,+806774,-21108.1
2000-01-01 00:59:00 PST,2,1,1,+309329,+3905.87,+318228,+4005.77,+243382,-10010.8,+870939,-2099.19
2000-01-01 01:00:00 PST,2,1,1,+374297,+24517.4,+364267,+18855.4,+247487,-9496.95,+986051,+33875.9
2000-01-01 01:01:00 PST,2,1,1,+391343,+29602.1,+399922,+29718,+292222,+4204.91,+1.08349e+006,+63525
2000-01-01 01:02:00 PST,2,1,1,+405115,+33250.2,+442570,+44355.5,+317414,+12389.5,+1.1651e+006,+89995.2
2000-01-01 01:03:00 PST,2,1,1,+444239,+45536.2,+480898,+57872.6,+339101,+18967.8,+1.26424e+006,+122377
2000-01-01 01:04:00 PST,2,1,1,+459186,+50839.4,+475676,+57222.9,+312276,+8525.24,+1.24714e+006,+116587
2000-01-01 01:05:00 PST,2,1,1,+466480,+53087.6,+496423,+65617.2,+319714,+10940,+1.28262e+006,+129645
2000-01-01 01:06:00 PST,2,1,1,+458963,+51230.7,+459073,+52160.8,+328158,+13816.4,+1.24619e+006,+117208
