# file...... Voltage_680.csv
# date...... Wed Dec 01 07:49:57 2010
# user...... D3P313
# host...... (null)
# target.... node 41
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2411.87,-63.5396,-1268.7,-2096.94,-1190.85,+2123.79
2000-01-01 00:01:00 PST,+2412,-63.6204,-1260.87,-2083.97,-1183.3,+2110.46
2000-01-01 00:02:00 PST,+2410.86,-63.9682,-1254.25,-2069.77,-1183.89,+2110.66
2000-01-01 00:03:00 PST,+2402.64,-78.2335,-1259.13,-2065.99,-1167.76,+2106.1
2000-01-01 00:04:00 PST,+2403.12,-78.8271,-1258.11,-2067.32,-1167.44,+2105.57
2000-01-01 00:05:00 PST,+2359.43,-84.5446,-1250.52,-2046.99,-1168.09,+2068.49
2000-01-01 00:06:00 PST,+2375.86,-77.1264,-1250.81,-2042.89,-1178.41,+2084.82
2000-01-01 00:07:00 PST,+2394.34,-69.6178,-1249.16,-2037.39,-1177.45,+2087.99
2000-01-01 00:08:00 PST,+2395.66,-68.1806,-1247.52,-2038.97,-1178.07,+2087.75
2000-01-01 00:09:00 PST,+2401.07,-59.8404,-1243.63,-2038.15,-1178.94,+2089.89
2000-01-01 00:10:00 PST,+2405.93,-46.9175,-1241.39,-2033.24,-1184.99,+2094.25
2000-01-01 00:11:00 PST,+2407.44,-40.047,-1241.66,-2032.17,-1194.32,+2096.37
2000-01-01 00:12:00 PST,+2420.32,-28.0277,-1231.28,-2035.73,-1191.75,+2098.69
2000-01-01 00:13:00 PST,+2410.29,-31.276,-1250.66,-2027.18,-1181.1,+2102.28
2000-01-01 00:14:00 PST,+2402.28,-39.4268,-1255.78,-2026.27,-1181.86,+2100.05
2000-01-01 00:15:00 PST,+2403.33,-43.6494,-1252.16,-2032.77,-1177.94,+2096.78
2000-01-01 00:16:00 PST,+2403.57,-48.4426,-1249.8,-2038.36,-1175.15,+2093.6
2000-01-01 00:17:00 PST,+2402.02,-53.3777,-1248.04,-2048.32,-1182.01,+2090.11
2000-01-01 00:18:00 PST,+2416.41,-46.557,-1234.11,-2063.56,-1183.13,+2088.6
2000-01-01 00:19:00 PST,+2421.02,-42.5105,-1230.07,-2066.46,-1183.48,+2089.14
2000-01-01 00:20:00 PST,+2403.06,-45.4833,-1232.41,-2064.73,-1182.05,+2088.6
2000-01-01 00:21:00 PST,+2400.06,-44.0928,-1236.17,-2060.08,-1185.81,+2090.25
2000-01-01 00:22:00 PST,+2401.23,-40.9091,-1236.25,-2058.33,-1188.06,+2091.69
2000-01-01 00:23:00 PST,+2401.63,-39.2369,-1236.43,-2057.31,-1187.93,+2092.41
2000-01-01 00:24:00 PST,+2394.38,-40.201,-1244.46,-2047.82,-1190.52,+2094.47
2000-01-01 00:25:00 PST,+2381.91,-44.7477,-1257.17,-2032.23,-1190.3,+2097.05
2000-01-01 00:26:00 PST,+2384.52,-49.619,-1253.37,-2035.73,-1178.43,+2094.15
2000-01-01 00:27:00 PST,+2382.18,-52.7564,-1254.33,-2035.67,-1176.76,+2093.13
2000-01-01 00:28:00 PST,+2384.92,-55.0852,-1250.42,-2041.8,-1173.35,+2090.83
2000-01-01 00:29:00 PST,+2392.27,-54.0336,-1242.72,-2050.08,-1168.93,+2088.95
2000-01-01 00:30:00 PST,+2390.48,-60.8955,-1242,-2054.76,-1164.95,+2085.57
2000-01-01 00:31:00 PST,+2391.88,-55.2547,-1243.68,-2045.37,-1160.87,+2089.14
2000-01-01 00:32:00 PST,+2389.91,-51.9236,-1247.18,-2041.49,-1166.75,+2091.4
2000-01-01 00:33:00 PST,+2392.37,-47.5459,-1245.59,-2042.58,-1171.7,+2092.46
2000-01-01 00:34:00 PST,+2381.13,-60.6635,-1251.73,-2047.39,-1177.41,+2087.7
2000-01-01 00:35:00 PST,+2373.88,-61.1219,-1260.48,-2036.9,-1178.84,+2090.1
2000-01-01 00:36:00 PST,+2385.36,-72.0515,-1258.91,-2049.56,-1181.89,+2084.05
2000-01-01 00:37:00 PST,+2383.57,-63.6382,-1265.03,-2033.25,-1182.56,+2090.42
2000-01-01 00:38:00 PST,+2390.7,-58.5053,-1260.05,-2033.17,-1176.35,+2091.61
2000-01-01 00:39:00 PST,+2397.64,-53.7524,-1255.32,-2031.95,-1168.02,+2092.85
2000-01-01 00:40:00 PST,+2398.19,-55.2026,-1254.17,-2034.17,-1166.53,+2091.82
2000-01-01 00:41:00 PST,+2404.34,-49.3634,-1249.55,-2036.69,-1167.39,+2093.03
2000-01-01 00:42:00 PST,+2406.87,-50.2917,-1245.11,-2045.34,-1171.34,+2090.92
2000-01-01 00:43:00 PST,+2410.26,-48.5309,-1241.92,-2047.7,-1169.12,+2090.78
2000-01-01 00:44:00 PST,+2414.96,-40.4588,-1238.5,-2051.94,-1180.2,+2092.74
2000-01-01 00:45:00 PST,+2407.36,-43.8755,-1245.29,-2047.14,-1184.89,+2093.06
2000-01-01 00:46:00 PST,+2395.45,-60.4222,-1252.84,-2045.44,-1176.19,+2088.07
2000-01-01 00:47:00 PST,+2388.13,-56.6669,-1263.62,-2023.59,-1172.83,+2094.09
2000-01-01 00:48:00 PST,+2376.1,-75.4278,-1268.7,-2030.7,-1170.73,+2086.66
2000-01-01 00:49:00 PST,+2387.57,-83.2434,-1269.95,-2030.62,-1161.77,+2084.23
2000-01-01 00:50:00 PST,+2380.1,-87.5113,-1276.75,-2020.42,-1157.11,+2084.97
