# file...... Overhead_Line_Losses.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# group..... class=overhead_line AND groupid=Distribution_Line
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real),sum(power_losses_A.imag),sum(power_losses_B.imag),sum(power_losses_C.imag)
2000-01-01 00:00:00 PST,+4287.99,+484.565,+697.702,+6386.79,+6604.3,+3087.49
2000-01-01 00:01:00 PST,+4258.04,+481.311,+690.388,+6339.63,+6557.52,+3058.09
2000-01-01 00:02:00 PST,+4368.33,+482.495,+620.497,+6377.09,+6726.73,+3024.28
2000-01-01 00:03:00 PST,+5802.75,+501.33,+1639.12,+9934.29,+8104.92,+4198.58
2000-01-01 00:04:00 PST,+5738.38,+552.416,+1706.13,+10029.7,+7806.79,+4178.36
2000-01-01 00:05:00 PST,+9335.8,+1675.2,+1402.59,+15539.3,+9904.59,+3320.29
2000-01-01 00:06:00 PST,+7930.5,+1767.96,+1467.89,+13895.6,+8055.05,+2056.1
2000-01-01 00:07:00 PST,+6808.34,+1044.56,+1193.37,+11143.1,+8432.87,+2398.99
2000-01-01 00:08:00 PST,+6459.76,+1034.13,+1165.96,+10665.5,+7895.29,+2283.03
2000-01-01 00:09:00 PST,+5560.77,+792.473,+989.629,+9037.04,+7131.94,+2098.39
2000-01-01 00:10:00 PST,+4484.21,+563.941,+321.106,+5976.54,+7445.96,+1654.4
2000-01-01 00:11:00 PST,+4149.19,+496.211,+216.19,+4886.49,+6865.54,+962.434
2000-01-01 00:12:00 PST,+2296.89,+469.099,+174.997,+2555.04,+5330.65,+905.879
2000-01-01 00:13:00 PST,+3474.09,+1359.46,+345.995,+3755.39,+9639.33,+2342.12
2000-01-01 00:14:00 PST,+4692,+1294.63,+366.259,+5086.07,+11094.7,+2389.05
2000-01-01 00:15:00 PST,+4391.13,+1042.07,+426.74,+5506.02,+9771.13,+2843.15
2000-01-01 00:16:00 PST,+4469.14,+694.367,+797.814,+6458.7,+8490.22,+2985.45
2000-01-01 00:17:00 PST,+4803.03,+516.847,+610.791,+7086.62,+7160.1,+1886.38
2000-01-01 00:18:00 PST,+2577.48,+305.457,+685.564,+4513.39,+3326.15,+1450.6
2000-01-01 00:19:00 PST,+1858.56,+406.116,+898.243,+4067.44,+2018.07,+1304.47
2000-01-01 00:20:00 PST,+2195.67,+496.709,+983.68,+4724.21,+2282.43,+1363.95
2000-01-01 00:21:00 PST,+2656.81,+357.443,+695.274,+4606.53,+3521.64,+1219.93
2000-01-01 00:22:00 PST,+2512.41,+227.803,+510.598,+3989.82,+3733.24,+1050.88
2000-01-01 00:23:00 PST,+2417.27,+185.29,+491.755,+3785.09,+3742.83,+1074.1
2000-01-01 00:24:00 PST,+3260.06,+329.496,+404.545,+4714.78,+4873.41,+885.43
2000-01-01 00:25:00 PST,+5672.32,+600.414,+295.032,+7236.45,+9035.01,+1475.61
2000-01-01 00:26:00 PST,+5516.84,+713.239,+671.798,+7730.39,+9527.48,+2579.19
