# file...... Underground_Line_Losses.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# group..... class=underground_line AND groupid=Distribution_Line
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real),sum(power_losses_A.imag),sum(power_losses_B.imag),sum(power_losses_C.imag)
2000-01-01 00:00:00 PST,+1134.25,+1723.2,+1077.02,+901.307,+1034.66,+1279.29
2000-01-01 00:01:00 PST,+1121.21,+1707.97,+1064.31,+890.646,+1024.96,+1265.48
2000-01-01 00:02:00 PST,+1105.5,+1693.14,+1053.3,+879.219,+1013.8,+1252.75
2000-01-01 00:03:00 PST,+1307.67,+1810.52,+1092.63,+958.721,+1153.46,+1304.83
2000-01-01 00:04:00 PST,+1329.16,+1718.26,+1086.88,+966.926,+1115.77,+1281.56
2000-01-01 00:05:00 PST,+1439.34,+1873.58,+1121.17,+997.718,+1218.46,+1367.71
2000-01-01 00:06:00 PST,+734.136,+1240.93,+353.133,+383.891,+840.854,+582.608
2000-01-01 00:07:00 PST,+628.409,+1420.82,+355.836,+343.438,+905.873,+607.783
2000-01-01 00:08:00 PST,+549.973,+1268.17,+335.157,+302.238,+795.49,+557.397
2000-01-01 00:09:00 PST,+507.637,+1027.44,+352.43,+306.306,+648.108,+521.992
2000-01-01 00:10:00 PST,+276.862,+1129.07,+334.256,+212.579,+607.873,+495.635
2000-01-01 00:11:00 PST,+209.785,+1047.55,+241.66,+161.537,+556.225,+385.204
2000-01-01 00:12:00 PST,+94.6418,+899.755,+55.6413,+13.1293,+525.484,+201.121
2000-01-01 00:13:00 PST,+204.859,+1696.51,+139.9,+39.3713,+996.932,+430.584
2000-01-01 00:14:00 PST,+281.725,+1840.98,+351.537,+202.933,+989.316,+623.861
2000-01-01 00:15:00 PST,+396.822,+1352.6,+369.561,+259.603,+783.951,+587.078
2000-01-01 00:16:00 PST,+446.592,+1173.29,+416.301,+288.68,+688.448,+599.341
2000-01-01 00:17:00 PST,+462.531,+884.61,+339.597,+274.716,+543.847,+479.073
2000-01-01 00:18:00 PST,+322.717,+410.609,+320.148,+216.937,+262.327,+340.725
2000-01-01 00:19:00 PST,+159.907,+223.04,+170.099,+91.0761,+144.101,+192.072
2000-01-01 00:20:00 PST,+222.189,+296.884,+194.553,+108.15,+187.256,+231.488
2000-01-01 00:21:00 PST,+189.896,+478.163,+181.4,+83.8888,+279.446,+264.173
2000-01-01 00:22:00 PST,+132.071,+490.916,+153.529,+56.8435,+274.544,+241.566
2000-01-01 00:23:00 PST,+129.177,+537.506,+150.675,+51.8056,+299.066,+248.634
2000-01-01 00:24:00 PST,+188.672,+743.392,+63.7891,+46.8074,+467.143,+196.021
2000-01-01 00:25:00 PST,+261.472,+1447.64,+215.562,+144.416,+814.049,+420.672
2000-01-01 00:26:00 PST,+345.079,+1446.96,+332.648,+226.776,+826.393,+565.345
2000-01-01 00:27:00 PST,+427.968,+1521.25,+317.223,+247.574,+902.42,+572.372
2000-01-01 00:28:00 PST,+477.585,+1244.33,+316.974,+274.73,+764.695,+532.321
2000-01-01 00:29:00 PST,+395.767,+1070.05,+339.234,+252.238,+631.853,+510.137
2000-01-01 00:30:00 PST,+649.54,+989.996,+390.466,+391.396,+682.828,+560.513
2000-01-01 00:31:00 PST,+447.156,+1298.58,+749.232,+352.731,+698.02,+888.071
2000-01-01 00:32:00 PST,+357.091,+1465.24,+613.149,+277.934,+739.607,+803.804
2000-01-01 00:33:00 PST,+387.53,+1226.85,+549.193,+287.052,+661.407,+709.142
2000-01-01 00:34:00 PST,+577.828,+1248.68,+489.592,+364.258,+776.434,+687.92
2000-01-01 00:35:00 PST,+581.952,+1943.69,+507.01,+345.165,+1161.91,+840.397
2000-01-01 00:36:00 PST,+790.535,+1565.43,+317.283,+364.254,+1042.85,+620.28
2000-01-01 00:37:00 PST,+860.873,+2072.44,+227.251,+342.488,+1401.74,+613.648
2000-01-01 00:38:00 PST,+684.202,+1834.45,+330.394,+324.154,+1162.74,+662.903
2000-01-01 00:39:00 PST,+599.875,+1853.75,+386.051,+308.346,+1126.7,+709.74
2000-01-01 00:40:00 PST,+597.46,+1799.79,+308.835,+268.216,+1092.58,+619.72
2000-01-01 00:41:00 PST,+312.8,+1704.49,+348.064,+196.444,+923.934,+611.097
2000-01-01 00:42:00 PST,+348.124,+1447.6,+307.599,+208.942,+826.895,+541.754
2000-01-01 00:43:00 PST,+316.731,+1254.74,+342.908,+218.654,+706.281,+539.586
2000-01-01 00:44:00 PST,+222.772,+1187.08,+264.841,+160.493,+617.685,+429.919
2000-01-01 00:45:00 PST,+304.313,+964.612,+235.191,+183.839,+559.532,+390.874
2000-01-01 00:46:00 PST,+622.829,+1013.08,+410.201,+354.775,+668.674,+576.231
2000-01-01 00:47:00 PST,+715.29,+2364.3,+466.021,+362.514,+1432.46,+877.866
2000-01-01 00:48:00 PST,+1036.92,+2577.51,+629.24,+532.76,+1635.22,+1094.33
2000-01-01 00:49:00 PST,+1513.59,+2723.93,+658.073,+760.403,+1882.56,+1176.71
2000-01-01 00:50:00 PST,+1844.23,+2710.44,+709.283,+947.115,+1973.88,+1236.99
2000-01-01 00:51:00 PST,+1169.99,+3370.04,+852.046,+604.148,+2068.21,+1450.95
2000-01-01 00:52:00 PST,+975.68,+3537.99,+408.277,+370.354,+2194.31,+1016.32
2000-01-01 00:53:00 PST,+747.822,+2825.56,+336.756,+281.295,+1709.54,+808.316
2000-01-01 00:54:00 PST,+683.582,+2151.5,+254.223,+259.478,+1346.71,+623.468
2000-01-01 00:55:00 PST,+388.015,+2147.82,+278.056,+181.133,+1226.08,+607.106
2000-01-01 00:56:00 PST,+382.457,+1595.82,+297.676,+209.573,+923.77,+559.272
2000-01-01 00:57:00 PST,+415.874,+1325.48,+344.14,+238.521,+773.916,+563.653
2000-01-01 00:58:00 PST,+681.288,+1338.35,+280.014,+330.988,+904.853,+540.708
2000-01-01 00:59:00 PST,+576.365,+1962.15,+287.003,+246.458,+1190.55,+621.7
2000-01-01 01:00:00 PST,+614.301,+1350.29,+399.756,+325.147,+848.602,+635.474
2000-01-01 01:01:00 PST,+829.846,+1574.05,+599.623,+464.329,+1013.88,+860.434
2000-01-01 01:02:00 PST,+990.559,+2674.86,+638.941,+521.541,+1685.74,+1116.29
2000-01-01 01:03:00 PST,+737.135,+3146.88,+739.514,+411.569,+1797.57,+1269.02
2000-01-01 01:04:00 PST,+1004.66,+3298.37,+587.107,+484.567,+2057.58,+1177.67
2000-01-01 01:05:00 PST,+1195.82,+4731.5,+469.634,+446.961,+2970.85,+1273.79
2000-01-01 01:06:00 PST,+945.838,+4632.17,+528.016,+365.809,+2768.2,+1300.04
2000-01-01 01:07:00 PST,+1143.07,+4677.66,+377.409,+382.34,+2949.73,+1149.24
2000-01-01 01:08:00 PST,+1124.3,+4128.95,+370.105,+385.531,+2613.2,+1067.35
2000-01-01 01:09:00 PST,+1648.43,+3303.91,+322.981,+631.09,+2349.31,+961.959
2000-01-01 01:10:00 PST,+2039.71,+2236.57,+259.558,+853.291,+1810.79,+769.107
2000-01-01 01:11:00 PST,+1579.85,+1798.42,+302.068,+673.885,+1382.55,+697.713
2000-01-01 01:12:00 PST,+1331.3,+1864.04,+379.71,+603.17,+1350.59,+761.934
2000-01-01 01:13:00 PST,+1086.33,+1599.16,+464.039,+531.244,+1104.79,+769.207
2000-01-01 01:14:00 PST,+1191.79,+1226.73,+449.856,+613.92,+933.4,+686.964
2000-01-01 01:15:00 PST,+923.307,+917.802,+720.321,+576.502,+671.147,+792.184
2000-01-01 01:16:00 PST,+639.653,+1817.86,+711.572,+399.365,+1028.8,+984.177
2000-01-01 01:17:00 PST,+513.29,+2258.58,+537.395,+295.52,+1232.06,+895.991
2000-01-01 01:18:00 PST,+420.895,+2827.92,+530.583,+256.331,+1512.4,+972.28
2000-01-01 01:19:00 PST,+383.485,+3864.66,+403.615,+177.446,+2109.12,+961.906
2000-01-01 01:20:00 PST,+505.921,+4797.28,+284.671,+125.286,+2788.56,+921.503
2000-01-01 01:21:00 PST,+783.511,+4566.2,+261.741,+202.626,+2798.85,+917.791
2000-01-01 01:22:00 PST,+1198.17,+4465.62,+356.615,+410.143,+2869.22,+1105.96
2000-01-01 01:23:00 PST,+1472.39,+5263.43,+296.52,+440.55,+3469.82,+1151.88
2000-01-01 01:24:00 PST,+2091.81,+4613.73,+442.129,+783.863,+3203.29,+1299.08
2000-01-01 01:25:00 PST,+2585.35,+3327.41,+482.069,+1127.31,+2572.81,+1179.69
2000-01-01 01:26:00 PST,+2760.41,+3072.06,+480.51,+1218.53,+2452.71,+1148.69
2000-01-01 01:27:00 PST,+2061.68,+2315.83,+555.599,+929.119,+1751.5,+1034.08
2000-01-01 01:28:00 PST,+2062.4,+1972.95,+853.966,+1084.18,+1516.87,+1201.59
2000-01-01 01:29:00 PST,+1476.55,+1927.85,+791.741,+809.262,+1365.51,+1122.8
2000-01-01 01:30:00 PST,+1003.21,+2085.59,+485.113,+468.626,+1340.29,+864.791
2000-01-01 01:31:00 PST,+543.19,+2180.53,+568.449,+274.324,+1114.75,+901.541
2000-01-01 01:32:00 PST,+743.302,+3114.74,+573.032,+357.85,+1792.1,+1097.3
2000-01-01 01:33:00 PST,+561.67,+4620.04,+527.14,+241.565,+2569.08,+1240.52
2000-01-01 01:34:00 PST,+662.176,+4493.92,+419.936,+231.083,+2579.07,+1102.14
2000-01-01 01:35:00 PST,+848.922,+4710.86,+373.803,+275.027,+2850.44,+1109.8
2000-01-01 01:36:00 PST,+1669.71,+4233.23,+306.276,+612.267,+2953.21,+1071.97
2000-01-01 01:37:00 PST,+1792.07,+4375.8,+181.225,+546.85,+3117.47,+930.605
2000-01-01 01:38:00 PST,+1808.57,+4308.46,+290.974,+620.218,+3005.26,+1061.25
2000-01-01 01:39:00 PST,+2052.47,+4077.2,+478.678,+817.916,+2864.94,+1260.84
2000-01-01 01:40:00 PST,+2036.36,+4586.54,+324.488,+700.793,+3213.5,+1154.6
2000-01-01 01:41:00 PST,+2076.64,+3718.38,+503.019,+835.215,+2618.19,+1230.16
