# file...... Voltage_611.csv
# date...... Wed Dec 01 12:18:21 2010
# user...... D3P313
# host...... (null)
# target.... node 50
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2379.99,-64.7747,-1253.24,-2070.71,-1175.77,+2096.74
2000-01-01 00:01:00 PST,+2364.89,-64.5283,-1245.53,-2057.58,-1168.3,+2083.56
2000-01-01 00:02:00 PST,+2348.46,-64.7076,-1239.07,-2043.35,-1161.53,+2070.54
2000-01-01 00:03:00 PST,+2339.67,-79.7192,-1236.16,-2026.62,-1136.79,+2051.88
2000-01-01 00:04:00 PST,+2340.3,-80.223,-1227.32,-2014.75,-1136.35,+2051.41
2000-01-01 00:05:00 PST,+2320.43,-99.6438,-1231.73,-2003.7,-1143.06,+2045.07
2000-01-01 00:06:00 PST,+2304.78,-85.5578,-1220.5,-1985.73,-1142.81,+2027.52
2000-01-01 00:07:00 PST,+2309.58,-74.9017,-1218.74,-1978.1,-1141,+2031.98
2000-01-01 00:08:00 PST,+2310.93,-73.6047,-1217.05,-1979.83,-1141.59,+2031.67
2000-01-01 00:09:00 PST,+2315.37,-67.9788,-1213.64,-1980.48,-1143.21,+2032.9
2000-01-01 00:10:00 PST,+2319.63,-53.5646,-1212.85,-1972.97,-1150.22,+2038.72
2000-01-01 00:11:00 PST,+2320.53,-48.8054,-1212.43,-1974.4,-1159.79,+2039.71
2000-01-01 00:12:00 PST,+2326.29,-30.4022,-1197.56,-1966.66,-1154.09,+2033.6
2000-01-01 00:13:00 PST,+2318.42,-33.5012,-1206.23,-1948.5,-1141.34,+2036.29
2000-01-01 00:14:00 PST,+2317.41,-45.1583,-1218.36,-1953.19,-1146.09,+2044.72
2000-01-01 00:15:00 PST,+2319.91,-48.0751,-1214.39,-1958.55,-1140.36,+2042.22
2000-01-01 00:16:00 PST,+2319.31,-53.6305,-1211.64,-1965.32,-1137.63,+2038.48
2000-01-01 00:17:00 PST,+2316.44,-58.1373,-1211.09,-1973.92,-1146.83,+2035.56
2000-01-01 00:18:00 PST,+2332.92,-50.2179,-1195.68,-1990.24,-1147.43,+2034.12
2000-01-01 00:19:00 PST,+2329.97,-44.8484,-1184.3,-1990,-1145.28,+2022.89
2000-01-01 00:20:00 PST,+2326.52,-48.2419,-1186.38,-1989.24,-1144.61,+2021.76
2000-01-01 00:21:00 PST,+2322.49,-45.0086,-1192.27,-1980.06,-1147.95,+2025.04
2000-01-01 00:22:00 PST,+2323.92,-41.1772,-1192.66,-1977.57,-1150.26,+2026.88
2000-01-01 00:23:00 PST,+2324.46,-39.8725,-1192.51,-1977.25,-1150.03,+2027.32
2000-01-01 00:24:00 PST,+2317.62,-43.45,-1198.61,-1973.22,-1153.54,+2027.34
2000-01-01 00:25:00 PST,+2311.11,-56.5643,-1217.79,-1966.53,-1153.13,+2038.15
