# file...... Overhead_Line_Losses.csv
# date...... Wed Dec 01 12:18:16 2010
# user...... D3P313
# host...... (null)
# group..... class=overhead_line AND groupid=Distribution_Line
# trigger... (none)
# interval.. 60
# limit..... 100000
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real),sum(power_losses_A.imag),sum(power_losses_B.imag),sum(power_losses_C.imag)
2000-01-01 00:00:00 PST,+4347.65,+491.205,+706.933,+6471.64,+6701.77,+3141.72
2000-01-01 00:01:00 PST,+4338.08,+486.884,+711.07,+6486.4,+6643.55,+3101.89
2000-01-01 00:02:00 PST,+4454.94,+488.558,+657.228,+6569.27,+6794.33,+3100.9
2000-01-01 00:03:00 PST,+5884.32,+512.006,+1651.39,+10063.4,+8219.77,+4285.61
2000-01-01 00:04:00 PST,+5845.13,+547.097,+1710.51,+10165,+7975.27,+4251.59
2000-01-01 00:05:00 PST,+7795.1,+2090.63,+2341.57,+15611.5,+7103.61,+2441.62
2000-01-01 00:06:00 PST,+7251.71,+1735.25,+1852.77,+13522.7,+7433.88,+2189.8
2000-01-01 00:07:00 PST,+6502.3,+1224.49,+1598.96,+11526.5,+7770.19,+2377.14
2000-01-01 00:08:00 PST,+6151.26,+1198.29,+1555.29,+11010.8,+7255.13,+2265.58
2000-01-01 00:09:00 PST,+5009.7,+793.487,+1261.91,+8683.37,+6593.51,+2137.5
2000-01-01 00:10:00 PST,+3984.43,+436.029,+620.425,+5846.44,+6513.88,+1545.48
2000-01-01 00:11:00 PST,+3576.03,+437.682,+217.06,+4436.88,+6348.33,+792.183
2000-01-01 00:12:00 PST,+1898.85,+407.718,+168.593,+2217.32,+4390.77,+883.443
2000-01-01 00:13:00 PST,+3326.49,+1315.53,+308.494,+3496.05,+9306.93,+2143.89
2000-01-01 00:14:00 PST,+4567.25,+957.056,+365.115,+5264.27,+10581.9,+2144.55
2000-01-01 00:15:00 PST,+4398.59,+728.392,+651.614,+5916.91,+9109.9,+2472.57
2000-01-01 00:16:00 PST,+4399.01,+582.939,+1000.69,+6733.33,+8031.83,+2707.63
2000-01-01 00:17:00 PST,+4516.63,+573.195,+974.601,+7446.74,+6273.74,+1792.91
2000-01-01 00:18:00 PST,+2448.59,+470.671,+918.138,+4876.83,+2800.12,+1374.59
2000-01-01 00:19:00 PST,+1884.51,+369.419,+835.911,+3946.09,+2162.22,+1276.39
2000-01-01 00:20:00 PST,+2234.35,+433.787,+952.964,+4619.7,+2545.32,+1443.25
2000-01-01 00:21:00 PST,+2557.97,+397.874,+728.761,+4597.17,+3223.61,+1196.41
2000-01-01 00:22:00 PST,+2408.61,+296.482,+562.958,+4031.63,+3335.17,+1029.39
2000-01-01 00:23:00 PST,+2330.32,+232.532,+527.053,+3792.15,+3436.82,+1054.06
2000-01-01 00:24:00 PST,+3233.49,+239.975,+361.872,+4452.91,+5347.02,+1000.56
2000-01-01 00:25:00 PST,+5232.39,+623.983,+315.954,+6339.69,+9703.43,+1259.49
2000-01-01 00:26:00 PST,+4995.99,+622.131,+854.818,+7244.37,+8971,+2401.42
2000-01-01 00:27:00 PST,+5410.22,+614.14,+1019.62,+8129,+9249.78,+2621.49
2000-01-01 00:28:00 PST,+4953.56,+582.711,+1348.63,+8315.97,+7831.45,+2927.08
2000-01-01 00:29:00 PST,+3778.09,+510.172,+1672.85,+7411.27,+5711.9,+3285.51
2000-01-01 00:30:00 PST,+4047.77,+657.855,+2216.15,+8930.04,+5191.07,+3787.55
2000-01-01 00:31:00 PST,+3966.3,+375.732,+2104.04,+7999,+6486.13,+4557.26
2000-01-01 00:32:00 PST,+4228.29,+405.92,+1583.66,+7440.38,+7328.54,+3773.99
2000-01-01 00:33:00 PST,+3776.7,+317.683,+1210.81,+6296.37,+6704.49,+3033.05
