# file...... IEEE_13_house_EVs_work_transformer_power.csv
# date...... Fri Mar 30 15:35:22 2012
# user...... D3X593
# host...... (null)
# target.... transformer 24
# trigger... (none)
# interval.. 60
# limit..... 38880
# timestamp,power_in.real,power_in.imag
2009-07-01 00:00:00 MDT,+96078.1,-454322
2009-07-01 00:01:00 MDT,+95816.1,-454326
2009-07-01 00:02:00 MDT,+95774.7,-454327
2009-07-01 00:03:00 MDT,+95669.2,-454328
2009-07-01 00:04:00 MDT,+95622,-454329
2009-07-01 00:05:00 MDT,+193761,+37358.9
2009-07-01 00:06:00 MDT,+210773,+44176
2009-07-01 00:07:00 MDT,+190762,+39920.3
2009-07-01 00:08:00 MDT,+92226.6,+15024.3
2009-07-01 00:09:00 MDT,+92583.6,+16301.3
2009-07-01 00:10:00 MDT,+110041,+20884.6
2009-07-01 00:11:00 MDT,+110042,+20885.1
2009-07-01 00:12:00 MDT,+83647.5,+14027.6
2009-07-01 00:13:00 MDT,+61088.5,+10567.3
2009-07-01 00:14:00 MDT,+77926.6,+14958.3
2009-07-01 00:15:00 MDT,+88113.3,+17708.2
2009-07-01 00:16:00 MDT,+91349,+18564.4
2009-07-01 00:17:00 MDT,+161554,+37113.3
2009-07-01 00:18:00 MDT,+170743,+39524.6
2009-07-01 00:19:00 MDT,+153847,+35041.7
2009-07-01 00:20:00 MDT,+76697.9,+14887.6
2009-07-01 00:21:00 MDT,+50982.1,+8271.88
2009-07-01 00:22:00 MDT,+50982,+8271.86
2009-07-01 00:23:00 MDT,+55533.3,+9443.43
2009-07-01 00:24:00 MDT,+69850.6,+13139.8
2009-07-01 00:25:00 MDT,+87578.1,+17802.7
2009-07-01 00:26:00 MDT,+98856,+20745.3
2009-07-01 00:27:00 MDT,+110345,+23651
2009-07-01 00:28:00 MDT,+99307.5,+20852.3
2009-07-01 00:29:00 MDT,+160495,+37053
2009-07-01 00:30:00 MDT,+158239,+36450
2009-07-01 00:31:00 MDT,+145068,+32932.3
2009-07-01 00:32:00 MDT,+94216.6,+19572.7
2009-07-01 00:33:00 MDT,+69006.8,+13078.1
2009-07-01 00:34:00 MDT,+59288.8,+10579.8
2009-07-01 00:35:00 MDT,+70845.8,+13550.9
2009-07-01 00:36:00 MDT,+80081.8,+15974.5
2009-07-01 00:37:00 MDT,+67957,+12875.1
2009-07-01 00:38:00 MDT,+88912,+18329.8
2009-07-01 00:39:00 MDT,+114897,+25227.5
2009-07-01 00:40:00 MDT,+136325,+30908.1
2009-07-01 00:41:00 MDT,+173797,+40784.3
2009-07-01 00:42:00 MDT,+170205,+39820
2009-07-01 00:43:00 MDT,+144161,+32869.6
2009-07-01 00:44:00 MDT,+84741.4,+17291.6
2009-07-01 00:45:00 MDT,+60627.4,+11055
2009-07-01 00:46:00 MDT,+60554,+11054.5
2009-07-01 00:47:00 MDT,+59858.8,+10898.9
2009-07-01 00:48:00 MDT,+64133.5,+12001.4
2009-07-01 00:49:00 MDT,+91327.3,+19074.5
2009-07-01 00:50:00 MDT,+103309,+22235.1
2009-07-01 00:51:00 MDT,+103866,+22352.6
2009-07-01 00:52:00 MDT,+86805.6,+17954.4
2009-07-01 00:53:00 MDT,+144653,+33086.3
2009-07-01 00:54:00 MDT,+162383,+37841.3
2009-07-01 00:55:00 MDT,+167691,+39239.7
2009-07-01 00:56:00 MDT,+113501,+24924.2
2009-07-01 00:57:00 MDT,+99516,+21247.1
2009-07-01 00:58:00 MDT,+81027.3,+16454.5
2009-07-01 00:59:00 MDT,+88139,+18291.5
2009-07-01 01:00:00 MDT,+93017,+19572.6
2009-07-01 01:01:00 MDT,+102673,+22202.2
2009-07-01 01:02:00 MDT,+94986.7,+20175.1
2009-07-01 01:03:00 MDT,+75466.6,+15114.3
2009-07-01 01:04:00 MDT,+63834.6,+12089.5
2009-07-01 01:05:00 MDT,+121158,+27002.9
2009-07-01 01:06:00 MDT,+127317,+28658.6
2009-07-01 01:07:00 MDT,+152264,+35318.2
2009-07-01 01:08:00 MDT,+105677,+23024.7
2009-07-01 01:09:00 MDT,+103763,+22514.5
2009-07-01 01:10:00 MDT,+103452,+22443.4
2009-07-01 01:11:00 MDT,+123489,+27689.5
2009-07-01 01:12:00 MDT,+120553,+26921.2
2009-07-01 01:13:00 MDT,+115799,+25736.5
2009-07-01 01:14:00 MDT,+84685.7,+17632.9
2009-07-01 01:15:00 MDT,+71111.1,+14160.5
2009-07-01 01:16:00 MDT,+60883,+11501.9
2009-07-01 01:17:00 MDT,+115706,+25721.4
2009-07-01 01:18:00 MDT,+145607,+33638
2009-07-01 01:19:00 MDT,+143178,+31949.6
2009-07-01 01:20:00 MDT,+118225,+25489.7
2009-07-01 01:21:00 MDT,+94489.7,+19186.4
2009-07-01 01:22:00 MDT,+122954,+26620
2009-07-01 01:23:00 MDT,+107349,+22518.2
2009-07-01 01:24:00 MDT,+140848,+31339.8
2009-07-01 01:25:00 MDT,+123886,+26937.8
2009-07-01 01:26:00 MDT,+126525,+28772
2009-07-01 01:27:00 MDT,+87017.3,+18328.7
2009-07-01 01:28:00 MDT,+68134.6,+13468
2009-07-01 01:29:00 MDT,+97718.1,+21161.8
2009-07-01 01:30:00 MDT,+124240,+28098.7
2009-07-01 01:31:00 MDT,+139600,+32168.8
2009-07-01 01:32:00 MDT,+108640,+24059.6
2009-07-01 01:33:00 MDT,+100086,+21832.5
2009-07-01 01:34:00 MDT,+90770.4,+19389.6
2009-07-01 01:35:00 MDT,+99272.4,+21596.4
2009-07-01 01:36:00 MDT,+82780.4,+17333.6
2009-07-01 01:37:00 MDT,+83617.7,+17544.4
2009-07-01 01:38:00 MDT,+112099,+24997.3
2009-07-01 01:39:00 MDT,+111183,+24796.6
2009-07-01 01:40:00 MDT,+112101,+25095.8
2009-07-01 01:41:00 MDT,+120945,+27319.3
2009-07-01 01:42:00 MDT,+136179,+31349.5
2009-07-01 01:43:00 MDT,+125936,+28636.9
2009-07-01 01:44:00 MDT,+106859,+23657.1
2009-07-01 01:45:00 MDT,+122092,+27652.1
2009-07-01 01:46:00 MDT,+127294,+29004.3
2009-07-01 01:47:00 MDT,+101210,+22170.5
2009-07-01 01:48:00 MDT,+97375.5,+21181.6
2009-07-01 01:49:00 MDT,+90662.3,+19448.5
2009-07-01 01:50:00 MDT,+87211.7,+18546.3
2009-07-01 01:51:00 MDT,+86992.1,+18480.9
2009-07-01 01:52:00 MDT,+108766,+24157.3
2009-07-01 01:53:00 MDT,+102713,+22602.4
2009-07-01 01:54:00 MDT,+107533,+23844.3
2009-07-01 01:55:00 MDT,+130911,+28842.5
2009-07-01 01:56:00 MDT,+134546,+29782.1
2009-07-01 01:57:00 MDT,+149020,+33639.8
2009-07-01 01:58:00 MDT,+130221,+28662.6
2009-07-01 01:59:00 MDT,+117639,+25331.2
2009-07-01 02:00:00 MDT,+105134,+22095.9
