# file...... branch_1_voltages.csv
# date...... Tue Aug  2 12:44:14 2016
# user...... hard312
# host...... (null)
# group..... class=meter AND groupid=branch_1_meter
# trigger... (none)
# interval.. 60
# limit..... 0
# property.. timestamp,avg(measured_voltage_A.mag), min(measured_voltage_A.mag), max(measured_voltage_A.mag)
2009-01-01 00:01:00 PST,+7442.2,+7430.92,+7450.54
2009-01-01 00:02:00 PST,+7702.86,+7692.05,+7710.83
2009-01-01 00:03:00 PST,+7562,+7550.94,+7570.17
2009-01-01 00:04:00 PST,+7622.71,+7611.76,+7630.79
2009-01-01 00:05:00 PST,+7493.08,+7481.9,+7501.35
2009-01-01 00:06:00 PST,+7722.36,+7711.59,+7730.31
2009-01-01 00:07:00 PST,+7245.98,+7234.32,+7254.63
2009-01-01 00:08:00 PST,+7327.95,+7316.45,+7336.46
2009-01-01 00:09:00 PST,+7540.52,+7529.43,+7548.72
2009-01-01 00:10:00 PST,+7619.26,+7608.31,+7627.36
2009-01-01 00:11:00 PST,+7417.22,+7405.9,+7425.6
2009-01-01 00:12:00 PST,+7498.38,+7487.22,+7506.65
2009-01-01 00:13:00 PST,+7533.58,+7522.48,+7541.79
2009-01-01 00:14:00 PST,+7187.19,+7175.41,+7195.94
2009-01-01 00:15:00 PST,+7494.34,+7483.16,+7502.61
2009-01-01 00:16:00 PST,+7239.64,+7227.97,+7248.3
2009-01-01 00:17:00 PST,+7731.7,+7720.95,+7739.64
2009-01-01 00:18:00 PST,+7416.45,+7405.13,+7424.84
2009-01-01 00:19:00 PST,+7519.59,+7508.46,+7527.82
2009-01-01 00:20:00 PST,+7680.35,+7669.51,+7688.36
2009-01-01 00:21:00 PST,+7772.89,+7762.21,+7780.77
2009-01-01 00:22:00 PST,+7338.01,+7326.53,+7346.51
2009-01-01 00:23:00 PST,+7888.35,+7877.87,+7896.09
2009-01-01 00:24:00 PST,+7807.68,+7797.06,+7815.52
2009-01-01 00:25:00 PST,+7633.96,+7623.04,+7642.03
2009-01-01 00:26:00 PST,+7466.03,+7454.8,+7474.34
2009-01-01 00:27:00 PST,+7401.8,+7390.45,+7410.21
2009-01-01 00:28:00 PST,+7634.12,+7623.2,+7642.2
2009-01-01 00:29:00 PST,+7580.74,+7569.72,+7588.89
2009-01-01 00:30:00 PST,+7875.57,+7865.06,+7883.33
