# file...... branch_2_meters.csv
# date...... Tue Aug  2 12:44:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_2_meter_1:measured_voltage_A, branch_2_meter_1:measured_current_A, branch_2_meter_1:measured_power_A, branch_2_meter_2:measured_voltage_A, branch_2_meter_2:measured_current_A, branch_2_meter_2:measured_power_A, branch_2_meter_3:measured_voltage_A, branch_2_meter_3:measured_current_A, branch_2_meter_3:measured_power_A
2009-01-01 00:00:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 00:01:00 PST,+7453.93-0.0462848d,+43.8807-17.1319j,+351128+21.2804d,+7379.33-0.17552d,+43.8807-17.1319j,+347614+21.1512d,+7307.82-0.556727d,+11.1007-12.424j,+121754+47.663d
2009-01-01 00:02:00 PST,+7713.89-0.0432579d,+42.3748-16.5219j,+350842+21.2576d,+7641.87-0.163965d,+42.3748-16.5219j,+347566+21.1369d,+7572.88-0.51919d,+10.72-11.9821j,+121754+47.663d
2009-01-01 00:03:00 PST,+7573.4-0.0448558d,+43.1754-16.8459j,+350993+21.2696d,+7500.01-0.170063d,+43.1754-16.8459j,+347591+21.1444d,+7429.68-0.538984d,+10.9224-12.2169j,+121754+47.663d
2009-01-01 00:04:00 PST,+7633.95-0.0441565d,+42.8266-16.7047j,+350927+21.2643d,+7561.15-0.167394d,+42.8266-16.7047j,+347580+21.1411d,+7491.41-0.530316d,+10.8342-12.1146j,+121754+47.663d
2009-01-01 00:05:00 PST,+7504.67-0.0456697d,+43.5783-17.0093j,+351070+21.2758d,+7430.59-0.173171d,+43.5783-17.0093j,+347604+21.1483d,+7359.59-0.549084d,+11.0242-12.3352j,+121754+47.663d
2009-01-01 00:06:00 PST,+7733.35-0.0430434d,+42.2662-16.4781j,+350822+21.2559d,+7661.51-0.163146d,+42.2662-16.4781j,+347563+21.1358d,+7592.7-0.516536d,+10.6925-11.9504j,+121754+47.663d
2009-01-01 00:07:00 PST,+7258.29-0.0487759d,+45.0873-17.6224j,+351365+21.2993d,+7181.62-0.185039d,+45.0873-17.6224j,+347654+21.163d,+7108.1-0.587746d,+11.4057-12.7793j,+121754+47.663d
2009-01-01 00:08:00 PST,+7340.01-0.0477117d,+44.5753-17.4141j,+351264+21.2912d,+7264.22-0.180971d,+44.5753-17.4141j,+347637+21.158d,+7191.55-0.57448d,+11.2762-12.6284j,+121754+47.663d
2009-01-01 00:09:00 PST,+7551.98-0.0451071d,+43.3002-16.8965j,+351017+21.2715d,+7478.37-0.171023d,+43.3002-16.8965j,+347595+21.1456d,+7407.84-0.542101d,+10.9539-12.2535j,+121754+47.663d
