# file...... branch_1_meter_1.csv
# date...... Tue May 24 13:16:15 2016
# user...... hard312
# host...... (null)
# target.... meter 17
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A
2009-01-01 00:00:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:01:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:02:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:03:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:04:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:05:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:06:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:07:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:08:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:09:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:10:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:11:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:12:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:13:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:14:00 PST,+7213.37-0.149345d,+9.01234-0.0333771j,+65009.8+0.0628486d
2009-01-01 00:15:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:16:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:17:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:18:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:19:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:20:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:21:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:22:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:23:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:24:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:25:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:26:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:27:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:28:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:29:00 PST,+7212.36-0.206815d,+12.4798-0.0549376j,+90009.8+0.0454053d
2009-01-01 00:30:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:31:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:32:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:33:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:34:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:35:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:36:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:37:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:38:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:39:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:40:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:41:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:42:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:43:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:44:00 PST,+7211.5-0.252806d,+15.2569-0.0948129j,+110027+0.10325d
2009-01-01 00:45:00 PST,+7212.73-0.183826d,+11.0951-0.0630778j,+80027.4+0.141907d
2009-01-01 00:46:00 PST,+7212.73-0.183826d,+11.0951-0.0630778j,+80027.4+0.141907d
2009-01-01 00:47:00 PST,+7212.73-0.183826d,+11.0951-0.0630778j,+80027.4+0.141907d
2009-01-01 00:48:00 PST,+7212.73-0.183826d,+11.0951-0.0630778j,+80027.4+0.141907d
2009-01-01 00:49:00 PST,+7212.73-0.183826d,+11.0951-0.0630778j,+80027.4+0.141907d
2009-01-01 00:50:00 PST,+7212.73-0.183826d,+11.0951-0.0630778j,+80027.4+0.141907d
