# file...... branch_2_meters.csv
# date...... Tue May 24 13:16:15 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_2_meter_1:measured_voltage_A, branch_2_meter_1:measured_current_A, branch_2_meter_1:measured_power_A, branch_2_meter_2:measured_voltage_A, branch_2_meter_2:measured_current_A, branch_2_meter_2:measured_power_A, branch_2_meter_3:measured_voltage_A, branch_2_meter_3:measured_current_A, branch_2_meter_3:measured_power_A
2009-01-01 00:00:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+5.42815e-17d
2009-01-01 00:01:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+5.42815e-17d
2009-01-01 00:02:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+5.42815e-17d
2009-01-01 00:03:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:04:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:05:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:06:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:07:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:08:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000-5.42815e-17d
2009-01-01 00:09:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:10:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:11:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000-5.42815e-17d
2009-01-01 00:12:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:13:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+0d
2009-01-01 00:14:00 PST,+7212.48-0.0204037d,+9.02908-0.0258412j,+65122.3+0.143576d,+7200.29-0.0851229d,+9.02908-0.0258412j,+65012.3+0.0788567d,+7197.32-0.255941d,+4.16818-0.0186194j,+30000+5.42815e-17d
2009-01-01 00:15:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000-5.42815e-17d
2009-01-01 00:16:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:17:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+5.42815e-17d
2009-01-01 00:18:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:19:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000-5.42815e-17d
2009-01-01 00:20:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:21:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+5.42815e-17d
2009-01-01 00:22:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000-5.42815e-17d
2009-01-01 00:23:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:24:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:25:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:26:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:27:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:28:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000+0d
2009-01-01 00:29:00 PST,+7211.12-0.0282704d,+12.5117-0.0382304j,+90223.6+0.146801d,+7194.24-0.11802d,+12.5117-0.0382304j,+90012.3+0.0570511d,+7191.26-0.289126d,+4.17168-0.0210513j,+30000-5.42815e-17d
2009-01-01 00:30:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:31:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:32:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:33:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000-6.51378e-17d
2009-01-01 00:34:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:35:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000-6.51378e-17d
2009-01-01 00:36:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+6.51378e-17d
2009-01-01 00:37:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000-6.51378e-17d
2009-01-01 00:38:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:39:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000-6.51378e-17d
2009-01-01 00:40:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:41:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:42:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:43:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:44:00 PST,+7210.02-0.0345045d,+15.305-0.0731894j,+110351+0.239485d,+7189.35-0.144101d,+15.305-0.0731894j,+110034+0.129888d,+7184.35-0.429747d,+6.95938-0.0521997j,+50000+0d
2009-01-01 00:45:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000-1.30276e-16d
2009-01-01 00:46:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000-6.51378e-17d
2009-01-01 00:47:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+0d
2009-01-01 00:48:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000-6.51378e-17d
2009-01-01 00:49:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+0d
2009-01-01 00:50:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000-1.30276e-16d
2009-01-01 00:51:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+6.51378e-17d
2009-01-01 00:52:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+6.51378e-17d
2009-01-01 00:53:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+6.51378e-17d
2009-01-01 00:54:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+0d
2009-01-01 00:55:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+6.51378e-17d
2009-01-01 00:56:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+0d
2009-01-01 00:57:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+6.51378e-17d
2009-01-01 00:58:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+0d
2009-01-01 00:59:00 PST,+7211.66-0.0250619d,+11.121-0.0548898j,+80201.6+0.25773d,+7196.63-0.104578d,+11.121-0.0548898j,+80034.5+0.178214d,+7191.63-0.389646d,+6.95236-0.047281j,+50000+0d
2009-01-01 01:00:00 PST,+7216-1.70937e-15d,-4.04705e-13-6.47342e-13j,+5.50897e-09+122.013d,+7216+6.95915e-15d,-1.30743e-14+2.4539e-14j,+2.00639e-10-118.048d,+7216+7.2897e-15d,+0+0j,+0+0d
