# file...... branch_1_meter_2.csv
# date...... Tue May 24 14:46:34 2016
# user...... hard312
# host...... (null)
# target.... meter 19
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A
2009-01-01 00:00:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:01:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:02:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:03:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:04:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:05:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:06:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:07:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:08:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:09:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:10:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:11:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:12:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:13:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:14:00 PST,+7208.67-0.043454d,+1.10908-1.11167j,+11319.8+45.0235d
2009-01-01 00:15:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:16:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:17:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:18:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:19:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:20:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:21:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:22:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:23:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:24:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:25:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:26:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:27:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:28:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:29:00 PST,+7205.35-0.0634497d,+1.1092-1.11257j,+11319.8+45.0236d
2009-01-01 00:30:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:31:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:32:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:33:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:34:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:35:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:36:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:37:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:38:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:39:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:40:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:41:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:42:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:43:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:44:00 PST,+7201.31-0.0870029d,+2.21902-2.22943j,+22652+45.0472d
2009-01-01 00:45:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:46:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:47:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:48:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:49:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:50:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:51:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:52:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:53:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:54:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:55:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:56:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:57:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:58:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
2009-01-01 00:59:00 PST,+7206.3-0.0569816d,+2.21865-2.22672j,+22652+45.0471d
