# file...... b2m3_house_data.csv
# date...... Thu Jun 23 14:49:41 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b2m3_house:air_temperature, b2m3_house:outdoor_temperature, b2m3_house:is_COOL_on, b2m3_house:cooling_setpoint, b2m3_house_meter:measured_real_power, b2m3_house_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+73,+75.022,+0,+73.5,+1277.48,+0
2009-08-08 04:31:00 PDT,+73.0451,+74.956,+0,+73.5,+1277.48,+21.2914
2009-08-08 04:32:00 PDT,+73.0835,+74.89,+0,+73.5,+1277.48,+42.5828
2009-08-08 04:33:00 PDT,+73.1166,+74.824,+0,+73.5,+1277.48,+63.8742
2009-08-08 04:34:00 PDT,+73.1452,+74.758,+0,+73.5,+1277.48,+85.1656
2009-08-08 04:35:00 PDT,+73.1702,+74.692,+0,+73.5,+1277.48,+106.457
2009-08-08 04:36:00 PDT,+73.1922,+74.626,+0,+73.5,+1277.48,+127.748
2009-08-08 04:37:00 PDT,+73.2117,+74.56,+0,+73.5,+1277.48,+149.04
2009-08-08 04:38:00 PDT,+73.2291,+74.494,+0,+73.5,+1277.48,+170.331
2009-08-08 04:39:00 PDT,+73.2448,+74.428,+0,+73.5,+1277.48,+191.623
2009-08-08 04:40:00 PDT,+73.2591,+74.362,+0,+73.5,+1277.48,+212.914
2009-08-08 04:41:00 PDT,+73.2722,+74.296,+0,+73.5,+1277.48,+234.205
2009-08-08 04:42:00 PDT,+73.2843,+74.23,+0,+73.5,+1277.48,+255.497
2009-08-08 04:43:00 PDT,+73.2956,+74.164,+0,+73.5,+1277.48,+276.788
2009-08-08 04:44:00 PDT,+73.3062,+74.098,+0,+73.5,+1277.48,+298.079
2009-08-08 04:45:00 PDT,+73.3161,+74.032,+0,+73.5,+1277.48,+319.371
2009-08-08 04:46:00 PDT,+73.3255,+73.966,+0,+73.5,+1277.48,+340.662
2009-08-08 04:47:00 PDT,+73.3344,+73.9,+0,+73.5,+1277.48,+361.954
2009-08-08 04:48:00 PDT,+73.343,+73.834,+0,+73.5,+1277.48,+383.245
2009-08-08 04:49:00 PDT,+73.3511,+73.768,+0,+73.5,+1277.48,+404.536
2009-08-08 04:50:00 PDT,+73.359,+73.702,+0,+73.5,+1277.48,+425.828
2009-08-08 04:51:00 PDT,+73.3665,+73.636,+0,+73.5,+1277.48,+447.119
2009-08-08 04:52:00 PDT,+73.3738,+73.57,+0,+73.5,+1277.48,+468.411
2009-08-08 04:53:00 PDT,+73.3809,+73.504,+0,+73.5,+1277.48,+489.702
2009-08-08 04:54:00 PDT,+73.3877,+73.438,+0,+73.5,+1277.48,+510.993
2009-08-08 04:55:00 PDT,+73.3943,+73.372,+0,+73.5,+1277.48,+532.285
2009-08-08 04:56:00 PDT,+73.4007,+73.306,+0,+73.5,+1277.48,+553.576
2009-08-08 04:57:00 PDT,+73.4069,+73.24,+0,+73.5,+1277.48,+574.868
2009-08-08 04:58:00 PDT,+73.4129,+73.174,+0,+73.5,+1277.48,+596.159
2009-08-08 04:59:00 PDT,+73.4188,+73.108,+0,+73.5,+1277.48,+617.45
2009-08-08 05:00:00 PDT,+73.4244,+73.042,+0,+73.5,+1487.19,+638.742
2009-08-08 05:01:00 PDT,+73.4325,+73.108,+0,+73.5,+1487.19,+663.528
2009-08-08 05:02:00 PDT,+73.442,+73.174,+0,+73.5,+1487.19,+688.315
2009-08-08 05:03:00 PDT,+73.4528,+73.24,+0,+73.5,+1487.19,+713.101
2009-08-08 05:04:00 PDT,+73.4648,+73.306,+0,+73.5,+1487.19,+737.887
2009-08-08 05:05:00 PDT,+73.4777,+73.372,+0,+73.5,+1487.19,+762.674
2009-08-08 05:06:00 PDT,+73.4915,+73.438,+0,+73.5,+1487.19,+787.46
2009-08-08 05:07:00 PDT,+73.506,+73.504,+0,+73.5,+1487.19,+812.247
2009-08-08 05:08:00 PDT,+73.5212,+73.57,+0,+73.5,+1487.19,+837.033
2009-08-08 05:09:00 PDT,+73.5371,+73.636,+0,+73.5,+1487.19,+861.82
2009-08-08 05:10:00 PDT,+73.5534,+73.702,+0,+73.5,+1487.19,+886.606
2009-08-08 05:11:00 PDT,+73.5703,+73.768,+0,+73.5,+1487.19,+911.393
2009-08-08 05:12:00 PDT,+73.5877,+73.834,+0,+73.5,+1487.19,+936.179
2009-08-08 05:13:00 PDT,+73.6055,+73.9,+0,+73.5,+1487.19,+960.965
2009-08-08 05:14:00 PDT,+73.6238,+73.966,+0,+73.5,+1487.19,+985.752
2009-08-08 05:15:00 PDT,+73.6424,+74.032,+0,+73.5,+1487.19,+1010.54
2009-08-08 05:16:00 PDT,+73.6615,+74.098,+0,+73.5,+1487.19,+1035.32
2009-08-08 05:17:00 PDT,+73.6809,+74.164,+0,+73.5,+1487.19,+1060.11
2009-08-08 05:18:00 PDT,+73.7007,+74.23,+0,+73.5,+1487.19,+1084.9
2009-08-08 05:19:00 PDT,+73.7208,+74.296,+0,+73.5,+1487.19,+1109.68
2009-08-08 05:20:00 PDT,+73.7413,+74.362,+0,+73.5,+1487.19,+1134.47
2009-08-08 05:21:00 PDT,+73.7621,+74.428,+0,+73.5,+1487.19,+1159.26
2009-08-08 05:22:00 PDT,+73.7833,+74.494,+0,+73.5,+1487.19,+1184.04
2009-08-08 05:23:00 PDT,+73.8048,+74.56,+0,+73.5,+1487.19,+1208.83
2009-08-08 05:24:00 PDT,+73.8266,+74.626,+0,+73.5,+1487.19,+1233.62
2009-08-08 05:25:00 PDT,+73.8488,+74.692,+0,+73.5,+1487.19,+1258.4
