# file...... house_temperatures.csv
# date...... Thu Jun 23 14:49:41 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m2_house:air_temperature, b1m3_house:air_temperature, b2m1_house:air_temperature, b2m2_house:air_temperature, b2m3_house:air_temperature
2009-08-08 04:30:00 PDT,+72.5,+72,+72,+71.5,+73,+73
2009-08-08 04:31:00 PDT,+72.6186,+72.0591,+72.0394,+71.5516,+73.0405,+73.0451
2009-08-08 04:32:00 PDT,+72.7155,+72.1107,+72.0743,+71.5942,+73.0753,+73.0835
2009-08-08 04:33:00 PDT,+72.7955,+72.1557,+72.1054,+71.6298,+73.1054,+73.1166
2009-08-08 04:34:00 PDT,+72.8624,+72.1954,+72.1334,+71.6601,+73.1316,+73.1452
2009-08-08 04:35:00 PDT,+72.9191,+72.2304,+72.1587,+71.6862,+73.1543,+73.1702
2009-08-08 04:36:00 PDT,+72.9678,+72.2615,+72.1818,+71.7092,+73.1743,+73.1922
2009-08-08 04:37:00 PDT,+73.0102,+72.2894,+72.203,+71.7297,+73.1919,+73.2117
2009-08-08 04:38:00 PDT,+73.0478,+72.3144,+72.2226,+71.7482,+73.2075,+73.2291
2009-08-08 04:39:00 PDT,+73.0815,+72.337,+72.2408,+71.7653,+73.2214,+73.2448
2009-08-08 04:40:00 PDT,+73.112,+72.3576,+72.2578,+71.7812,+73.2339,+73.2591
2009-08-08 04:41:00 PDT,+73.1401,+72.3765,+72.2738,+71.7961,+73.2451,+73.2722
2009-08-08 04:42:00 PDT,+73.1662,+72.3939,+72.2889,+71.8104,+73.2553,+73.2843
2009-08-08 04:43:00 PDT,+73.1906,+72.4101,+72.3033,+71.824,+73.2647,+73.2956
2009-08-08 04:44:00 PDT,+73.2136,+72.4251,+72.3171,+71.8371,+73.2733,+73.3062
2009-08-08 04:45:00 PDT,+73.2354,+72.4392,+72.3302,+71.8498,+73.2812,+73.3161
2009-08-08 04:46:00 PDT,+73.2563,+72.4525,+72.3429,+71.8622,+73.2886,+73.3255
2009-08-08 04:47:00 PDT,+73.2763,+72.4651,+72.3551,+71.8743,+73.2955,+73.3344
2009-08-08 04:48:00 PDT,+73.2956,+72.477,+72.3669,+71.8862,+73.302,+73.343
2009-08-08 04:49:00 PDT,+73.3142,+72.4884,+72.3783,+71.8978,+73.3081,+73.3511
2009-08-08 04:50:00 PDT,+73.3322,+72.4994,+72.3895,+71.9092,+73.3139,+73.359
2009-08-08 04:51:00 PDT,+73.3495,+72.5099,+72.4003,+71.9205,+73.3194,+73.3665
2009-08-08 04:52:00 PDT,+73.3664,+72.52,+72.4108,+71.9316,+73.3247,+73.3738
2009-08-08 04:53:00 PDT,+73.3827,+72.5297,+72.4211,+71.9425,+73.3298,+73.3809
2009-08-08 04:54:00 PDT,+73.3986,+72.5392,+72.4311,+71.9533,+73.3346,+73.3877
2009-08-08 04:55:00 PDT,+73.414,+72.5483,+72.4409,+71.964,+73.3393,+73.3943
2009-08-08 04:56:00 PDT,+73.4289,+72.5572,+72.4505,+71.9745,+73.3438,+73.4007
2009-08-08 04:57:00 PDT,+73.4434,+72.5658,+72.4598,+71.9848,+73.3481,+73.4069
2009-08-08 04:58:00 PDT,+73.4575,+72.5742,+72.469,+71.9951,+73.3523,+73.4129
2009-08-08 04:59:00 PDT,+73.4711,+72.5824,+72.4779,+72.0052,+73.3564,+73.4188
2009-08-08 05:00:00 PDT,+73.4844,+72.5904,+72.4867,+72.0152,+73.3603,+73.4244
2009-08-08 05:01:00 PDT,+73.5031,+72.6007,+72.497,+72.0275,+73.3667,+73.4325
2009-08-08 05:02:00 PDT,+73.5248,+72.6136,+72.5085,+72.0413,+73.3742,+73.442
2009-08-08 05:03:00 PDT,+73.5487,+72.6289,+72.5211,+72.0562,+73.3828,+73.4528
2009-08-08 05:04:00 PDT,+73.5745,+72.6462,+72.5346,+72.0721,+73.3924,+73.4648
2009-08-08 05:05:00 PDT,+73.6019,+72.6654,+72.549,+72.0888,+73.4027,+73.4777
2009-08-08 05:06:00 PDT,+73.6305,+72.6863,+72.5641,+72.1063,+73.4137,+73.4915
2009-08-08 05:07:00 PDT,+73.6603,+72.7086,+72.58,+72.1245,+73.4253,+73.506
2009-08-08 05:08:00 PDT,+73.691,+72.7324,+72.5965,+72.1433,+73.4375,+73.5212
2009-08-08 05:09:00 PDT,+73.7226,+72.7574,+72.6137,+72.1627,+73.4502,+73.5371
2009-08-08 05:10:00 PDT,+73.7549,+72.7836,+72.6314,+72.1825,+73.4634,+73.5534
2009-08-08 05:11:00 PDT,+73.7879,+72.811,+72.6497,+72.2029,+73.4769,+73.5703
2009-08-08 05:12:00 PDT,+73.8215,+72.8394,+72.6685,+72.2238,+73.4909,+73.5877
2009-08-08 05:13:00 PDT,+73.8557,+72.8687,+72.6877,+72.2451,+73.5052,+73.6055
2009-08-08 05:14:00 PDT,+73.8904,+72.899,+72.7075,+72.2669,+73.5198,+73.6238
2009-08-08 05:15:00 PDT,+73.9257,+72.9302,+72.7277,+72.2892,+73.5347,+73.6424
2009-08-08 05:16:00 PDT,+73.9614,+72.9623,+72.7484,+72.3118,+73.55,+73.6615
2009-08-08 05:17:00 PDT,+73.9977,+72.9953,+72.7695,+72.3349,+73.5655,+73.6809
2009-08-08 05:18:00 PDT,+74.0344,+73.029,+72.791,+72.3584,+73.5813,+73.7007
2009-08-08 05:19:00 PDT,+74.0716,+73.0636,+72.8129,+72.3824,+73.5973,+73.7208
2009-08-08 05:20:00 PDT,+74.1092,+73.0989,+72.8353,+72.4067,+73.6136,+73.7413
2009-08-08 05:21:00 PDT,+74.1473,+73.135,+72.8581,+72.4315,+73.6302,+73.7621
