# file...... substation_data.csv
# date...... Thu Jun 23 14:49:41 2016
# user...... hard312
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A
2009-08-08 04:30:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:31:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:32:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:33:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:34:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:35:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:36:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:37:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:38:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:39:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:40:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:41:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:42:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:43:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:44:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:45:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:46:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:47:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:48:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:49:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:50:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:51:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:52:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:53:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:54:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:55:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:56:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:57:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:58:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
2009-08-08 04:59:00 PDT,+7216-0.000111828d,+1.06236-0.197543j,+7797.39+10.5336d
