# file...... b2m3_house_data.csv
# date...... Thu Jun  9 10:40:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b2m3_house:air_temperature, b2m3_house:outdoor_temperature, b2m3_house:is_COOL_on, b2m3_house:cooling_setpoint, b2m3_house_meter:measured_real_power, b2m3_house_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+69.2647,+63.052,+0,+75,+853.707,+0
2009-08-08 04:31:00 PDT,+69.233,+63.085,+0,+75,+853.707,+14.2284
2009-08-08 04:32:00 PDT,+69.2082,+63.118,+0,+75,+853.707,+28.4569
2009-08-08 04:33:00 PDT,+69.1891,+63.151,+0,+75,+853.707,+42.6853
2009-08-08 04:34:00 PDT,+69.1747,+63.184,+0,+75,+853.707,+56.9138
2009-08-08 04:35:00 PDT,+69.1641,+63.217,+0,+75,+853.967,+71.1422
2009-08-08 04:36:00 PDT,+69.1568,+63.25,+0,+75,+853.967,+85.375
2009-08-08 04:37:00 PDT,+69.1521,+63.283,+0,+75,+853.967,+99.6078
2009-08-08 04:38:00 PDT,+69.1497,+63.316,+0,+75,+853.967,+113.841
2009-08-08 04:39:00 PDT,+69.1491,+63.349,+0,+75,+853.967,+128.073
2009-08-08 04:40:00 PDT,+69.1501,+63.382,+0,+75,+853.967,+142.306
2009-08-08 04:41:00 PDT,+69.1524,+63.415,+0,+75,+853.967,+156.539
2009-08-08 04:42:00 PDT,+69.1558,+63.448,+0,+75,+853.967,+170.772
2009-08-08 04:43:00 PDT,+69.1602,+63.481,+0,+75,+853.967,+185.005
2009-08-08 04:44:00 PDT,+69.1655,+63.514,+0,+75,+853.967,+199.237
2009-08-08 04:45:00 PDT,+69.1715,+63.547,+0,+75,+853.967,+213.47
2009-08-08 04:46:00 PDT,+69.1781,+63.58,+0,+75,+853.967,+227.703
2009-08-08 04:47:00 PDT,+69.1853,+63.613,+0,+75,+853.967,+241.936
2009-08-08 04:48:00 PDT,+69.193,+63.646,+0,+75,+853.967,+256.168
2009-08-08 04:49:00 PDT,+69.2012,+63.679,+0,+75,+853.967,+270.401
2009-08-08 04:50:00 PDT,+69.2098,+63.712,+0,+75,+853.967,+284.634
2009-08-08 04:51:00 PDT,+69.2188,+63.745,+0,+75,+853.967,+298.867
2009-08-08 04:52:00 PDT,+69.2281,+63.778,+0,+75,+853.967,+313.1
2009-08-08 04:53:00 PDT,+69.2378,+63.811,+0,+75,+853.967,+327.332
2009-08-08 04:54:00 PDT,+69.2479,+63.844,+0,+75,+853.967,+341.565
2009-08-08 04:55:00 PDT,+69.2582,+63.877,+0,+75,+853.967,+355.798
2009-08-08 04:56:00 PDT,+69.2689,+63.91,+0,+75,+853.967,+370.031
2009-08-08 04:57:00 PDT,+69.2799,+63.943,+0,+75,+853.967,+384.264
2009-08-08 04:58:00 PDT,+69.2911,+63.976,+0,+75,+853.967,+398.496
2009-08-08 04:59:00 PDT,+69.3026,+64.009,+0,+75,+853.967,+412.729
2009-08-08 05:00:00 PDT,+69.3144,+64.042,+0,+75,+853.967,+426.962
2009-08-08 05:01:00 PDT,+69.3265,+64.126,+0,+75,+853.967,+441.195
2009-08-08 05:02:00 PDT,+69.3392,+64.21,+0,+75,+853.967,+455.428
2009-08-08 05:03:00 PDT,+69.3525,+64.294,+0,+75,+853.967,+469.66
2009-08-08 05:04:00 PDT,+69.3664,+64.378,+0,+75,+853.967,+483.893
2009-08-08 05:05:00 PDT,+69.3808,+64.462,+0,+75,+853.967,+498.126
2009-08-08 05:06:00 PDT,+69.3956,+64.546,+0,+75,+853.967,+512.359
2009-08-08 05:07:00 PDT,+69.4109,+64.63,+0,+75,+853.967,+526.591
2009-08-08 05:08:00 PDT,+69.4266,+64.714,+0,+75,+853.967,+540.824
2009-08-08 05:09:00 PDT,+69.4427,+64.798,+0,+75,+853.967,+555.057
