# file...... house_temperatures.csv
# date...... Thu Jun  9 10:40:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m2_house:air_temperature, b1m3_house:air_temperature, b2m1_house:air_temperature, b2m2_house:air_temperature, b2m3_house:air_temperature
2009-08-08 04:30:00 PDT,+73.4419,+70.1916,+73.964,+75.6268,+71.5968,+69.2647
2009-08-08 04:31:00 PDT,+73.2462,+70.1826,+73.9126,+75.5828,+71.5521,+69.233
2009-08-08 04:32:00 PDT,+73.0922,+70.1789,+73.8697,+75.5508,+71.515,+69.2082
2009-08-08 04:33:00 PDT,+72.9705,+70.1799,+73.8339,+75.5281,+71.4844,+69.1891
2009-08-08 04:34:00 PDT,+72.8737,+70.1847,+73.8041,+75.5126,+71.4593,+69.1747
2009-08-08 04:35:00 PDT,+72.7963,+70.1929,+73.7793,+75.5028,+71.4387,+69.1641
2009-08-08 04:36:00 PDT,+72.7339,+70.2041,+73.7587,+75.4972,+71.422,+69.1568
2009-08-08 04:37:00 PDT,+72.6832,+70.2179,+73.7418,+75.4952,+71.4086,+69.1521
2009-08-08 04:38:00 PDT,+72.6417,+70.234,+73.7279,+75.4958,+71.398,+69.1497
2009-08-08 04:39:00 PDT,+72.6073,+70.2521,+73.7167,+75.4986,+71.3896,+69.1491
2009-08-08 04:40:00 PDT,+72.5786,+70.2719,+73.7076,+75.5031,+71.3833,+69.1501
2009-08-08 04:41:00 PDT,+72.5543,+70.2934,+73.7005,+75.5091,+71.3787,+69.1524
2009-08-08 04:42:00 PDT,+72.5335,+70.3163,+73.6951,+75.5162,+71.3755,+69.1558
2009-08-08 04:43:00 PDT,+72.5156,+70.3405,+73.691,+75.5243,+71.3736,+69.1602
2009-08-08 04:44:00 PDT,+72.5,+70.3659,+73.6883,+75.5332,+71.3728,+69.1655
2009-08-08 04:45:00 PDT,+72.4862,+70.3923,+73.6866,+75.5428,+71.3728,+69.1715
2009-08-08 04:46:00 PDT,+72.474,+70.4198,+73.6859,+75.5531,+71.3737,+69.1781
2009-08-08 04:47:00 PDT,+72.4632,+70.4483,+73.6861,+75.5639,+71.3753,+69.1853
2009-08-08 04:48:00 PDT,+72.4534,+70.4776,+73.687,+75.5753,+71.3775,+69.193
2009-08-08 04:49:00 PDT,+72.4446,+70.5078,+73.6886,+75.5871,+71.3802,+69.2012
2009-08-08 04:50:00 PDT,+72.4367,+70.5387,+73.6909,+75.5994,+71.3835,+69.2098
2009-08-08 04:51:00 PDT,+72.4296,+70.5705,+73.6938,+75.6121,+71.3872,+69.2188
2009-08-08 04:52:00 PDT,+72.4232,+70.6029,+73.6972,+75.6252,+71.3912,+69.2281
2009-08-08 04:53:00 PDT,+72.4174,+70.6361,+73.7011,+75.6387,+71.3956,+69.2378
2009-08-08 04:54:00 PDT,+72.4122,+70.67,+73.7055,+75.6526,+71.4004,+69.2479
2009-08-08 04:55:00 PDT,+72.4075,+70.7046,+73.7103,+75.6669,+71.4054,+69.2582
2009-08-08 04:56:00 PDT,+72.4034,+70.7398,+73.7156,+75.6815,+71.4107,+69.2689
2009-08-08 04:57:00 PDT,+72.3998,+70.7756,+73.7213,+75.6965,+71.4163,+69.2799
2009-08-08 04:58:00 PDT,+72.3967,+70.8121,+73.7274,+75.7118,+71.4221,+69.2911
2009-08-08 04:59:00 PDT,+72.3941,+70.8493,+73.7338,+75.7275,+71.4282,+69.3026
2009-08-08 05:00:00 PDT,+72.392,+70.887,+73.7407,+75.7436,+71.4344,+69.3144
2009-08-08 05:01:00 PDT,+72.3903,+70.9253,+73.7479,+75.76,+71.4409,+69.3265
2009-08-08 05:02:00 PDT,+72.3902,+70.9645,+73.7557,+75.777,+71.4479,+69.3392
2009-08-08 05:03:00 PDT,+72.3915,+71.0043,+73.7641,+75.7944,+71.4554,+69.3525
2009-08-08 05:04:00 PDT,+72.3939,+71.0448,+73.7731,+75.8123,+71.4633,+69.3664
2009-08-08 05:05:00 PDT,+72.3974,+71.086,+73.7825,+75.8307,+71.4716,+69.3808
2009-08-08 05:06:00 PDT,+72.4019,+71.1278,+73.7925,+75.8494,+71.4802,+69.3956
2009-08-08 05:07:00 PDT,+72.4071,+71.1702,+73.8029,+75.8685,+71.4892,+69.4109
2009-08-08 05:08:00 PDT,+72.4132,+71.2132,+73.8138,+75.888,+71.4985,+69.4266
2009-08-08 05:09:00 PDT,+72.42,+71.2567,+73.8251,+75.9079,+71.5081,+69.4427
2009-08-08 05:10:00 PDT,+72.4276,+71.3008,+73.8368,+75.9282,+71.5179,+69.4591
2009-08-08 05:11:00 PDT,+72.4358,+71.3455,+73.8489,+75.9488,+71.528,+69.4759
2009-08-08 05:12:00 PDT,+72.4446,+71.3907,+73.8614,+75.9697,+71.5384,+69.493
2009-08-08 05:13:00 PDT,+72.4541,+71.4364,+73.8743,+75.991,+71.5489,+69.5105
2009-08-08 05:14:00 PDT,+72.4642,+71.4827,+73.8875,+76.0127,+71.5598,+69.5283
2009-08-08 05:15:00 PDT,+72.4748,+71.5295,+73.9012,+76.0346,+71.5708,+69.5464
2009-08-08 05:16:00 PDT,+72.4861,+71.5768,+73.9152,+76.0569,+71.5821,+69.5648
2009-08-08 05:17:00 PDT,+72.498,+71.6247,+73.9295,+76.0796,+71.5936,+69.5835
2009-08-08 05:18:00 PDT,+72.5104,+71.673,+73.9443,+76.1025,+71.6052,+69.6026
2009-08-08 05:19:00 PDT,+72.5234,+71.7219,+73.9594,+76.1258,+71.6171,+69.6219
2009-08-08 05:20:00 PDT,+72.537,+71.7712,+73.9748,+76.1494,+71.6292,+69.6415
2009-08-08 05:21:00 PDT,+72.5511,+71.8211,+73.9906,+76.1734,+71.6416,+69.6614
2009-08-08 05:22:00 PDT,+72.5658,+71.8714,+74.0067,+76.1977,+71.6541,+69.6816
2009-08-08 05:23:00 PDT,+72.581,+71.9223,+74.0232,+76.2223,+71.6668,+69.7021
2009-08-08 05:24:00 PDT,+72.5967,+71.9736,+74.0401,+76.2472,+71.6797,+69.7229
2009-08-08 05:25:00 PDT,+72.613,+72.0254,+74.0572,+76.2725,+71.6928,+69.744
2009-08-08 05:26:00 PDT,+72.6299,+72.0778,+74.0748,+76.2981,+71.7061,+69.7654
2009-08-08 05:27:00 PDT,+72.6473,+72.1306,+74.0926,+76.324,+71.7196,+69.787
2009-08-08 05:28:00 PDT,+72.6652,+72.1839,+74.1108,+76.3502,+71.7332,+69.809
2009-08-08 05:29:00 PDT,+72.6836,+72.2377,+74.1294,+76.3768,+71.7471,+69.8312
2009-08-08 05:30:00 PDT,+72.7026,+72.292,+74.1483,+76.4036,+71.7612,+69.8537
2009-08-08 05:31:00 PDT,+72.7221,+72.3467,+74.1675,+76.4308,+71.7754,+69.8764
2009-08-08 05:32:00 PDT,+72.7421,+72.402,+74.187,+76.4584,+71.7899,+69.8995
2009-08-08 05:33:00 PDT,+72.7626,+72.4577,+74.2069,+76.4862,+71.8045,+69.9228
2009-08-08 05:34:00 PDT,+72.7836,+72.5139,+74.2272,+76.5144,+71.8193,+69.9465
2009-08-08 05:35:00 PDT,+72.8052,+72.5706,+74.2477,+76.5428,+71.8343,+69.9704
