# file...... meter_powers.csv
# date...... Thu Jun 23 11:28:19 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_1_meter_1a:measured_power_A.real,branch_1_meter_1a:measured_power_A.imag,branch_1_meter_1b:measured_power_A.real,branch_1_meter_1b:measured_power_A.imag, branch_2_meter_1:measured_power_A, branch_1_meter_2:measured_power_A, branch_2_meter_2:measured_power_A, branch_1_meter_3:measured_power_A, branch_2_meter_3:measured_power_A
2009-01-01 00:00:00 PST,+137817,-14631.3,+132497,-13702.2,+1.59764e+06+6.77808d,+1.06561e+06+6.27974d,+1.05266e+06+6.06975d,+524406+5.10427d,+518103+4.89636d
2009-01-01 00:01:00 PST,+143201,-15781.1,+141468,-11232.3,+1.70014e+06+7.35731d,+1.13392e+06+6.86566d,+1.12002e+06+6.66105d,+557876+5.70791d,+551106+5.50525d
2009-01-01 00:02:00 PST,+148709,-16874.2,+146803,-12301.9,+1.80574e+06+7.90531d,+1.20465e+06+7.42345d,+1.18939e+06+7.22031d,+592525+6.28227d,+585096+6.08095d
2009-01-01 00:03:00 PST,+145720,-16289.8,+143830,-11808.1,+1.74826e+06+7.6127d,+1.16616e+06+7.12578d,+1.15163e+06+6.92171d,+573669+5.9758d,+566595+5.77362d
2009-01-01 00:04:00 PST,+147004,-16543.5,+145113,-12017.6,+1.77291e+06+7.73976d,+1.18266e+06+7.25508d,+1.16783e+06+7.05139d,+581756+6.10896d,+574530+5.90715d
2009-01-01 00:05:00 PST,+144269,-15998.4,+142428,-11519.7,+1.72049e+06+7.46653d,+1.14756e+06+6.97697d,+1.13339e+06+6.77253d,+564558+5.82256d,+557657+5.62005d
2009-01-01 00:06:00 PST,+149125,-16953.9,+147199,-12387.6,+1.81377e+06+7.94518d,+1.21003e+06+7.46401d,+1.19467e+06+7.26099d,+595161+6.32403d,+587682+6.12283d
2009-01-01 00:07:00 PST,+139125,-14924.5,+137382,-10535.6,+1.62287e+06+6.92532d,+1.08217e+06+6.4257d,+1.06924e+06+6.22008d,+532520+5.25474d,+526226+5.05118d
2009-01-01 00:08:00 PST,+140820,-15285.8,+139134,-10776.9,+1.65492e+06+7.10788d,+1.10363e+06+6.61161d,+1.0903e+06+6.40644d,+543034+5.44625d,+536545+5.24309d
2009-01-01 00:09:00 PST,+145266,-16199.4,+143463,-11646.2,+1.73958e+06+7.56738d,+1.16034e+06+7.07957d,+1.14593e+06+6.87546d,+570818+5.9282d,+563801+5.72599d
