# file...... substation_data.csv
# date...... Thu Jun 23 11:28:19 2016
# user...... hard312
# host...... (null)
# target.... meter 11
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A
2009-01-01 00:00:00 PST,+7214.26-0.0431059d,+407.965-66.518j,+2.98203e+06+9.21739d
2009-01-01 00:01:00 PST,+7473.91-0.0425826d,+418.152-72.3025j,+3.1716e+06+9.76741d
2009-01-01 00:02:00 PST,+7733.03-0.0420575d,+427.867-77.5727j,+3.36264e+06+10.2341d
2009-01-01 00:03:00 PST,+7592.99-0.0423359d,+422.604-74.7088j,+3.25858e+06+9.98294d
2009-01-01 00:04:00 PST,+7653.34-0.0422147d,+424.872-75.9422j,+3.30323e+06+10.0919d
2009-01-01 00:05:00 PST,+7524.49-0.0424764d,+420.037-73.3175j,+3.20835e+06+9.85874d
2009-01-01 00:06:00 PST,+7752.42-0.0420196d,+428.594-77.9674j,+3.37717e+06+10.2682d
2009-01-01 00:07:00 PST,+7278.95-0.0430018d,+410.837-68.3392j,+3.03156e+06+9.40118d
2009-01-01 00:08:00 PST,+7360.38-0.0428245d,+413.897-69.9999j,+3.0897e+06+9.55642d
2009-01-01 00:09:00 PST,+7571.64-0.0423801d,+421.813-74.2854j,+3.24296e+06+9.94556d
2009-01-01 00:10:00 PST,+7649.92-0.0422216d,+424.744-75.8735j,+3.30069e+06+10.0859d
2009-01-01 00:11:00 PST,+7449.09-0.042634d,+417.211-71.7863j,+3.15351e+06+9.72021d
2009-01-01 00:12:00 PST,+7529.76-0.0424659d,+420.24-73.4307j,+3.21225e+06+9.86906d
2009-01-01 00:13:00 PST,+7564.74-0.0423939d,+421.55-74.1396j,+3.23786e+06+9.93242d
2009-01-01 00:14:00 PST,+7220.55-0.0431327d,+408.657-67.166j,+2.99032e+06+9.29044d
2009-01-01 00:15:00 PST,+7525.74-0.0424748d,+420.095-73.3563j,+3.20936e+06+9.86255d
2009-01-01 00:16:00 PST,+7272.65-0.0430162d,+410.607-68.2183j,+3.02713e+06+9.38996d
2009-01-01 00:17:00 PST,+7761.71-0.0420021d,+428.949-78.1648j,+3.3842e+06+10.2854d
2009-01-01 00:18:00 PST,+7448.33-0.0426353d,+417.18-71.7676j,+3.15294e+06+9.71844d
2009-01-01 00:19:00 PST,+7550.83-0.0424225d,+421.03-73.8593j,+3.22768e+06+9.90746d
2009-01-01 00:20:00 PST,+7710.65-0.0421012d,+427.024-77.1132j,+3.34589e+06+10.1942d
2009-01-01 00:21:00 PST,+7802.67-0.0419222d,+430.476-78.9893j,+3.41494e+06+10.3558d
2009-01-01 00:22:00 PST,+7370.37-0.0428018d,+414.259-70.1867j,+3.09676e+06+9.57334d
2009-01-01 00:23:00 PST,+7917.51-0.0417059d,+434.8-81.3517j,+3.50227e+06+10.5559d
2009-01-01 00:24:00 PST,+7837.27-0.0418557d,+431.772-79.6918j,+3.44107e+06+10.4155d
2009-01-01 00:25:00 PST,+7664.53-0.0421919d,+425.286-76.1638j,+3.31148e+06+10.1112d
2009-01-01 00:26:00 PST,+7497.6-0.0425322d,+419.029-72.7707j,+3.18873e+06+9.80948d
2009-01-01 00:27:00 PST,+7433.77-0.0426667d,+416.641-71.4801j,+3.14246e+06+9.69238d
2009-01-01 00:28:00 PST,+7664.69-0.0421924d,+425.302-76.179j,+3.31169e+06+10.1128d
2009-01-01 00:29:00 PST,+7611.62-0.0422983d,+423.305-75.0906j,+3.27234e+06+10.0168d
2009-01-01 00:30:00 PST,+7904.8-0.0417291d,+434.316-81.084j,+3.4925e+06+10.5333d
2009-01-01 00:31:00 PST,+7797.89-0.041931d,+430.292-78.8861j,+3.41129e+06+10.3468d
2009-01-01 00:32:00 PST,+7474.62-0.0425799d,+418.164-72.3002j,+3.17199e+06+9.76682d
2009-01-01 00:33:00 PST,+7848.25-0.0418358d,+432.194-79.9291j,+3.44949e+06+10.4359d
2009-01-01 00:34:00 PST,+7398.41-0.0427414d,+415.308-70.7532j,+3.11689e+06+9.62554d
2009-01-01 00:35:00 PST,+7452.02-0.0426283d,+417.327-71.8531j,+3.15569e+06+9.72645d
2009-01-01 00:36:00 PST,+7334.63-0.04288d,+412.929-69.4734j,+3.07125e+06+9.50743d
2009-01-01 00:37:00 PST,+7700.87-0.0421209d,+426.663-76.9201j,+3.33864e+06+10.1776d
2009-01-01 00:38:00 PST,+7926.58-0.0416884d,+435.133-81.5282j,+3.50914e+06+10.5704d
2009-01-01 00:39:00 PST,+7684.25-0.0421526d,+426.024-76.5636j,+3.32612e+06+10.1461d
2009-01-01 00:40:00 PST,+7721.89-0.0420789d,+427.443-77.3387j,+3.35426e+06+10.2137d
2009-01-01 00:41:00 PST,+7457.07-0.042617d,+417.509-71.9462j,+3.15928e+06+9.73472d
2009-01-01 00:42:00 PST,+7574.25-0.0423746d,+421.908-74.3355j,+3.24486e+06+9.94994d
2009-01-01 00:43:00 PST,+7719.83-0.0420831d,+427.368-77.3j,+3.35275e+06+10.2104d
2009-01-01 00:44:00 PST,+7704.4-0.0421132d,+426.786-76.9808j,+3.34119e+06+10.1826d
2009-01-01 00:45:00 PST,+7389.12-0.0427616d,+414.963-70.5688j,+3.11023e+06+9.60865d
2009-01-01 00:46:00 PST,+7530.63-0.0424643d,+420.274-73.4503j,+3.2129e+06+9.87086d
2009-01-01 00:47:00 PST,+7346.69-0.0428536d,+413.378-69.715j,+3.07985e+06+9.52983d
2009-01-01 00:48:00 PST,+7407.53-0.0427229d,+415.662-70.9528j,+3.12356e+06+9.64421d
2009-01-01 00:49:00 PST,+7232.67-0.0431058d,+409.114-67.415j,+2.99889e+06+9.31417d
2009-01-01 00:50:00 PST,+7427.03-0.0426816d,+416.395-71.3519j,+3.13766e+06+9.68086d
2009-01-01 00:51:00 PST,+7657.74-0.0422063d,+425.042-76.0374j,+3.30653e+06+10.1004d
2009-01-01 00:52:00 PST,+7275.91-0.0430087d,+410.726-68.2805j,+3.02942e+06+9.39572d
2009-01-01 00:53:00 PST,+7376.68-0.0427893d,+414.508-70.33j,+3.10139e+06+9.58694d
2009-01-01 00:54:00 PST,+7322.52-0.0429066d,+412.477-69.2311j,+3.06262e+06+9.48494d
2009-01-01 00:55:00 PST,+7834.99-0.0418612d,+431.7-79.6624j,+3.43947e+06+10.4134d
2009-01-01 00:56:00 PST,+7809.79-0.0419083d,+430.741-79.1316j,+3.42029e+06+10.3679d
2009-01-01 00:57:00 PST,+7555.78-0.0424116d,+421.207-73.9493j,+3.23122e+06+9.91525d
2009-01-01 00:58:00 PST,+7458.97-0.0426133d,+417.584-71.9897j,+3.16069e+06+9.73879d
2009-01-01 00:59:00 PST,+7214.25-0.0431471d,+408.424-67.042j,+2.9859e+06+9.27872d
