# file...... voltage_data.csv
# date...... Fri Jun 24 09:48:02 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b1m3_capacitor:switchA, substation_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:30:00 PDT,OPEN,+7216-0.000108106d,+7201.79-0.159652d,+7196.57-0.216548d,+7182.9-0.342327d,+124.019-0.192725d,+123.94-0.238566d,+123.682-0.401115d
2009-08-08 04:30:05 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159663d,+7196.57-0.216559d,+7182.9-0.342338d,+124.019-0.192743d,+123.94-0.238577d,+123.682-0.401126d
2009-08-08 04:30:10 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159663d,+7196.57-0.216559d,+7182.9-0.342338d,+124.019-0.192743d,+123.94-0.238577d,+123.682-0.401126d
2009-08-08 04:30:15 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159663d,+7196.57-0.216559d,+7182.9-0.342339d,+124.019-0.192743d,+123.94-0.238577d,+123.682-0.401126d
2009-08-08 04:30:20 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159663d,+7196.57-0.216559d,+7182.9-0.342339d,+124.019-0.192743d,+123.94-0.238578d,+123.682-0.401126d
2009-08-08 04:30:25 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159664d,+7196.57-0.216559d,+7182.9-0.342339d,+124.019-0.192743d,+123.94-0.238578d,+123.682-0.401126d
2009-08-08 04:30:30 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159664d,+7196.57-0.216559d,+7182.9-0.342339d,+124.019-0.192744d,+123.94-0.238578d,+123.682-0.401126d
2009-08-08 04:30:35 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159664d,+7196.57-0.21656d,+7182.9-0.342339d,+124.019-0.192744d,+123.94-0.238578d,+123.682-0.401126d
2009-08-08 04:30:40 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159664d,+7196.57-0.21656d,+7182.9-0.342339d,+124.019-0.192744d,+123.94-0.238578d,+123.682-0.401126d
2009-08-08 04:30:45 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159664d,+7196.57-0.21656d,+7182.9-0.342339d,+124.019-0.192744d,+123.94-0.238578d,+123.682-0.401127d
2009-08-08 04:30:50 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159664d,+7196.57-0.21656d,+7182.9-0.342339d,+124.019-0.192744d,+123.94-0.238578d,+123.682-0.401127d
2009-08-08 04:30:55 PDT,OPEN,+7216-0.000108113d,+7201.79-0.159664d,+7196.57-0.21656d,+7182.9-0.342339d,+124.019-0.192744d,+123.94-0.238578d,+123.682-0.401127d
2009-08-08 04:31:00 PDT,OPEN,+7216-0.000108109d,+7201.79-0.159656d,+7196.57-0.216552d,+7182.9-0.342331d,+124.019-0.192731d,+123.94-0.23857d,+123.682-0.401119d
2009-08-08 04:31:05 PDT,OPEN,+7216-0.000108109d,+7201.79-0.159656d,+7196.57-0.216552d,+7182.9-0.342331d,+124.019-0.192732d,+123.94-0.23857d,+123.682-0.401119d
2009-08-08 04:31:10 PDT,OPEN,+7216-0.000108109d,+7201.79-0.159656d,+7196.57-0.216552d,+7182.9-0.342331d,+124.019-0.192732d,+123.94-0.23857d,+123.682-0.401119d
2009-08-08 04:31:15 PDT,OPEN,+7216-0.000108109d,+7201.79-0.159656d,+7196.57-0.216552d,+7182.9-0.342332d,+124.019-0.192732d,+123.94-0.238571d,+123.682-0.401119d
2009-08-08 04:31:20 PDT,OPEN,+7216-0.000108109d,+7201.79-0.159657d,+7196.57-0.216552d,+7182.9-0.342332d,+124.019-0.192732d,+123.94-0.238571d,+123.682-0.401119d
2009-08-08 04:31:25 PDT,OPEN,+7216-0.000108109d,+7201.79-0.159657d,+7196.57-0.216552d,+7182.9-0.342332d,+124.019-0.192732d,+123.94-0.238571d,+123.682-0.401119d
2009-08-08 04:31:30 PDT,OPEN,+7216-0.000108109d,+7201.79-0.159657d,+7196.57-0.216552d,+7182.9-0.342332d,+124.019-0.192732d,+123.94-0.238571d,+123.682-0.401119d
