# file...... b1m1_house_data.csv
# date...... Thu Jun  9 16:01:33 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m1_house:outdoor_temperature, b1m1_house:is_COOL_on, b1m1_house:cooling_setpoint, b1m1_house_node:measured_real_power, b1m1_house_node:measured_real_energy, b1m1_inv:VA_Out.real, b1m1_batt:state_of_charge
2009-08-08 04:30:00 PDT,+72.5,+63.052,+0,+73,+1499.99,+0,-554.932,+0.5
2009-08-08 04:30:05 PDT,+72.4841,+63.052,+0,+73,+1500,+2.08332,-554.941,+0.500036
2009-08-08 04:30:10 PDT,+72.4686,+63.052,+0,+73,+1500,+4.16665,-554.941,+0.500072
2009-08-08 04:30:15 PDT,+72.4533,+63.052,+0,+73,+1500,+6.24999,-554.941,+0.500108
2009-08-08 04:30:20 PDT,+72.4384,+63.052,+0,+73,+1500,+8.33332,-554.941,+0.500144
2009-08-08 04:30:25 PDT,+72.4237,+63.052,+0,+73,+1500,+10.4167,-554.941,+0.500179
2009-08-08 04:30:30 PDT,+72.4094,+63.052,+0,+73,+1500,+12.5,-554.941,+0.500215
2009-08-08 04:30:35 PDT,+72.3953,+63.052,+0,+73,+1500,+14.5833,-554.941,+0.500251
2009-08-08 04:30:40 PDT,+72.3814,+63.052,+0,+73,+1500,+16.6667,-554.941,+0.500287
2009-08-08 04:30:45 PDT,+72.3679,+63.052,+0,+73,+1500,+18.75,-554.941,+0.500323
2009-08-08 04:30:50 PDT,+72.3546,+63.052,+0,+73,+1500,+20.8333,-554.941,+0.500359
2009-08-08 04:30:55 PDT,+72.3416,+63.052,+0,+73,+1500,+22.9167,-554.941,+0.500395
2009-08-08 04:31:00 PDT,+72.3288,+63.085,+0,+73,+1500,+25,-554.941,+0.500431
2009-08-08 04:31:05 PDT,+72.3164,+63.085,+0,+73,+1500,+27.0833,-554.941,+0.500467
2009-08-08 04:31:10 PDT,+72.3042,+63.085,+0,+73,+1500,+29.1667,-554.941,+0.500502
2009-08-08 04:31:15 PDT,+72.2923,+63.085,+0,+73,+1500,+31.25,-554.941,+0.500538
2009-08-08 04:31:20 PDT,+72.2806,+63.085,+0,+73,+1500,+33.3333,-554.941,+0.500574
2009-08-08 04:31:25 PDT,+72.2691,+63.085,+0,+73,+1500,+35.4167,-554.941,+0.50061
2009-08-08 04:31:30 PDT,+72.2579,+63.085,+0,+73,+1500,+37.5,-554.941,+0.500646
2009-08-08 04:31:35 PDT,+72.2468,+63.085,+0,+73,+1500,+39.5833,-554.941,+0.500682
2009-08-08 04:31:40 PDT,+72.236,+63.085,+0,+73,+1500,+41.6667,-554.941,+0.500718
2009-08-08 04:31:45 PDT,+72.2254,+63.085,+0,+73,+1500,+43.75,-554.941,+0.500754
2009-08-08 04:31:50 PDT,+72.2149,+63.085,+0,+73,+1500,+45.8333,-554.941,+0.500789
2009-08-08 04:31:55 PDT,+72.2047,+63.085,+0,+73,+1500,+47.9167,-554.941,+0.500825
2009-08-08 04:32:00 PDT,+72.1946,+63.118,+0,+73,+1500,+50,-554.941,+0.500861
2009-08-08 04:32:05 PDT,+72.1849,+63.118,+0,+73,+1500,+52.0833,-554.941,+0.500897
2009-08-08 04:32:10 PDT,+72.1754,+63.118,+0,+73,+1500,+54.1667,-554.941,+0.500933
2009-08-08 04:32:15 PDT,+72.166,+63.118,+0,+73,+1500,+56.25,-554.941,+0.500969
2009-08-08 04:32:20 PDT,+72.1569,+63.118,+0,+73,+1500,+58.3333,-554.941,+0.501005
2009-08-08 04:32:25 PDT,+72.1478,+63.118,+0,+73,+1500,+60.4167,-554.941,+0.501041
2009-08-08 04:32:30 PDT,+72.139,+63.118,+0,+73,+1500,+62.5,-554.941,+0.501077
2009-08-08 04:32:35 PDT,+72.1303,+63.118,+0,+73,+1500,+64.5833,-554.941,+0.501112
2009-08-08 04:32:40 PDT,+72.1218,+63.118,+0,+73,+1500,+66.6667,-554.941,+0.501148
2009-08-08 04:32:45 PDT,+72.1134,+63.118,+0,+73,+1500,+68.75,-554.941,+0.501184
2009-08-08 04:32:50 PDT,+72.1052,+63.118,+0,+73,+1500,+70.8333,-554.941,+0.50122
2009-08-08 04:32:55 PDT,+72.0971,+63.118,+0,+73,+1500,+72.9167,-554.941,+0.501256
2009-08-08 04:33:00 PDT,+72.0892,+63.151,+0,+73,+1500,+75,-554.941,+0.501292
2009-08-08 04:33:05 PDT,+72.0815,+63.151,+0,+73,+1500,+77.0833,-554.941,+0.501328
2009-08-08 04:33:10 PDT,+72.074,+63.151,+0,+73,+1500,+79.1667,-554.941,+0.501364
2009-08-08 04:33:15 PDT,+72.0667,+63.151,+0,+73,+1500,+81.25,-554.941,+0.5014
2009-08-08 04:33:20 PDT,+72.0594,+63.151,+0,+73,+1500,+83.3333,-554.941,+0.501435
2009-08-08 04:33:25 PDT,+72.0523,+63.151,+0,+73,+1500,+85.4167,-554.941,+0.501471
2009-08-08 04:33:30 PDT,+72.0453,+63.151,+0,+73,+1500,+87.5,-554.941,+0.501507
2009-08-08 04:33:35 PDT,+72.0385,+63.151,+0,+73,+1500,+89.5833,-554.941,+0.501543
2009-08-08 04:33:40 PDT,+72.0317,+63.151,+0,+73,+1500,+91.6667,-554.941,+0.501579
2009-08-08 04:33:45 PDT,+72.0251,+63.151,+0,+73,+1500,+93.75,-554.941,+0.501615
2009-08-08 04:33:50 PDT,+72.0186,+63.151,+0,+73,+1500,+95.8333,-554.941,+0.501651
2009-08-08 04:33:55 PDT,+72.0122,+63.151,+0,+73,+1500,+97.9167,-554.941,+0.501687
2009-08-08 04:34:00 PDT,+72.0059,+63.184,+0,+73,+1500,+100,-554.941,+0.501723
2009-08-08 04:34:05 PDT,+71.9999,+63.184,+0,+73,+1500,+102.083,-554.941,+0.501758
2009-08-08 04:34:10 PDT,+71.994,+63.184,+0,+73,+1500,+104.167,-554.941,+0.501794
