# file...... b1m1_house_data.csv
# date...... Thu Jun 23 16:14:11 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m1_house:outdoor_temperature, b1m1_house:is_COOL_on, b1m1_house:cooling_setpoint, b1m1_house_node:measured_real_power, b1m1_house_node:measured_real_energy, b1m1_solar_inv:VA_Out.real, b1m1_solar_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+72.5,+63.052,+0,+75,+892.047,+0,+53.0228,+0
2009-08-08 04:30:05 PDT,+72.4841,+63.052,+0,+75,+892.051,+1.23895,+53.0191,-0.0736427
2009-08-08 04:30:10 PDT,+72.4686,+63.052,+0,+75,+892.341,+2.47791,+52.7286,-0.14728
2009-08-08 04:30:15 PDT,+72.4533,+63.052,+0,+75,+892.345,+3.71728,+52.7249,-0.220514
2009-08-08 04:30:20 PDT,+72.4384,+63.052,+0,+75,+892.349,+4.95664,+52.7213,-0.293744
2009-08-08 04:30:25 PDT,+72.4237,+63.052,+0,+75,+892.352,+6.19602,+52.7176,-0.366968
2009-08-08 04:30:30 PDT,+72.4094,+63.052,+0,+75,+892.356,+7.4354,+52.714,-0.440186
2009-08-08 04:30:35 PDT,+72.3953,+63.052,+0,+75,+892.36,+8.67478,+52.7103,-0.5134
2009-08-08 04:30:40 PDT,+72.3814,+63.052,+0,+75,+892.363,+9.91417,+52.7067,-0.586609
2009-08-08 04:30:45 PDT,+72.3679,+63.052,+0,+75,+892.367,+11.1536,+52.703,-0.659813
2009-08-08 04:30:50 PDT,+72.3546,+63.052,+0,+75,+892.371,+12.393,+52.6994,-0.733012
2009-08-08 04:30:55 PDT,+72.3416,+63.052,+0,+75,+892.374,+13.6324,+52.6957,-0.806205
2009-08-08 04:31:00 PDT,+72.3288,+63.085,+0,+75,+891.15,+14.8718,+53.9202,-0.879394
2009-08-08 04:31:05 PDT,+72.3164,+63.085,+0,+75,+891.156,+16.1095,+53.9141,-0.954283
2009-08-08 04:31:10 PDT,+72.3042,+63.085,+0,+75,+891.16,+17.3472,+53.9103,-1.02916
2009-08-08 04:31:15 PDT,+72.2923,+63.085,+0,+75,+891.163,+18.5849,+53.9065,-1.10404
2009-08-08 04:31:20 PDT,+72.2806,+63.085,+0,+75,+891.167,+19.8226,+53.9028,-1.17891
2009-08-08 04:31:25 PDT,+72.2691,+63.085,+0,+75,+891.171,+21.0604,+53.899,-1.25377
2009-08-08 04:31:30 PDT,+72.2579,+63.085,+0,+75,+891.175,+22.2981,+53.8952,-1.32863
2009-08-08 04:31:35 PDT,+72.2468,+63.085,+0,+75,+891.179,+23.5359,+53.8914,-1.40349
2009-08-08 04:31:40 PDT,+72.236,+63.085,+0,+75,+891.182,+24.7736,+53.8876,-1.47834
2009-08-08 04:31:45 PDT,+72.2254,+63.085,+0,+75,+891.186,+26.0114,+53.8839,-1.55318
2009-08-08 04:31:50 PDT,+72.2149,+63.085,+0,+75,+891.19,+27.2491,+53.8801,-1.62802
2009-08-08 04:31:55 PDT,+72.2047,+63.085,+0,+75,+891.194,+28.4869,+53.8763,-1.70285
2009-08-08 04:32:00 PDT,+72.1946,+63.118,+0,+75,+889.971,+29.7247,+55.0992,-1.77768
2009-08-08 04:32:05 PDT,+72.1849,+63.118,+0,+75,+889.977,+30.9607,+55.0929,-1.85421
2009-08-08 04:32:10 PDT,+72.1754,+63.118,+0,+75,+889.981,+32.1968,+55.089,-1.93073
2009-08-08 04:32:15 PDT,+72.166,+63.118,+0,+75,+889.985,+33.4329,+55.0851,-2.00724
2009-08-08 04:32:20 PDT,+72.1569,+63.118,+0,+75,+889.989,+34.669,+55.0812,-2.08375
2009-08-08 04:32:25 PDT,+72.1478,+63.118,+0,+75,+889.993,+35.9051,+55.0773,-2.16025
