# file...... substation_data.csv
# date...... Fri Jun 24 08:19:43 2016
# user...... hard312
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A.real, measured_power_A.imag
2009-08-08 04:30:00 PDT,+7216-9.45952e-05d,+0.854974+0.124092j,+6169.49,-895.461
2009-08-08 04:30:05 PDT,+7216-9.45956e-05d,+0.854977+0.124092j,+6169.52,-895.461
2009-08-08 04:30:10 PDT,+7216-9.46239e-05d,+0.855239+0.124092j,+6171.4,-895.46
2009-08-08 04:30:15 PDT,+7216-9.46243e-05d,+0.855242+0.124092j,+6171.43,-895.46
2009-08-08 04:30:20 PDT,+7216-9.46246e-05d,+0.855246+0.124092j,+6171.45,-895.46
2009-08-08 04:30:25 PDT,+7216-9.4625e-05d,+0.855249+0.124092j,+6171.48,-895.46
2009-08-08 04:30:30 PDT,+7216-9.46253e-05d,+0.855252+0.124092j,+6171.5,-895.46
2009-08-08 04:30:35 PDT,+7216-9.46257e-05d,+0.855256+0.124092j,+6171.52,-895.46
2009-08-08 04:30:40 PDT,+7216-9.46261e-05d,+0.855259+0.124092j,+6171.55,-895.46
2009-08-08 04:30:45 PDT,+7216-9.46264e-05d,+0.855262+0.124092j,+6171.57,-895.46
2009-08-08 04:30:50 PDT,+7216-9.46268e-05d,+0.855265+0.124092j,+6171.59,-895.46
2009-08-08 04:30:55 PDT,+7216-9.46271e-05d,+0.855269+0.124092j,+6171.62,-895.46
2009-08-08 04:31:00 PDT,+7216-9.45077e-05d,+0.854166+0.124093j,+6163.66,-895.465
2009-08-08 04:31:05 PDT,+7216-9.45083e-05d,+0.854171+0.124093j,+6163.7,-895.465
2009-08-08 04:31:10 PDT,+7216-9.45087e-05d,+0.854175+0.124093j,+6163.72,-895.465
2009-08-08 04:31:15 PDT,+7216-9.4509e-05d,+0.854178+0.124093j,+6163.75,-895.465
2009-08-08 04:31:20 PDT,+7216-9.45094e-05d,+0.854181+0.124093j,+6163.77,-895.465
2009-08-08 04:31:25 PDT,+7216-9.45098e-05d,+0.854185+0.124093j,+6163.8,-895.465
2009-08-08 04:31:30 PDT,+7216-9.45101e-05d,+0.854188+0.124093j,+6163.82,-895.465
2009-08-08 04:31:35 PDT,+7216-9.45105e-05d,+0.854192+0.124093j,+6163.85,-895.465
2009-08-08 04:31:40 PDT,+7216-9.45109e-05d,+0.854195+0.124093j,+6163.87,-895.465
2009-08-08 04:31:45 PDT,+7216-9.45112e-05d,+0.854198+0.124093j,+6163.89,-895.465
2009-08-08 04:31:50 PDT,+7216-9.45116e-05d,+0.854202+0.124093j,+6163.92,-895.465
2009-08-08 04:31:55 PDT,+7216-9.4512e-05d,+0.854205+0.124093j,+6163.94,-895.465
