# file...... substation_data.csv
# date...... Thu Jun 23 16:14:11 2016
# user...... hard312
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A.real, measured_power_A.imag
2009-08-08 04:30:00 PDT,+7216-9.89741e-05d,+0.895403+0.124159j,+6461.22,-895.945
2009-08-08 04:30:05 PDT,+7216-9.89741e-05d,+0.895403+0.124159j,+6461.23,-895.945
2009-08-08 04:30:10 PDT,+7216-9.89785e-05d,+0.895443+0.124159j,+6461.52,-895.945
2009-08-08 04:30:15 PDT,+7216-9.89785e-05d,+0.895444+0.124159j,+6461.52,-895.945
2009-08-08 04:30:20 PDT,+7216-9.89786e-05d,+0.895445+0.124159j,+6461.53,-895.945
2009-08-08 04:30:25 PDT,+7216-9.89786e-05d,+0.895445+0.124159j,+6461.53,-895.945
2009-08-08 04:30:30 PDT,+7216-9.89787e-05d,+0.895446+0.124159j,+6461.53,-895.945
2009-08-08 04:30:35 PDT,+7216-9.89788e-05d,+0.895446+0.124159j,+6461.54,-895.945
2009-08-08 04:30:40 PDT,+7216-9.89788e-05d,+0.895447+0.124159j,+6461.54,-895.945
2009-08-08 04:30:45 PDT,+7216-9.89789e-05d,+0.895447+0.124159j,+6461.54,-895.945
2009-08-08 04:30:50 PDT,+7216-9.89789e-05d,+0.895448+0.124159j,+6461.55,-895.945
2009-08-08 04:30:55 PDT,+7216-9.8979e-05d,+0.895448+0.124159j,+6461.55,-895.945
2009-08-08 04:31:00 PDT,+7216-9.89606e-05d,+0.895278+0.124159j,+6460.33,-895.946
2009-08-08 04:31:05 PDT,+7216-9.89607e-05d,+0.895279+0.124159j,+6460.33,-895.946
2009-08-08 04:31:10 PDT,+7216-9.89607e-05d,+0.89528+0.124159j,+6460.34,-895.946
2009-08-08 04:31:15 PDT,+7216-9.89608e-05d,+0.89528+0.124159j,+6460.34,-895.946
2009-08-08 04:31:20 PDT,+7216-9.89609e-05d,+0.895281+0.124159j,+6460.34,-895.946
2009-08-08 04:31:25 PDT,+7216-9.89609e-05d,+0.895281+0.124159j,+6460.35,-895.946
2009-08-08 04:31:30 PDT,+7216-9.8961e-05d,+0.895282+0.124159j,+6460.35,-895.946
2009-08-08 04:31:35 PDT,+7216-9.8961e-05d,+0.895282+0.124159j,+6460.36,-895.946
2009-08-08 04:31:40 PDT,+7216-9.89611e-05d,+0.895283+0.124159j,+6460.36,-895.946
2009-08-08 04:31:45 PDT,+7216-9.89611e-05d,+0.895283+0.124159j,+6460.36,-895.946
2009-08-08 04:31:50 PDT,+7216-9.89612e-05d,+0.895284+0.124159j,+6460.37,-895.946
2009-08-08 04:31:55 PDT,+7216-9.89613e-05d,+0.895284+0.124159j,+6460.37,-895.946
2009-08-08 04:32:00 PDT,+7216-9.89429e-05d,+0.895115+0.12416j,+6459.15,-895.947
2009-08-08 04:32:05 PDT,+7216-9.8943e-05d,+0.895116+0.12416j,+6459.15,-895.947
2009-08-08 04:32:10 PDT,+7216-9.89431e-05d,+0.895116+0.12416j,+6459.16,-895.947
2009-08-08 04:32:15 PDT,+7216-9.89431e-05d,+0.895117+0.12416j,+6459.16,-895.947
2009-08-08 04:32:20 PDT,+7216-9.89432e-05d,+0.895117+0.12416j,+6459.17,-895.947
2009-08-08 04:32:25 PDT,+7216-9.89432e-05d,+0.895118+0.12416j,+6459.17,-895.947
2009-08-08 04:32:30 PDT,+7216-9.89433e-05d,+0.895119+0.12416j,+6459.17,-895.947
2009-08-08 04:32:35 PDT,+7216-9.89434e-05d,+0.895119+0.12416j,+6459.18,-895.947
2009-08-08 04:32:40 PDT,+7216-9.89434e-05d,+0.89512+0.12416j,+6459.18,-895.947
2009-08-08 04:32:45 PDT,+7216-9.89435e-05d,+0.89512+0.12416j,+6459.19,-895.947
2009-08-08 04:32:50 PDT,+7216-9.89435e-05d,+0.895121+0.12416j,+6459.19,-895.947
2009-08-08 04:32:55 PDT,+7216-9.89436e-05d,+0.895121+0.12416j,+6459.19,-895.947
2009-08-08 04:33:00 PDT,+7216-9.89253e-05d,+0.894952+0.12416j,+6457.97,-895.948
2009-08-08 04:33:05 PDT,+7216-9.89254e-05d,+0.894953+0.12416j,+6457.98,-895.948
2009-08-08 04:33:10 PDT,+7216-9.89254e-05d,+0.894953+0.12416j,+6457.98,-895.948
2009-08-08 04:33:15 PDT,+7216-9.89255e-05d,+0.894954+0.12416j,+6457.99,-895.948
2009-08-08 04:33:20 PDT,+7216-9.89255e-05d,+0.894955+0.12416j,+6457.99,-895.948
2009-08-08 04:33:25 PDT,+7216-9.89256e-05d,+0.894955+0.12416j,+6457.99,-895.948
2009-08-08 04:33:30 PDT,+7216-9.89257e-05d,+0.894956+0.12416j,+6458,-895.948
2009-08-08 04:33:35 PDT,+7216-9.89257e-05d,+0.894956+0.12416j,+6458,-895.948
2009-08-08 04:33:40 PDT,+7216-9.89258e-05d,+0.894957+0.12416j,+6458.01,-895.948
2009-08-08 04:33:45 PDT,+7216-9.89258e-05d,+0.894957+0.12416j,+6458.01,-895.948
2009-08-08 04:33:50 PDT,+7216-9.89259e-05d,+0.894958+0.12416j,+6458.01,-895.948
