# file...... b1m1_house_data.csv
# date...... Thu Jun  9 15:52:07 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m1_house:outdoor_temperature, b1m1_house:is_COOL_on, b1m1_house:cooling_setpoint, b1m1_house_node:measured_real_power, b1m1_house_node:measured_real_energy, b1m1_inv:VA_Out.real, b1m1_batt:state_of_charge
2009-08-08 04:30:00 PDT,+72.5,+63.052,+0,+73,+945.068,+0,+0,+0.5
2009-08-08 04:30:05 PDT,+72.4841,+63.052,+0,+73,+945.068,+1.31259,+0,+0.5
2009-08-08 04:30:10 PDT,+72.4686,+63.052,+0,+73,+945.068,+2.62519,+0,+0.5
2009-08-08 04:30:15 PDT,+72.4533,+63.052,+0,+73,+945.068,+3.93778,+0,+0.5
2009-08-08 04:30:20 PDT,+72.4384,+63.052,+0,+73,+945.068,+5.25038,+0,+0.5
2009-08-08 04:30:25 PDT,+72.4237,+63.052,+0,+73,+945.068,+6.56297,+0,+0.5
2009-08-08 04:30:30 PDT,+72.4094,+63.052,+0,+73,+945.068,+7.87557,+0,+0.5
2009-08-08 04:30:35 PDT,+72.3953,+63.052,+0,+73,+945.068,+9.18816,+0,+0.5
2009-08-08 04:30:40 PDT,+72.3814,+63.052,+0,+73,+945.068,+10.5008,+0,+0.5
2009-08-08 04:30:45 PDT,+72.3679,+63.052,+0,+73,+945.068,+11.8133,+0,+0.5
2009-08-08 04:30:50 PDT,+72.3546,+63.052,+0,+73,+945.068,+13.1259,+0,+0.5
2009-08-08 04:30:55 PDT,+72.3416,+63.052,+0,+73,+945.068,+14.4385,+0,+0.5
2009-08-08 04:31:00 PDT,+72.3288,+63.085,+0,+73,+945.068,+15.7511,+0,+0.5
2009-08-08 04:31:05 PDT,+72.3164,+63.085,+0,+73,+945.068,+17.0637,+0,+0.5
2009-08-08 04:31:10 PDT,+72.3042,+63.085,+0,+73,+945.068,+18.3763,+0,+0.5
2009-08-08 04:31:15 PDT,+72.2923,+63.085,+0,+73,+945.068,+19.6889,+0,+0.5
2009-08-08 04:31:20 PDT,+72.2806,+63.085,+0,+73,+945.068,+21.0015,+0,+0.5
2009-08-08 04:31:25 PDT,+72.2691,+63.085,+0,+73,+945.068,+22.3141,+0,+0.5
2009-08-08 04:31:30 PDT,+72.2579,+63.085,+0,+73,+945.068,+23.6267,+0,+0.5
2009-08-08 04:31:35 PDT,+72.2468,+63.085,+0,+73,+945.068,+24.9393,+0,+0.5
2009-08-08 04:31:40 PDT,+72.236,+63.085,+0,+73,+945.068,+26.2519,+0,+0.5
