# file...... b1m1_house_data.csv
# date...... Fri Jun 24 10:44:12 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m1_house:outdoor_temperature, b1m1_house:is_COOL_on, b1m1_house:cooling_setpoint, b1m1_house_node:measured_real_power, b1m1_house_node:measured_real_energy, b1m1_batt_inv:VA_Out.real, b1m1_batt:state_of_charge, b1m1_batt_meter:measured_real_energy, b1m1_solar_inv:VA_Out.real, b1m1_solar_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+72.5,+63.052,+0,+73,+1499.85,+0,-608.876,+0.5,+0,+53.0228,+0
2009-08-08 04:30:05 PDT,+72.4841,+63.052,+0,+73,+1500.29,+2.08312,-609.026,+0.500079,+0.845661,+52.7322,-0.0736427
2009-08-08 04:30:10 PDT,+72.4686,+63.052,+0,+73,+1500.29,+4.16685,-609.026,+0.500157,+1.69153,+52.7286,-0.146882
2009-08-08 04:30:15 PDT,+72.4533,+63.052,+0,+73,+1500,+6.25059,-612.068,+0.500236,+2.5374,+52.7249,-0.220116
2009-08-08 04:30:20 PDT,+72.4384,+63.052,+0,+73,+1500,+8.33392,-612.068,+0.500315,+3.38749,+52.7213,-0.293345
2009-08-08 04:30:25 PDT,+72.4237,+63.052,+0,+73,+1500.01,+10.4173,-612.068,+0.500394,+4.23759,+52.7176,-0.366569
2009-08-08 04:30:30 PDT,+72.4094,+63.052,+0,+73,+1500,+12.5006,-615.333,+0.500473,+5.08768,+52.714,-0.439788
2009-08-08 04:30:35 PDT,+72.3953,+63.052,+0,+73,+1500,+14.5839,-615.333,+0.500552,+5.94231,+52.7103,-0.513002
2009-08-08 04:30:40 PDT,+72.3814,+63.052,+0,+73,+1500.01,+16.6673,-615.333,+0.500632,+6.79694,+52.7067,-0.586211
2009-08-08 04:30:45 PDT,+72.3679,+63.052,+0,+73,+1500.01,+18.7506,-615.333,+0.500711,+7.65157,+52.703,-0.659414
2009-08-08 04:30:50 PDT,+72.3546,+63.052,+0,+73,+1500.01,+20.834,-615.333,+0.50079,+8.5062,+52.6994,-0.732613
2009-08-08 04:30:55 PDT,+72.3416,+63.052,+0,+73,+1500.02,+22.9173,-615.333,+0.50087,+9.36083,+52.6957,-0.805807
2009-08-08 04:31:00 PDT,+72.3288,+63.085,+0,+73,+1500,+25.0007,-616.54,+0.500949,+10.2155,+53.9178,-0.878995
2009-08-08 04:31:05 PDT,+72.3164,+63.085,+0,+73,+1500.01,+27.084,-616.54,+0.501029,+11.0718,+53.9141,-0.953881
2009-08-08 04:31:10 PDT,+72.3042,+63.085,+0,+73,+1500.01,+29.1673,-616.54,+0.501108,+11.9281,+53.9103,-1.02876
2009-08-08 04:31:15 PDT,+72.2923,+63.085,+0,+73,+1500.01,+31.2507,-616.54,+0.501188,+12.7844,+53.9065,-1.10364
2009-08-08 04:31:20 PDT,+72.2806,+63.085,+0,+73,+1500.02,+33.334,-616.54,+0.501268,+13.6407,+53.9028,-1.17851
2009-08-08 04:31:25 PDT,+72.2691,+63.085,+0,+73,+1500.02,+35.4174,-616.54,+0.501347,+14.497,+53.899,-1.25337
2009-08-08 04:31:30 PDT,+72.2579,+63.085,+0,+73,+1500.02,+37.5008,-616.54,+0.501427,+15.3533,+53.8952,-1.32823
2009-08-08 04:31:35 PDT,+72.2468,+63.085,+0,+73,+1500.03,+39.5841,-616.54,+0.501506,+16.2096,+53.8914,-1.40309
2009-08-08 04:31:40 PDT,+72.236,+63.085,+0,+73,+1500.03,+41.6675,-616.54,+0.501586,+17.0659,+53.8876,-1.47794
2009-08-08 04:31:45 PDT,+72.2254,+63.085,+0,+73,+1500.04,+43.7509,-616.54,+0.501665,+17.9222,+53.8839,-1.55278
2009-08-08 04:31:50 PDT,+72.2149,+63.085,+0,+73,+1500.04,+45.8343,-616.54,+0.501745,+18.7785,+53.8801,-1.62762
2009-08-08 04:31:55 PDT,+72.2047,+63.085,+0,+73,+1500.04,+47.9177,-616.54,+0.501825,+19.6348,+53.8763,-1.70245
2009-08-08 04:32:00 PDT,+72.1946,+63.118,+0,+73,+1500,+50.0011,-617.719,+0.501904,+20.4911,+55.0968,-1.77728
2009-08-08 04:32:05 PDT,+72.1849,+63.118,+0,+73,+1500.01,+52.0844,-617.719,+0.501984,+21.3491,+55.0929,-1.8538
2009-08-08 04:32:10 PDT,+72.1754,+63.118,+0,+73,+1500.01,+54.1677,-617.719,+0.502064,+22.207,+55.089,-1.93032
2009-08-08 04:32:15 PDT,+72.166,+63.118,+0,+73,+1500.01,+56.2511,-617.719,+0.502143,+23.065,+55.0851,-2.00683
2009-08-08 04:32:20 PDT,+72.1569,+63.118,+0,+73,+1500.02,+58.3344,-617.719,+0.502223,+23.9229,+55.0812,-2.08334
2009-08-08 04:32:25 PDT,+72.1478,+63.118,+0,+73,+1500.02,+60.4178,-617.719,+0.502303,+24.7808,+55.0773,-2.15984
2009-08-08 04:32:30 PDT,+72.139,+63.118,+0,+73,+1500.03,+62.5011,-617.719,+0.502382,+25.6388,+55.0734,-2.23634
2009-08-08 04:32:35 PDT,+72.1303,+63.118,+0,+73,+1500.03,+64.5845,-617.719,+0.502462,+26.4967,+55.0695,-2.31283
2009-08-08 04:32:40 PDT,+72.1218,+63.118,+0,+73,+1500.03,+66.6679,-617.719,+0.502542,+27.3547,+55.0656,-2.38931
2009-08-08 04:32:45 PDT,+72.1134,+63.118,+0,+73,+1500.04,+68.7513,-617.719,+0.502622,+28.2126,+55.0617,-2.46579
2009-08-08 04:32:50 PDT,+72.1052,+63.118,+0,+73,+1500.04,+70.8347,-617.719,+0.502701,+29.0706,+55.0577,-2.54227
2009-08-08 04:32:55 PDT,+72.0971,+63.118,+0,+73,+1500.05,+72.918,-617.719,+0.502781,+29.9285,+55.0538,-2.61874
2009-08-08 04:33:00 PDT,+72.0892,+63.151,+0,+73,+1500,+75.0014,-618.895,+0.502861,+30.7864,+56.2727,-2.6952
2009-08-08 04:33:05 PDT,+72.0815,+63.151,+0,+73,+1500.01,+77.0848,-618.895,+0.502941,+31.646,+56.2687,-2.77336
2009-08-08 04:33:10 PDT,+72.074,+63.151,+0,+73,+1500.01,+79.1681,-618.895,+0.50302,+32.5056,+56.2647,-2.85151
2009-08-08 04:33:15 PDT,+72.0667,+63.151,+0,+73,+1500.01,+81.2515,-618.895,+0.5031,+33.3652,+56.2606,-2.92965
2009-08-08 04:33:20 PDT,+72.0594,+63.151,+0,+73,+1500.02,+83.3348,-618.895,+0.50318,+34.2247,+56.2566,-3.00779
2009-08-08 04:33:25 PDT,+72.0523,+63.151,+0,+73,+1500.02,+85.4182,-618.895,+0.50326,+35.0843,+56.2526,-3.08593
2009-08-08 04:33:30 PDT,+72.0453,+63.151,+0,+73,+1500.03,+87.5015,-618.895,+0.50334,+35.9439,+56.2486,-3.16406
2009-08-08 04:33:35 PDT,+72.0385,+63.151,+0,+73,+1500.03,+89.5849,-618.895,+0.50342,+36.8035,+56.2445,-3.24218
