# file...... substation_data.csv
# date...... Fri Jun 24 10:44:12 2016
# user...... hard312
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A.real, measured_power_A.imag
2009-08-08 04:30:00 PDT,+7216-0.000108106d,+0.980283+0.12053j,+7073.72,-869.756
2009-08-08 04:30:05 PDT,+7216-0.000108113d,+0.980344+0.12053j,+7074.16,-869.754
2009-08-08 04:30:10 PDT,+7216-0.000108113d,+0.980345+0.120529j,+7074.17,-869.753
2009-08-08 04:30:15 PDT,+7216-0.000107723d,+0.976863+0.119758j,+7049.04,-864.187
2009-08-08 04:30:20 PDT,+7216-0.000107723d,+0.976864+0.119758j,+7049.05,-864.187
2009-08-08 04:30:25 PDT,+7216-0.000107724d,+0.976864+0.119758j,+7049.05,-864.187
2009-08-08 04:30:30 PDT,+7216-0.000107345d,+0.973485+0.119j,+7024.67,-858.719
2009-08-08 04:30:35 PDT,+7216-0.000107345d,+0.973486+0.119j,+7024.67,-858.719
2009-08-08 04:30:40 PDT,+7216-0.000107345d,+0.973486+0.119j,+7024.68,-858.719
2009-08-08 04:30:45 PDT,+7216-0.000107346d,+0.973487+0.119j,+7024.68,-858.719
2009-08-08 04:30:50 PDT,+7216-0.000107346d,+0.973487+0.119j,+7024.68,-858.719
2009-08-08 04:30:55 PDT,+7216-0.000107346d,+0.973488+0.119j,+7024.69,-858.719
2009-08-08 04:31:00 PDT,+7216-0.000107345d,+0.973486+0.119j,+7024.67,-858.719
2009-08-08 04:31:05 PDT,+7216-0.000107345d,+0.973486+0.119j,+7024.68,-858.719
2009-08-08 04:31:10 PDT,+7216-0.000107346d,+0.973487+0.119j,+7024.68,-858.719
2009-08-08 04:31:15 PDT,+7216-0.000107346d,+0.973487+0.119j,+7024.68,-858.719
2009-08-08 04:31:20 PDT,+7216-0.000107346d,+0.973488+0.119j,+7024.69,-858.719
2009-08-08 04:31:25 PDT,+7216-0.000107346d,+0.973488+0.119j,+7024.69,-858.719
2009-08-08 04:31:30 PDT,+7216-0.000107346d,+0.973489+0.119j,+7024.69,-858.719
2009-08-08 04:31:35 PDT,+7216-0.000107346d,+0.97349+0.119j,+7024.7,-858.719
2009-08-08 04:31:40 PDT,+7216-0.000107346d,+0.97349+0.119j,+7024.7,-858.719
2009-08-08 04:31:45 PDT,+7216-0.000107346d,+0.973491+0.119j,+7024.71,-858.719
