# file...... b1m1_house_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m1_house:outdoor_temperature, b1m1_house:is_COOL_on, b1m1_house:cooling_setpoint, b1m1_house_node:measured_real_power, b1m1_house_node:measured_real_energy, b1m1_batt_inv:VA_Out.real, b1m1_batt:state_of_charge, b1m1_batt_meter:measured_real_energy, b1m1_solar_inv:VA_Out.real, b1m1_solar_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+72.5,+63.052,+0,+73,+3891.09,+0,-3000,+0.5,+0,+53.0228,+0
2009-08-08 04:30:05 PDT,+72.4841,+63.052,+0,+73,+3891.1,+5.4043,-3000,+0.500359,+4.16667,+53.0191,-0.0736427
2009-08-08 04:30:10 PDT,+72.4686,+63.052,+0,+73,+3891.39,+10.8086,-3000,+0.500719,+8.33333,+52.7286,-0.14728
2009-08-08 04:30:15 PDT,+72.4533,+63.052,+0,+73,+3888.05,+16.2133,-3000,+0.501078,+12.5,+52.7249,-0.220514
2009-08-08 04:30:20 PDT,+72.4384,+63.052,+0,+73,+3888.06,+21.6134,-3000,+0.501438,+16.6667,+52.7213,-0.293744
2009-08-08 04:30:25 PDT,+72.4237,+63.052,+0,+73,+3888.06,+27.0135,-3000,+0.501797,+20.8333,+52.7176,-0.366968
2009-08-08 04:30:30 PDT,+72.4094,+63.052,+0,+73,+3888.06,+32.4135,-3000,+0.502157,+25,+52.714,-0.440186
2009-08-08 04:30:35 PDT,+72.3953,+63.052,+0,+73,+3888.07,+37.8136,-3000,+0.502516,+29.1667,+52.7103,-0.5134
2009-08-08 04:30:40 PDT,+72.3814,+63.052,+0,+73,+3888.07,+43.2137,-3000,+0.502876,+33.3333,+52.7067,-0.586609
2009-08-08 04:30:45 PDT,+72.3679,+63.052,+0,+73,+3888.08,+48.6138,-3000,+0.503235,+37.5,+52.703,-0.659813
2009-08-08 04:30:50 PDT,+72.3546,+63.052,+0,+73,+3888.08,+54.0139,-3000,+0.503595,+41.6667,+52.6994,-0.733012
