# file...... b2m3_house_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b2m3_house:air_temperature, b2m3_house:outdoor_temperature, b2m3_house:is_COOL_on, b2m3_house:cooling_setpoint, b2m3_house_meter:measured_real_power, b2m3_house_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+73,+63.052,+0,+73.5,+850.78,+0
2009-08-08 04:30:05 PDT,+72.9934,+63.052,+0,+73.5,+850.78,+1.18164
2009-08-08 04:30:10 PDT,+72.9869,+63.052,+0,+73.5,+850.78,+2.36328
2009-08-08 04:30:15 PDT,+72.9805,+63.052,+0,+73.5,+850.78,+3.54492
2009-08-08 04:30:20 PDT,+72.9742,+63.052,+0,+73.5,+850.78,+4.72656
2009-08-08 04:30:25 PDT,+72.968,+63.052,+0,+73.5,+850.78,+5.9082
2009-08-08 04:30:30 PDT,+72.9619,+63.052,+0,+73.5,+850.78,+7.08984
2009-08-08 04:30:35 PDT,+72.9559,+63.052,+0,+73.5,+850.78,+8.27147
2009-08-08 04:30:40 PDT,+72.95,+63.052,+0,+73.5,+850.78,+9.45311
2009-08-08 04:30:45 PDT,+72.9441,+63.052,+0,+73.5,+850.78,+10.6348
2009-08-08 04:30:50 PDT,+72.9384,+63.052,+0,+73.5,+850.78,+11.8164
2009-08-08 04:30:55 PDT,+72.9327,+63.052,+0,+73.5,+850.78,+12.998
2009-08-08 04:31:00 PDT,+72.9272,+63.085,+0,+73.5,+850.78,+14.1797
2009-08-08 04:31:05 PDT,+72.9218,+63.085,+0,+73.5,+850.78,+15.3613
2009-08-08 04:31:10 PDT,+72.9164,+63.085,+0,+73.5,+850.78,+16.5429
2009-08-08 04:31:15 PDT,+72.9112,+63.085,+0,+73.5,+850.78,+17.7246
2009-08-08 04:31:20 PDT,+72.906,+63.085,+0,+73.5,+850.78,+18.9062
2009-08-08 04:31:25 PDT,+72.9009,+63.085,+0,+73.5,+850.78,+20.0879
2009-08-08 04:31:30 PDT,+72.8959,+63.085,+0,+73.5,+850.78,+21.2695
2009-08-08 04:31:35 PDT,+72.891,+63.085,+0,+73.5,+850.78,+22.4511
2009-08-08 04:31:40 PDT,+72.8861,+63.085,+0,+73.5,+850.78,+23.6328
2009-08-08 04:31:45 PDT,+72.8813,+63.085,+0,+73.5,+850.78,+24.8144
2009-08-08 04:31:50 PDT,+72.8766,+63.085,+0,+73.5,+850.78,+25.9961
2009-08-08 04:31:55 PDT,+72.872,+63.085,+0,+73.5,+850.78,+27.1777
2009-08-08 04:32:00 PDT,+72.8674,+63.118,+0,+73.5,+850.78,+28.3593
2009-08-08 04:32:05 PDT,+72.8629,+63.118,+0,+73.5,+850.78,+29.541
2009-08-08 04:32:10 PDT,+72.8586,+63.118,+0,+73.5,+850.78,+30.7226
2009-08-08 04:32:15 PDT,+72.8543,+63.118,+0,+73.5,+850.78,+31.9043
2009-08-08 04:32:20 PDT,+72.85,+63.118,+0,+73.5,+850.78,+33.0859
2009-08-08 04:32:25 PDT,+72.8458,+63.118,+0,+73.5,+850.78,+34.2675
2009-08-08 04:32:30 PDT,+72.8417,+63.118,+0,+73.5,+850.78,+35.4492
2009-08-08 04:32:35 PDT,+72.8377,+63.118,+0,+73.5,+850.78,+36.6308
2009-08-08 04:32:40 PDT,+72.8337,+63.118,+0,+73.5,+850.78,+37.8125
2009-08-08 04:32:45 PDT,+72.8297,+63.118,+0,+73.5,+850.78,+38.9941
2009-08-08 04:32:50 PDT,+72.8258,+63.118,+0,+73.5,+850.78,+40.1757
2009-08-08 04:32:55 PDT,+72.822,+63.118,+0,+73.5,+850.78,+41.3574
2009-08-08 04:33:00 PDT,+72.8183,+63.151,+0,+73.5,+850.78,+42.539
2009-08-08 04:33:05 PDT,+72.8146,+63.151,+0,+73.5,+850.78,+43.7207
2009-08-08 04:33:10 PDT,+72.811,+63.151,+0,+73.5,+850.78,+44.9023
2009-08-08 04:33:15 PDT,+72.8075,+63.151,+0,+73.5,+850.78,+46.0839
2009-08-08 04:33:20 PDT,+72.804,+63.151,+0,+73.5,+850.78,+47.2656
2009-08-08 04:33:25 PDT,+72.8006,+63.151,+0,+73.5,+850.78,+48.4472
2009-08-08 04:33:30 PDT,+72.7972,+63.151,+0,+73.5,+850.78,+49.6288
2009-08-08 04:33:35 PDT,+72.7939,+63.151,+0,+73.5,+850.78,+50.8105
2009-08-08 04:33:40 PDT,+72.7906,+63.151,+0,+73.5,+850.78,+51.9921
2009-08-08 04:33:45 PDT,+72.7873,+63.151,+0,+73.5,+850.78,+53.1738
2009-08-08 04:33:50 PDT,+72.7841,+63.151,+0,+73.5,+850.78,+54.3554
2009-08-08 04:33:55 PDT,+72.781,+63.151,+0,+73.5,+850.78,+55.537
2009-08-08 04:34:00 PDT,+72.7779,+63.184,+0,+73.5,+850.78,+56.7187
2009-08-08 04:34:05 PDT,+72.7749,+63.184,+0,+73.5,+851.028,+57.9005
2009-08-08 04:34:10 PDT,+72.772,+63.184,+0,+73.5,+851.028,+59.0824
2009-08-08 04:34:15 PDT,+72.7691,+63.184,+0,+73.5,+851.028,+60.2644
2009-08-08 04:34:20 PDT,+72.7662,+63.184,+0,+73.5,+851.028,+61.4464
2009-08-08 04:34:25 PDT,+72.7634,+63.184,+0,+73.5,+851.028,+62.6284
2009-08-08 04:34:30 PDT,+72.7606,+63.184,+0,+73.5,+851.028,+63.8104
2009-08-08 04:34:35 PDT,+72.7579,+63.184,+0,+73.5,+851.028,+64.9924
2009-08-08 04:34:40 PDT,+72.7552,+63.184,+0,+73.5,+851.028,+66.1743
2009-08-08 04:34:45 PDT,+72.7525,+63.184,+0,+73.5,+851.028,+67.3563
2009-08-08 04:34:50 PDT,+72.7499,+63.184,+0,+73.5,+851.028,+68.5383
2009-08-08 04:34:55 PDT,+72.7473,+63.184,+0,+73.5,+851.028,+69.7203
2009-08-08 04:35:00 PDT,+72.7447,+63.217,+0,+73.5,+851.028,+70.9023
2009-08-08 04:35:05 PDT,+72.7423,+63.217,+0,+73.5,+851.028,+72.0843
2009-08-08 04:35:10 PDT,+72.7399,+63.217,+0,+73.5,+851.028,+73.2662
2009-08-08 04:35:15 PDT,+72.7375,+63.217,+0,+73.5,+851.028,+74.4482
2009-08-08 04:35:20 PDT,+72.7352,+63.217,+0,+73.5,+851.028,+75.6302
2009-08-08 04:35:25 PDT,+72.7329,+63.217,+0,+73.5,+851.028,+76.8122
2009-08-08 04:35:30 PDT,+72.7306,+63.217,+0,+73.5,+851.028,+77.9942
2009-08-08 04:35:35 PDT,+72.7283,+63.217,+0,+73.5,+851.028,+79.1762
2009-08-08 04:35:40 PDT,+72.7261,+63.217,+0,+73.5,+851.028,+80.3581
2009-08-08 04:35:45 PDT,+72.7239,+63.217,+0,+73.5,+851.028,+81.5401
2009-08-08 04:35:50 PDT,+72.7217,+63.217,+0,+73.5,+851.028,+82.7221
2009-08-08 04:35:55 PDT,+72.7196,+63.217,+0,+73.5,+851.028,+83.9041
2009-08-08 04:36:00 PDT,+72.7175,+63.25,+0,+73.5,+851.028,+85.0861
2009-08-08 04:36:05 PDT,+72.7155,+63.25,+0,+73.5,+851.028,+86.2681
2009-08-08 04:36:10 PDT,+72.7135,+63.25,+0,+73.5,+851.028,+87.45
