# file...... substation_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# target.... meter 14
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A.real, measured_power_A.imag
2009-08-08 04:30:00 PDT,+7216-0.000144096d,+1.31267+0.120388j,+9472.2,-868.746
2009-08-08 04:30:05 PDT,+7216-0.000144096d,+1.31267+0.120388j,+9472.21,-868.745
2009-08-08 04:30:10 PDT,+7216-0.0001441d,+1.31271+0.120388j,+9472.5,-868.743
2009-08-08 04:30:15 PDT,+7216-0.000143929d,+1.31125+0.119592j,+9461.98,-862.997
2009-08-08 04:30:20 PDT,+7216-0.000143929d,+1.31125+0.119592j,+9461.98,-862.997
2009-08-08 04:30:25 PDT,+7216-0.000143929d,+1.31125+0.119592j,+9461.98,-862.997
2009-08-08 04:30:30 PDT,+7216-0.000143929d,+1.31125+0.119592j,+9461.99,-862.997
2009-08-08 04:30:35 PDT,+7216-0.00014393d,+1.31125+0.119592j,+9461.99,-862.997
2009-08-08 04:30:40 PDT,+7216-0.00014393d,+1.31125+0.119592j,+9461.99,-862.997
2009-08-08 04:30:45 PDT,+7216-0.00014393d,+1.31125+0.119592j,+9462,-862.997
2009-08-08 04:30:50 PDT,+7216-0.00014393d,+1.31125+0.119592j,+9462,-862.997
2009-08-08 04:30:55 PDT,+7216-0.00014393d,+1.31125+0.119592j,+9462.01,-862.997
2009-08-08 04:31:00 PDT,+7216-0.000143911d,+1.31108+0.119593j,+9460.77,-863.006
2009-08-08 04:31:05 PDT,+7216-0.000143911d,+1.31108+0.119593j,+9460.78,-863.006
2009-08-08 04:31:10 PDT,+7216-0.000143911d,+1.31108+0.119593j,+9460.78,-863.006
2009-08-08 04:31:15 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.79,-863.006
2009-08-08 04:31:20 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.79,-863.006
2009-08-08 04:31:25 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.8,-863.006
2009-08-08 04:31:30 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.8,-863.006
2009-08-08 04:31:35 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.8,-863.006
2009-08-08 04:31:40 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.81,-863.006
2009-08-08 04:31:45 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.81,-863.006
2009-08-08 04:31:50 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.81,-863.006
2009-08-08 04:31:55 PDT,+7216-0.000143912d,+1.31109+0.119593j,+9460.82,-863.006
2009-08-08 04:32:00 PDT,+7216-0.000143894d,+1.31092+0.119594j,+9459.59,-863.016
2009-08-08 04:32:05 PDT,+7216-0.000143894d,+1.31092+0.119594j,+9459.6,-863.016
2009-08-08 04:32:10 PDT,+7216-0.000143894d,+1.31092+0.119594j,+9459.6,-863.016
2009-08-08 04:32:15 PDT,+7216-0.000143894d,+1.31092+0.119594j,+9459.6,-863.015
2009-08-08 04:32:20 PDT,+7216-0.000143894d,+1.31092+0.119594j,+9459.61,-863.015
