# file...... voltage_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,substation_reg:tap_A, substation_meter:measured_voltage_A, feeder_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:30:00 PDT,0,+7216-0.000144096d,+7216-0.000144218d,+7200.4-0.176125d,+7198.34-0.211558d,+7194.14-0.272666d,+123.977-0.246207d,+123.97-0.233569d,+123.901-0.297665d
2009-08-08 04:30:05 PDT,0,+7216-0.000144096d,+7216-0.000144218d,+7200.4-0.176125d,+7198.34-0.211558d,+7194.14-0.272666d,+123.977-0.246208d,+123.97-0.233569d,+123.901-0.297665d
2009-08-08 04:30:10 PDT,0,+7216-0.0001441d,+7216-0.000144223d,+7200.4-0.176132d,+7198.34-0.211565d,+7194.13-0.272673d,+123.977-0.246219d,+123.97-0.233576d,+123.901-0.297672d
2009-08-08 04:30:15 PDT,-1,+7216-0.000143929d,+7171.18-0.000144053d,+7155.5-0.17793d,+7153.43-0.213667d,+7149.21-0.275317d,+123.204-0.248807d,+123.197-0.23586d,+123.127-0.300547d
2009-08-08 04:30:20 PDT,-1,+7216-0.000143929d,+7171.18-0.000144053d,+7155.5-0.17793d,+7153.43-0.213667d,+7149.21-0.275317d,+123.204-0.248808d,+123.197-0.23586d,+123.127-0.300547d
2009-08-08 04:30:25 PDT,-1,+7216-0.000143929d,+7171.18-0.000144053d,+7155.5-0.17793d,+7153.43-0.213667d,+7149.21-0.275317d,+123.204-0.248808d,+123.197-0.23586d,+123.127-0.300547d
2009-08-08 04:30:30 PDT,-1,+7216-0.000143929d,+7171.18-0.000144053d,+7155.5-0.177931d,+7153.43-0.213667d,+7149.21-0.275317d,+123.204-0.248808d,+123.197-0.23586d,+123.127-0.300547d
2009-08-08 04:30:35 PDT,-1,+7216-0.00014393d,+7171.18-0.000144053d,+7155.5-0.177931d,+7153.43-0.213667d,+7149.21-0.275317d,+123.204-0.248808d,+123.197-0.23586d,+123.127-0.300547d
2009-08-08 04:30:40 PDT,-1,+7216-0.00014393d,+7171.18-0.000144053d,+7155.5-0.177931d,+7153.43-0.213667d,+7149.21-0.275317d,+123.204-0.248808d,+123.197-0.235861d,+123.127-0.300548d
2009-08-08 04:30:45 PDT,-1,+7216-0.00014393d,+7171.18-0.000144053d,+7155.5-0.177931d,+7153.43-0.213668d,+7149.21-0.275317d,+123.204-0.248808d,+123.197-0.235861d,+123.127-0.300548d
